time_s,power_W
0.101,199.652
0.202,202.020
0.302,198.171
0.403,198.847
0.503,204.599
0.603,198.749
0.704,200.383
0.805,200.763
0.905,201.037
1.005,200.762
1.106,216.668
1.206,228.771
1.307,218.959
1.407,228.155
1.508,226.696
1.608,235.414
1.709,227.593
1.810,238.948
1.910,243.138
2.010,246.232
2.111,228.868
2.211,254.260
2.311,243.890
2.412,246.544
2.512,203.951
2.612,263.250
2.713,219.537
2.813,238.471
2.914,262.227
3.015,239.739
3.115,257.683
3.215,245.189
3.316,250.910
3.417,209.370
3.518,239.063
3.618,252.234
3.718,234.529
3.818,286.129
3.919,275.644
4.019,270.649
4.119,249.640
4.220,248.679
4.320,282.365
4.420,281.565
4.520,262.434
4.620,272.557
4.721,283.648
4.821,303.390
4.921,281.488
5.021,286.721
5.122,301.869
5.222,255.598
5.322,314.118
5.423,270.180
5.523,321.631
5.623,258.225
5.723,295.046
5.823,256.605
5.924,280.109
6.024,287.037
6.124,251.505
6.225,181.847
6.325,325.785
6.425,266.861
6.526,280.585
6.626,324.787
6.727,314.958
6.827,355.757
6.927,309.928
7.027,337.678
7.128,316.405
7.228,348.131
7.328,325.729
7.428,340.093
7.529,290.171
7.629,344.876
7.729,285.402
7.829,299.638
7.930,390.248
8.030,366.776
8.130,401.940
8.230,354.522
8.331,347.353
8.431,336.592
8.531,363.440
8.631,315.357
8.732,347.480
8.832,287.078
8.932,340.206
9.032,353.005
9.133,319.157
9.233,301.843
9.333,308.794
9.433,304.243
9.534,334.845
9.634,356.980
9.734,322.709
9.835,315.529
9.935,303.032
10.035,331.211
10.136,264.221
10.236,332.590
10.336,308.862
10.436,259.846
10.537,330.747
10.637,301.804
10.737,328.706
10.838,286.950
10.938,348.175
11.039,320.103
11.139,314.010
11.239,359.191
11.340,340.488
11.440,327.563
11.540,338.488
11.641,301.036
11.741,323.061
11.841,322.225
11.942,260.745
12.042,301.475
12.142,317.501
12.242,328.091
12.343,315.488
12.443,348.951
12.543,339.096
12.644,267.850
12.744,312.006
12.844,298.731
12.945,341.308
13.045,315.226
13.146,305.112
13.246,335.804
13.346,324.694
13.447,301.533
13.547,342.673
13.647,297.656
13.747,348.602
13.848,307.892
13.948,355.474
14.048,360.611
14.148,362.060
14.248,387.856
14.349,366.112
14.449,339.638
14.549,345.428
14.649,349.140
14.749,369.930
14.850,278.011
14.950,353.694
15.050,297.749
15.151,317.562
15.251,275.909
15.352,333.430
15.452,304.493
15.553,270.492
15.653,288.584
15.753,339.548
15.853,280.706
15.953,283.447
16.054,330.569
16.154,320.805
16.254,291.369
16.355,324.781
16.455,286.055
16.555,286.132
16.655,273.668
16.756,269.794
16.856,278.004
16.956,276.177
17.056,239.083
17.157,266.464
17.257,293.344
17.358,266.250
17.458,296.980
17.558,295.843
17.659,275.167
17.759,305.392
17.859,281.925
17.960,324.101
18.060,317.877
18.160,298.403
18.261,308.526
18.361,279.434
18.461,338.514
18.562,297.074
18.662,302.331
18.762,356.327
18.863,332.794
18.963,341.555
19.063,343.875
19.164,325.573
19.264,307.987
19.365,370.015
19.465,343.114
19.565,324.533
19.665,353.892
19.766,278.709
19.866,287.378
19.966,322.204
20.067,275.606
20.167,275.470
20.268,299.337
20.368,284.951
20.468,289.907
20.569,255.680
20.669,283.691
20.769,272.364
20.869,259.957
20.970,228.543
21.070,325.912
21.171,283.597
21.271,257.639
21.371,237.805
21.471,278.528
21.572,246.776
21.672,235.708
21.772,294.890
21.873,241.107
21.973,292.801
22.073,309.091
22.174,247.445
22.274,324.770
22.374,317.463
22.475,257.111
22.575,288.214
22.675,309.030
22.776,234.806
22.876,276.741
22.977,256.619
23.078,322.117
23.178,280.071
23.279,314.292
23.379,285.080
23.479,307.252
23.580,295.826
23.680,311.279
23.781,293.294
23.881,310.106
23.981,276.102
24.082,322.715
24.182,337.762
24.282,343.807
24.382,305.015
24.483,352.774
24.583,294.160
24.683,333.500
24.784,318.567
24.884,258.993
24.984,334.751
25.085,313.379
25.185,259.846
25.285,329.378
25.385,312.154
25.486,346.299
25.586,351.110
25.686,372.788
25.786,332.478
25.887,416.267
25.987,418.693
26.087,416.894
26.187,420.393
26.288,420.339
26.388,422.182
26.488,421.948
26.588,425.263
26.689,424.093
26.789,428.406
26.889,428.315
26.989,431.541
27.090,431.663
27.190,430.775
27.290,422.530
27.390,424.878
27.490,424.192
27.591,422.048
27.691,425.084
27.791,408.068
27.892,408.630
27.992,405.260
28.092,412.325
28.192,406.773
28.293,408.933
28.393,410.527
28.493,408.062
28.593,407.493
28.694,409.006
28.794,409.916
28.894,409.116
28.994,407.164
29.095,410.330
29.195,408.193
29.295,410.500
29.396,407.314
29.496,407.664
29.596,410.174
29.696,408.751
29.797,408.548
29.897,408.415
29.997,408.052
30.097,409.555
30.198,407.672
30.298,409.231
30.398,409.896
30.498,406.364
30.599,411.694
30.699,407.223
30.799,410.416
30.900,408.462
