time_s,power_W
0.101,207.439
0.201,201.572
0.302,197.705
0.402,210.745
0.503,200.206
0.603,200.197
0.704,201.863
0.804,208.794
0.905,203.820
1.005,202.493
1.106,220.563
1.207,351.899
1.307,331.022
1.408,331.298
1.508,330.466
1.609,331.567
1.709,330.295
1.810,316.010
1.911,273.496
2.012,285.848
2.112,322.252
2.213,320.564
2.313,325.265
2.414,319.087
2.514,329.118
2.615,320.798
2.715,325.655
2.815,323.410
2.916,322.734
3.016,324.224
3.117,329.291
3.217,324.335
3.318,326.371
3.418,324.157
3.518,326.147
3.619,328.143
3.719,321.210
3.820,328.630
3.920,330.527
4.020,329.291
4.121,328.169
4.221,325.491
4.322,327.221
4.422,332.551
4.522,327.747
4.623,342.195
4.723,339.220
4.823,340.033
4.923,344.586
5.024,349.460
5.124,317.422
5.224,351.098
5.324,411.574
5.425,382.721
5.525,358.126
5.626,344.502
5.726,345.204
5.827,414.959
5.927,416.852
6.027,331.530
6.128,423.092
6.228,443.783
6.328,443.233
6.429,435.655
6.529,440.803
6.630,443.703
6.730,444.753
6.830,437.330
6.931,442.166
7.031,435.712
7.132,415.709
7.232,412.120
7.332,409.277
7.433,399.690
7.533,414.527
7.633,403.436
7.734,412.712
7.834,411.212
7.935,410.413
8.035,407.191
8.135,408.461
8.236,404.502
8.336,412.572
8.437,416.195
8.537,410.005
8.638,407.176
8.738,409.481
8.839,408.268
8.940,407.983
9.042,412.131
9.144,408.736
9.246,405.149
9.347,406.859
9.447,399.396
9.548,407.928
9.649,413.721
9.750,416.039
9.850,410.857
9.952,407.300
10.053,412.179
10.155,405.585
10.257,405.305
10.358,412.171
10.459,410.385
10.560,405.605
10.660,396.345
10.761,413.655
10.861,415.235
10.961,411.332
11.062,410.379
11.163,408.443
11.263,406.728
11.364,410.004
11.465,408.134
11.566,410.123
11.666,407.950
11.767,408.824
11.868,405.214
11.968,405.084
12.069,408.084
12.169,412.710
12.269,402.461
12.370,420.359
12.470,409.412
12.571,405.949
12.671,409.335
12.772,407.124
12.873,409.619
12.973,410.258
13.074,409.236
13.174,406.898
13.275,398.519
13.375,413.326
13.475,408.704
13.576,410.640
13.676,408.122
13.776,419.142
13.877,406.290
13.977,409.285
14.078,408.142
14.179,403.811
14.280,412.609
14.380,405.710
14.481,410.877
14.581,408.066
14.682,407.420
14.782,398.432
14.883,410.886
14.983,411.809
15.083,404.957
15.183,418.339
15.284,415.685
15.385,406.963
15.485,405.055
15.586,410.868
15.687,407.062
15.787,410.986
15.888,408.237
15.989,409.009
16.090,400.712
16.190,399.186
16.290,421.095
16.392,409.716
16.493,415.337
16.593,406.348
16.694,410.508
16.795,407.385
16.895,405.918
16.996,411.886
17.097,409.013
17.197,407.226
17.298,406.754
17.398,405.911
17.499,416.477
17.600,405.212
17.700,411.236
17.801,407.953
17.901,407.035
18.002,410.899
18.103,406.242
18.203,412.733
18.304,399.180
18.404,412.453
18.505,412.724
18.605,407.625
18.706,412.000
18.806,406.865
18.907,408.885
19.008,408.452
19.108,409.713
19.209,408.145
19.310,404.173
19.410,395.157
19.511,412.398
19.611,375.569
19.712,332.376
19.812,225.406
19.913,209.325
20.013,401.441
20.113,445.499
20.214,419.073
20.314,295.481
20.414,203.644
20.515,244.279
20.616,369.950
20.716,430.588
20.816,370.977
20.917,222.181
21.017,212.254
21.118,247.744
21.218,343.912
21.318,400.628
21.419,345.403
21.520,240.517
21.620,217.796
21.721,288.543
21.822,375.602
21.922,380.190
22.022,262.019
22.123,202.578
22.224,244.509
22.324,362.175
22.424,414.668
22.524,300.335
22.625,197.626
22.726,207.974
22.827,289.142
22.927,447.487
23.028,404.151
23.128,435.906
23.228,452.180
23.329,435.815
23.429,434.894
23.530,431.210
23.631,442.991
23.732,434.019
23.833,427.898
23.934,442.778
24.035,438.677
24.136,424.124
24.236,435.943
24.337,426.698
24.438,445.656
24.539,429.750
24.639,422.332
24.740,409.075
24.840,409.200
24.941,406.035
25.042,407.971
25.143,408.271
25.244,410.839
25.344,406.925
25.445,410.089
25.546,408.122
25.646,402.478
25.747,410.100
25.847,411.673
25.948,410.088
26.048,410.501
26.149,408.854
26.249,405.063
26.350,412.066
26.451,405.435
26.551,409.060
26.652,411.045
26.752,401.707
26.853,409.226
26.953,411.600
27.054,403.617
27.154,414.805
27.254,408.309
27.355,413.746
27.455,407.166
27.556,410.858
27.657,406.087
27.757,411.290
27.858,407.048
27.959,408.539
28.060,410.536
28.160,398.831
28.260,418.545
28.361,407.372
28.461,409.656
28.562,408.339
28.662,411.932
28.763,406.403
28.864,410.169
28.964,404.482
29.065,412.553
29.165,406.916
29.266,408.799
29.366,406.900
29.467,402.698
29.567,418.099
29.668,409.561
29.768,409.491
29.869,408.453
29.969,407.374
30.070,410.192
30.171,409.308
30.272,407.894
30.372,409.132
30.473,396.557
30.573,409.565
30.673,411.211
30.774,402.598
30.874,421.661
30.975,412.523
31.075,408.556
31.176,406.702
31.277,410.904
31.378,406.129
31.478,408.788
31.579,409.998
31.679,408.273
31.780,393.845
31.881,422.102
31.981,411.502
32.082,407.622
32.183,407.595
32.283,410.575
32.384,409.621
32.485,406.778
32.585,406.852
32.686,412.801
32.787,397.655
32.887,410.546
32.987,410.966
33.088,417.910
33.188,406.944
33.289,408.094
33.390,407.959
33.490,406.933
33.591,411.409
33.692,407.636
33.792,409.512
33.893,403.374
33.993,405.181
34.094,419.513
34.194,409.811
34.295,405.427
34.396,411.243
34.496,405.908
34.597,410.606
34.697,409.728
34.798,408.615
34.898,401.283
34.999,405.471
35.099,421.374
35.200,406.340
35.300,408.965
35.401,409.579
35.501,407.351
35.602,410.842
35.703,407.124
35.804,405.817
35.904,406.295
36.005,409.457
36.105,411.759
36.205,411.415
36.306,408.899
36.407,405.999
36.507,411.338
36.608,409.547
36.708,406.632
36.809,407.097
36.909,406.444
37.010,405.425
37.110,411.792
37.211,417.543
37.311,408.435
37.412,408.236
37.512,407.068
37.613,409.613
37.714,407.649
37.814,407.152
37.915,410.901
38.015,402.814
38.116,409.010
38.216,409.606
38.317,412.974
38.417,410.659
38.518,407.669
38.619,409.516
38.719,406.438
38.820,409.627
38.921,408.927
39.021,408.230
39.122,409.631
39.222,401.457
39.323,413.285
39.423,409.724
39.524,413.638
39.625,404.655
39.725,411.577
39.826,406.786
39.926,409.787
40.027,407.842
40.127,407.930
40.228,404.752
40.328,412.404
40.429,411.999
40.530,408.982
40.630,409.221
40.731,408.441
40.832,407.908
40.932,409.994
41.033,406.377
41.133,400.856
41.234,415.797
41.334,410.231
41.435,410.652
41.536,405.332
41.637,412.015
41.737,406.818
41.838,404.239
41.938,390.458
42.039,379.031
42.139,263.888
42.239,208.877
42.339,367.430
42.440,446.003
42.540,431.013
42.640,411.078
42.741,216.910
42.842,211.499
42.942,205.161
43.043,209.515
43.144,200.573
43.244,209.863
43.345,199.108
43.446,208.585
43.546,204.474
43.647,208.630
43.748,206.088
43.848,204.640
43.949,203.664
44.049,204.781
44.150,208.601
44.251,202.595
44.351,215.920
44.451,199.729
44.552,206.590
44.652,207.131
44.752,203.884
44.853,211.517
44.954,203.588
45.054,205.302
45.155,205.984
45.255,322.517
45.356,465.475
45.456,479.756
45.556,438.901
45.657,448.675
45.757,443.773
45.858,424.527
45.958,437.413
46.059,437.466
46.160,437.547
46.260,441.523
46.361,429.733
46.462,445.299
46.562,436.922
46.663,434.319
46.764,431.211
46.864,429.638
46.965,411.838
47.065,408.348
47.165,406.033
47.266,408.829
47.366,411.249
47.467,405.648
47.568,409.962
47.669,407.972
47.770,404.699
47.870,411.502
47.971,410.790
48.071,408.472
48.172,409.327
48.273,408.497
48.373,409.499
48.474,409.371
48.575,405.997
48.675,408.474
48.776,409.636
48.876,409.775
48.977,408.246
49.077,409.750
49.178,404.712
49.278,413.226
49.379,408.566
49.479,408.804
49.580,406.651
49.681,411.287
49.781,409.046
49.882,407.741
49.982,409.447
50.083,406.406
50.183,409.767
50.284,410.359
50.385,411.045
50.485,404.517
50.586,410.474
50.686,408.465
50.787,410.531
50.887,405.471
50.988,405.669
51.088,415.779
51.189,408.849
51.290,405.804
51.390,408.960
51.491,411.011
51.591,407.989
51.692,408.456
51.792,409.367
51.893,401.507
51.993,413.189
52.094,409.293
52.195,412.247
52.295,409.032
52.396,407.062
52.496,409.064
52.596,408.656
52.697,409.936
52.797,409.488
52.898,404.248
52.998,413.533
53.099,408.868
53.199,408.345
53.300,409.853
53.401,406.355
53.501,409.643
53.602,407.673
53.702,407.137
53.803,408.801
53.903,410.585
54.004,410.197
54.104,406.314
54.205,411.419
54.305,408.264
54.406,407.960
54.507,408.673
54.607,408.654
54.708,409.520
54.808,406.729
54.908,410.330
55.009,410.998
55.109,408.442
55.210,407.897
55.311,409.521
55.411,409.974
55.512,407.853
55.612,406.044
55.713,408.851
55.813,397.839
55.914,421.565
56.014,412.368
56.115,406.388
56.215,409.306
56.316,406.844
56.417,408.227
56.517,411.083
56.618,407.247
56.718,401.792
56.819,405.934
56.919,421.773
57.020,408.085
57.120,407.297
57.221,409.266
57.322,407.474
57.422,410.794
57.524,407.797
57.624,408.335
57.725,392.001
57.825,422.137
57.926,415.225
58.026,406.689
58.127,407.948
58.228,408.390
58.328,408.583
58.429,409.594
58.530,406.665
58.630,401.472
58.731,416.656
58.831,411.278
58.932,406.438
59.033,408.584
59.133,411.194
59.234,408.326
59.334,409.628
59.435,407.123
59.536,394.157
59.636,419.581
59.737,414.058
59.837,409.729
59.938,408.607
60.039,407.205
60.139,407.483
60.240,410.279
60.340,409.592
60.441,397.827
60.541,418.348
60.642,410.174
60.742,407.811
60.843,409.813
60.944,409.601
61.045,407.372
61.145,409.593
61.246,408.784
61.346,399.620
61.447,418.529
61.547,407.840
61.648,409.186
61.748,407.633
61.849,410.344
61.950,406.859
62.050,410.073
62.151,402.749
62.251,406.298
62.352,406.619
62.452,418.444
62.552,410.166
62.653,409.083
62.754,408.365
62.854,408.825
62.955,409.530
63.056,407.307
63.156,404.502
63.257,406.028
63.357,417.395
63.458,408.948
63.559,409.028
63.659,406.588
63.760,409.580
63.861,408.908
63.962,408.019
64.062,395.008
64.163,403.625
64.263,390.824
64.363,365.398
64.463,234.629
64.564,214.092
64.664,405.205
64.764,448.029
64.865,413.813
64.965,267.011
65.065,211.758
65.166,272.118
65.267,407.252
65.367,423.247
65.468,373.139
65.568,245.785
65.669,204.457
65.770,245.680
65.870,360.765
65.971,412.336
66.071,376.559
66.172,296.931
66.272,210.014
66.372,242.736
66.473,314.354
66.573,425.683
66.673,405.070
66.774,211.585
66.875,200.785
66.975,254.451
67.076,357.636
67.176,401.069
67.276,400.812
67.377,239.673
67.477,228.968
67.578,311.612
67.678,465.150
67.778,434.745
67.879,433.933
67.979,444.538
68.079,452.985
68.180,416.633
68.281,441.319
68.382,436.314
68.483,446.019
68.584,435.478
68.685,440.096
68.786,432.795
68.887,439.370
68.987,429.439
69.088,426.043
69.188,400.702
69.289,408.871
69.389,420.473
69.490,407.037
69.590,408.679
69.691,409.857
69.792,407.122
69.892,408.199
69.993,410.115
70.094,406.158
70.194,401.908
70.295,415.386
70.395,410.538
70.496,409.886
70.596,408.237
70.697,409.598
70.797,406.077
70.898,410.940
70.999,406.431
71.099,406.762
71.200,403.937
71.300,408.569
71.400,411.488
71.501,417.525
71.601,405.739
71.702,409.014
71.802,410.083
71.903,407.643
72.003,409.913
72.104,408.086
72.205,398.690
72.305,411.111
72.405,406.987
72.506,406.926
72.606,408.709
72.707,423.121
72.807,407.113
72.908,407.110
73.009,409.320
73.109,410.011
73.210,406.950
73.311,407.356
73.411,402.002
73.511,404.188
73.612,413.638
73.712,420.388
73.813,409.646
73.914,404.394
74.014,410.784
74.115,409.112
74.216,408.717
74.317,407.630
74.417,396.588
74.518,416.990
74.618,413.929
74.719,409.602
74.820,407.957
74.920,407.339
75.021,408.651
75.122,409.075
75.223,408.375
75.323,401.702
75.424,414.248
75.524,410.086
75.625,409.731
75.725,409.887
75.826,408.955
75.927,407.592
76.028,409.523
76.128,406.994
76.229,409.438
76.329,408.564
76.430,407.339
76.530,410.455
76.631,407.467
76.731,409.440
76.832,409.965
76.933,411.676
77.033,405.598
77.134,410.487
77.234,409.495
77.335,406.581
77.436,405.818
77.536,410.819
77.637,410.733
77.738,408.818
77.838,407.360
77.939,410.757
78.042,408.181
78.143,408.731
78.243,406.146
78.344,406.999
78.445,409.719
78.545,404.884
78.646,418.835
78.746,407.003
78.847,410.091
78.947,409.054
79.048,406.835
79.149,407.183
79.249,408.796
79.349,405.129
79.450,413.544
79.551,411.621
79.651,406.706
79.752,407.283
79.852,409.949
79.953,408.911
80.053,407.595
80.154,404.242
80.254,415.526
80.355,410.385
80.456,408.172
80.557,404.651
80.657,410.331
80.758,409.872
80.858,408.171
80.959,402.308
81.059,410.628
81.160,416.088
81.260,407.330
81.361,407.627
81.462,408.724
81.562,409.635
81.663,408.580
81.764,404.548
81.864,407.738
81.965,408.911
82.065,416.645
82.166,405.624
82.267,409.739
82.367,408.514
82.468,409.939
82.569,409.155
82.669,402.147
82.770,402.790
82.870,417.962
82.971,412.500
83.071,406.903
83.172,406.746
83.273,410.583
83.374,409.826
83.475,406.953
83.575,399.266
83.676,409.347
83.776,412.140
83.876,414.778
83.977,412.492
84.078,408.476
84.178,406.747
84.279,409.808
84.380,406.646
84.480,405.948
84.581,402.676
84.681,411.802
84.782,417.644
84.882,410.023
84.983,406.159
85.084,407.268
85.185,409.497
85.285,410.681
85.386,402.839
85.487,401.674
85.587,415.745
85.688,415.930
85.788,408.023
85.889,407.479
85.990,406.829
86.091,410.050
86.192,409.419
86.292,395.846
86.393,411.443
86.493,388.638
86.594,358.835
86.694,241.265
86.795,217.186
86.895,355.199
86.995,416.776
87.096,409.956
87.196,301.136
87.296,200.803
87.397,206.313
87.498,209.103
87.598,209.400
87.698,208.439
87.799,204.094
87.900,205.527
88.000,206.685
88.101,206.880
88.201,208.198
88.301,205.925
88.402,214.087
88.502,199.226
88.603,211.289
88.703,207.135
88.803,211.588
88.904,205.992
89.004,210.481
89.105,203.359
89.205,205.667
89.305,210.984
89.406,208.013
89.506,208.691
89.607,202.920
89.707,222.194
89.807,364.940
89.908,412.889
90.008,441.920
90.108,443.959
90.209,445.650
90.309,429.164
90.410,407.709
90.511,419.207
90.611,418.707
90.712,412.146
90.813,419.057
90.914,418.637
91.015,407.693
91.115,413.787
91.216,412.886
91.316,409.738
91.417,405.064
91.518,406.531
91.618,409.974
91.719,408.821
91.820,408.678
91.920,396.221
92.021,417.770
92.121,415.157
92.222,407.102
92.323,410.207
92.423,407.849
92.524,410.105
92.625,406.260
92.725,405.364
92.826,413.025
92.926,409.703
93.027,407.054
93.128,409.369
93.228,411.577
93.329,406.714
93.430,408.725
93.531,407.144
93.631,410.515
93.732,409.039
93.832,409.217
93.933,409.306
94.033,405.999
94.134,410.630
94.235,408.323
94.335,409.211
