time_s,power_W
0.101,199.638
0.201,199.767
0.302,200.488
0.403,202.452
0.504,199.766
0.604,200.604
0.705,199.432
0.806,202.042
0.906,198.421
1.007,203.076
1.107,226.421
1.208,297.962
1.309,285.074
1.409,288.049
1.510,296.527
1.610,298.729
1.711,303.429
1.811,309.192
1.912,295.125
2.012,298.497
2.113,286.325
2.214,308.568
2.314,307.683
2.414,322.035
2.515,325.087
2.615,323.041
2.716,326.999
2.816,322.738
2.917,325.635
3.017,321.170
3.117,328.224
3.218,322.849
3.318,323.694
3.418,327.451
3.519,324.595
3.619,329.143
3.720,332.852
3.820,325.981
3.920,330.503
4.021,330.895
4.121,330.027
4.222,333.953
4.322,325.822
4.422,336.225
4.523,329.158
4.623,335.945
4.723,337.926
4.824,345.155
4.924,342.605
5.024,343.009
5.125,350.057
5.225,334.668
5.325,373.381
5.426,394.444
5.526,367.082
5.626,364.186
5.727,360.612
5.827,370.720
5.927,390.673
6.028,360.913
6.128,364.304
6.229,392.371
6.329,393.278
6.429,400.213
6.530,395.398
6.630,400.782
6.731,401.117
6.831,400.769
6.931,403.642
7.032,403.181
7.132,407.536
7.232,406.004
7.333,409.059
7.433,410.482
7.534,410.911
7.634,412.692
7.734,415.421
7.834,415.526
7.935,415.735
8.035,419.621
8.136,417.276
8.236,415.984
8.337,424.466
8.437,425.292
8.537,421.727
8.637,409.724
8.738,403.785
8.838,414.706
8.939,408.993
9.040,408.644
9.140,405.609
9.241,409.430
9.342,408.304
9.443,408.544
9.543,411.303
9.644,406.934
9.745,407.948
9.845,408.334
9.946,409.652
10.047,409.635
10.147,408.938
10.248,407.469
10.349,407.901
10.450,410.953
10.551,409.031
10.652,408.818
10.753,407.643
10.853,409.580
10.954,407.743
11.054,411.721
11.155,408.020
11.256,408.073
11.357,409.021
11.457,406.402
11.558,410.942
11.659,408.998
11.760,410.049
11.860,406.172
11.961,407.207
12.061,411.959
12.162,409.938
12.263,407.637
12.363,410.370
12.464,408.229
12.565,408.035
12.665,407.841
12.766,410.082
12.866,407.717
12.967,404.492
13.067,409.936
13.168,412.230
13.269,410.878
13.369,407.291
13.470,408.925
13.571,409.270
13.672,408.151
13.772,409.959
13.873,406.652
13.974,409.321
14.074,404.859
14.175,412.888
14.276,409.078
14.376,408.044
14.477,408.644
14.578,409.589
14.678,409.213
14.779,408.545
14.880,407.715
14.981,409.632
15.082,410.097
15.182,402.847
15.283,415.414
15.384,408.744
15.485,408.421
15.586,409.394
15.686,407.885
15.787,407.913
15.888,407.409
15.989,408.090
16.090,409.162
16.190,402.496
16.291,418.107
16.392,408.662
16.493,407.185
16.593,411.297
16.694,408.100
16.795,406.527
16.896,410.699
16.997,406.385
17.097,405.472
17.198,413.277
17.299,409.658
17.399,408.992
17.500,408.451
17.601,409.044
17.701,406.034
17.802,411.714
17.903,409.035
18.003,408.358
18.104,404.416
18.205,411.434
18.305,412.633
18.406,408.661
18.507,407.323
18.607,406.930
18.708,411.144
18.808,409.084
18.909,405.549
19.010,411.743
19.110,399.976
19.211,411.615
19.311,411.695
19.411,404.635
19.512,400.762
19.612,380.969
19.712,321.406
19.813,353.812
19.913,333.323
20.013,363.436
20.113,353.238
20.213,358.679
20.314,344.805
20.414,342.212
20.514,326.501
20.614,313.150
20.715,317.949
20.815,304.709
20.915,301.040
21.015,306.345
21.116,280.981
21.216,277.205
21.316,280.916
21.417,275.856
21.517,267.028
21.617,259.937
21.717,238.919
21.818,235.404
21.918,223.450
22.018,220.564
22.118,208.963
22.219,205.272
22.319,201.315
22.420,202.244
22.520,199.554
22.621,199.930
22.721,208.917
22.821,279.918
22.922,283.465
23.023,292.422
23.123,298.300
23.224,299.754
23.325,305.461
23.426,309.219
23.527,313.691
23.627,319.484
23.728,321.261
23.829,326.369
23.930,331.444
24.031,332.634
24.131,337.348
24.232,340.359
24.333,339.842
24.433,345.127
24.534,350.717
24.635,349.975
24.736,355.153
24.836,355.422
24.937,360.681
25.038,361.843
25.140,356.093
25.241,369.598
25.342,369.812
25.442,368.738
25.543,369.396
25.644,372.588
25.745,375.193
25.846,373.568
25.946,375.773
26.047,383.672
26.148,379.649
26.249,386.216
26.349,383.674
26.450,390.696
26.551,384.122
26.651,390.226
26.752,391.033
26.854,393.679
26.955,380.162
