time_s,power_W
0.100,206.319
0.201,202.625
0.302,207.803
0.402,199.173
0.503,200.517
0.604,209.099
0.704,203.659
0.805,204.545
0.905,203.786
1.006,209.304
1.106,221.225
1.206,209.240
1.307,239.662
1.407,228.722
1.508,213.720
1.608,228.059
1.709,211.853
1.809,231.641
1.910,229.073
2.010,199.044
2.110,243.937
2.211,229.519
2.311,217.399
2.411,211.420
2.511,243.687
2.611,211.332
2.712,217.979
2.812,233.934
2.912,215.409
3.013,227.735
3.113,225.711
3.213,216.449
3.314,230.511
3.414,208.871
3.514,250.545
3.614,211.142
3.715,222.939
3.815,232.451
3.915,192.356
4.016,245.451
4.116,202.224
4.217,252.514
4.317,225.772
4.417,223.136
4.517,234.528
4.618,218.319
4.718,214.523
4.819,217.476
4.919,207.962
5.020,245.592
5.120,239.779
5.220,211.648
5.321,223.734
5.421,228.302
5.521,223.195
5.622,200.013
5.722,242.590
5.823,210.265
5.923,220.790
6.023,211.751
6.123,240.516
6.224,237.188
6.324,204.656
6.425,233.892
6.525,188.030
6.626,247.820
6.726,243.858
6.827,210.140
6.927,232.598
7.028,218.163
7.128,229.414
7.229,215.710
7.329,229.513
7.430,218.738
7.530,229.592
7.630,212.389
7.731,222.199
7.831,202.732
7.932,223.084
8.032,237.307
8.132,210.174
8.233,225.500
8.333,244.600
8.434,213.022
8.534,231.277
8.635,210.503
8.735,246.754
8.836,207.412
8.936,246.117
9.037,200.412
9.137,225.191
9.237,240.847
9.338,193.875
9.438,235.809
9.539,227.619
9.639,206.902
9.739,241.158
9.840,236.216
9.940,196.513
10.040,251.348
10.140,193.899
10.241,224.656
10.341,220.524
10.441,234.329
10.542,202.930
10.642,242.178
10.742,216.571
10.843,257.765
10.943,204.275
11.043,222.624
11.143,225.422
11.243,239.296
11.344,216.651
11.444,236.251
11.545,212.708
11.645,218.904
11.745,214.688
11.846,248.066
11.946,193.499
12.047,253.595
12.147,213.361
12.248,236.874
12.348,193.663
12.448,251.075
12.548,206.756
12.649,230.340
12.749,250.407
12.849,195.923
12.950,237.137
13.050,212.374
13.151,235.642
13.251,234.066
13.351,211.022
13.451,235.989
13.552,195.474
13.652,253.713
13.753,210.191
13.853,219.068
13.953,230.430
14.053,256.872
14.154,218.271
14.254,214.148
14.355,238.654
14.455,201.759
14.556,236.089
14.656,235.693
14.756,184.806
14.857,259.960
14.957,218.747
15.058,193.958
15.158,245.133
15.259,205.761
15.359,232.945
15.460,221.761
15.560,228.816
15.660,223.631
15.761,233.627
15.861,224.070
15.962,223.484
16.062,181.420
16.162,224.655
16.262,261.763
16.363,222.514
16.463,253.249
16.564,193.534
16.664,209.634
16.765,274.008
16.865,173.711
16.965,271.277
17.066,197.321
17.166,212.381
17.267,275.122
17.367,166.357
17.467,220.498
17.568,260.295
17.668,234.499
17.768,213.503
17.869,204.994
17.969,248.736
18.069,232.066
18.170,223.071
18.270,233.440
18.370,214.278
18.470,229.151
18.571,194.017
18.671,263.504
18.772,222.120
18.872,177.415
18.973,245.860
19.073,261.315
19.174,188.286
19.274,237.072
19.375,196.273
19.475,279.704
19.576,223.450
19.676,179.928
19.776,263.457
19.876,194.215
19.977,251.533
20.077,227.944
20.178,166.245
20.278,298.618
20.379,157.024
20.479,268.686
20.579,221.191
20.679,231.012
20.780,220.145
20.880,242.976
20.981,224.555
21.081,217.891
21.181,220.439
21.281,243.261
21.382,206.533
21.482,184.303
21.582,253.532
21.683,264.787
21.783,181.830
21.884,262.606
21.984,211.224
22.084,191.261
22.184,233.372
22.285,266.061
22.385,230.320
22.485,204.899
22.586,218.292
22.687,224.507
22.787,247.250
22.887,232.970
22.987,201.431
23.087,256.983
23.188,214.396
23.288,224.901
23.389,220.554
23.489,235.027
23.589,196.434
23.689,200.222
23.790,276.748
23.890,216.072
23.990,210.910
24.091,251.909
24.191,242.028
24.292,232.766
24.392,197.614
24.493,237.220
24.594,235.054
24.694,221.292
24.795,176.902
24.895,247.355
24.995,265.099
25.095,169.908
25.195,284.669
25.296,220.205
25.396,244.103
25.496,202.271
25.597,231.967
25.697,251.224
25.797,323.392
25.898,440.537
25.998,442.765
26.098,442.451
26.198,439.167
26.299,442.767
26.399,440.410
26.499,441.166
26.600,439.696
26.700,444.037
26.800,439.586
26.900,442.921
27.000,440.749
27.101,441.958
27.201,442.352
27.301,440.018
27.401,441.674
27.502,442.304
27.602,442.523
27.702,430.472
27.802,405.213
27.903,407.537
28.003,409.072
28.103,408.733
28.204,408.411
28.304,407.182
28.404,408.906
28.504,409.759
28.605,409.218
28.705,408.963
28.805,410.214
28.905,406.512
29.006,409.221
29.106,408.616
29.206,411.187
29.306,406.684
29.407,409.733
29.507,408.288
29.607,407.730
29.707,409.254
29.808,409.459
29.908,410.180
30.008,406.226
30.108,409.461
30.209,407.837
30.309,410.801
30.409,407.235
30.509,410.070
30.610,410.771
30.710,406.829
30.810,410.012
30.910,408.813
31.011,407.634
31.111,405.645
31.211,411.693
31.311,407.646
31.412,411.507
