time_s,power_W
0.100,202.310
0.201,198.019
0.302,201.053
0.402,199.595
0.503,201.138
0.604,199.633
0.705,200.472
0.805,200.972
0.906,200.208
1.007,203.209
1.107,201.118
1.208,200.095
1.308,204.008
1.409,202.060
1.510,204.068
1.610,205.073
1.710,205.338
1.811,207.881
1.911,207.947
2.011,205.368
2.112,209.194
2.212,205.977
2.312,212.877
2.413,208.203
2.513,206.997
2.613,213.686
2.714,209.164
2.814,212.003
2.914,214.225
3.015,214.952
3.115,214.751
3.215,211.394
3.316,216.389
3.416,217.078
3.516,216.050
3.616,215.857
3.717,216.857
3.817,218.735
3.917,218.121
4.018,218.036
4.118,221.261
4.218,220.255
4.319,219.796
4.419,221.220
4.519,221.214
4.619,222.619
4.720,222.977
4.820,220.877
4.920,222.205
5.020,223.450
5.121,225.704
5.221,226.125
5.321,227.002
5.422,230.092
5.522,226.907
5.622,227.705
5.722,227.795
5.823,229.810
5.923,229.213
6.023,234.325
6.123,229.848
6.224,229.955
6.324,232.687
6.424,232.789
6.524,233.559
6.625,233.717
6.725,233.504
6.825,232.278
6.925,234.276
7.026,236.329
7.126,235.517
7.226,234.988
7.326,236.949
7.427,239.294
7.527,238.065
7.627,244.073
7.727,242.128
7.827,236.727
7.928,242.178
8.028,240.344
8.128,240.623
8.228,239.684
8.329,244.177
8.429,240.000
8.529,243.257
8.630,244.249
8.730,244.086
8.830,245.045
8.930,245.720
9.031,244.067
9.131,246.885
9.231,243.877
9.332,248.369
9.432,248.789
9.532,250.442
9.632,246.461
9.733,246.916
9.833,251.351
9.933,255.895
10.033,249.754
10.134,251.117
10.234,253.532
10.334,249.562
10.434,256.910
10.535,251.164
10.635,256.270
10.735,253.336
10.835,253.580
10.936,252.380
11.036,257.837
11.136,256.818
11.236,257.400
11.337,254.182
11.437,258.476
11.537,254.447
11.637,256.065
11.738,258.098
11.838,253.966
11.938,256.275
12.038,255.699
12.139,258.251
12.239,259.150
12.339,258.302
12.440,254.702
12.540,259.482
12.640,258.570
12.740,258.588
12.841,257.996
12.941,261.841
13.041,257.751
13.141,261.400
13.242,261.862
13.342,264.013
13.442,263.386
13.543,266.410
13.643,260.626
13.743,264.768
13.843,263.552
13.944,266.106
14.044,264.021
14.144,262.708
14.244,263.924
14.345,264.484
14.445,262.372
14.545,264.201
14.645,263.065
14.746,263.795
14.846,261.454
14.946,264.719
15.046,260.779
15.147,265.311
15.247,266.550
15.347,261.880
15.447,262.617
15.548,265.084
15.648,262.005
15.748,260.756
15.849,261.219
15.949,260.597
16.049,262.444
16.149,258.252
16.250,262.007
16.350,261.398
16.450,261.392
16.550,264.675
16.651,259.641
16.751,264.145
16.851,267.716
16.951,264.228
17.052,266.662
17.152,263.598
17.252,263.971
17.353,265.895
17.453,267.488
17.553,263.713
17.653,267.840
17.754,265.503
17.854,264.912
17.954,266.778
18.054,266.913
18.155,266.068
18.255,266.142
18.355,265.554
18.455,264.844
18.556,266.145
18.656,264.555
18.756,263.370
18.857,269.745
18.957,264.774
19.057,266.625
19.157,266.775
19.258,267.878
19.358,266.725
19.458,265.350
19.558,264.098
19.659,264.083
19.759,268.870
19.859,264.165
19.960,266.517
20.060,267.204
20.160,268.356
20.260,268.729
20.361,268.951
20.461,267.012
20.561,271.172
20.662,270.154
20.762,269.809
20.862,268.694
20.962,272.488
21.063,271.967
21.163,270.678
21.263,273.652
21.363,275.682
21.464,271.236
21.564,275.491
21.664,274.639
21.764,274.105
21.865,274.712
21.965,278.981
22.065,276.963
22.165,277.082
22.265,276.842
22.366,277.413
22.466,278.969
22.566,279.624
22.666,281.475
22.766,283.135
22.867,280.420
22.967,282.123
23.067,282.041
23.167,282.927
23.267,284.099
23.368,284.346
23.468,283.298
23.568,285.469
23.668,285.715
23.768,286.806
23.869,286.751
23.969,288.740
24.069,286.875
24.169,284.859
24.269,290.681
24.370,288.250
24.470,290.000
24.570,291.181
24.670,290.241
24.770,292.407
24.870,293.323
24.971,293.429
25.071,293.134
25.171,294.815
25.271,295.616
25.371,292.895
25.472,296.680
25.572,297.507
25.672,297.081
25.772,297.774
25.872,300.281
25.973,298.368
26.073,298.319
26.173,304.620
26.273,298.518
26.373,303.925
26.473,300.697
26.574,304.401
26.674,302.559
26.774,304.394
26.874,303.033
26.974,306.865
27.075,303.353
27.175,305.696
27.275,307.905
27.375,307.518
27.475,305.918
27.576,307.903
27.676,308.786
27.776,308.141
27.876,308.983
27.976,309.505
28.077,310.625
28.177,311.730
28.277,312.013
28.377,313.684
28.477,314.801
28.578,313.512
28.678,315.475
28.778,314.045
28.878,314.489
28.978,316.232
29.079,317.159
29.179,314.770
29.279,319.193
29.379,316.906
29.479,317.034
29.580,319.978
29.680,320.896
29.780,319.528
29.880,320.665
29.980,319.812
30.080,321.409
30.181,324.198
30.281,323.854
30.381,323.781
30.481,324.175
30.581,325.133
30.682,322.927
30.782,329.440
