time_s,power_W
0.100,199.739
0.201,198.740
0.302,198.735
0.403,197.799
0.504,200.378
0.605,197.280
0.705,199.876
0.806,199.197
0.907,196.973
1.007,198.268
1.108,219.825
1.208,218.241
1.308,222.109
1.409,208.714
1.509,223.691
1.609,221.396
1.709,217.099
1.810,218.930
1.910,222.599
2.010,219.122
2.110,215.413
2.211,215.792
2.311,223.741
2.412,216.037
2.512,220.814
2.612,217.578
2.712,213.384
2.813,223.863
2.913,214.188
3.013,216.321
3.114,216.534
3.214,223.625
3.314,215.066
3.415,214.491
3.515,224.784
3.616,217.920
3.716,221.401
3.816,215.642
3.917,218.107
4.017,221.103
4.117,220.614
4.218,216.852
4.318,223.731
4.418,218.742
4.519,217.676
4.619,214.962
4.720,214.634
4.820,224.147
4.920,212.285
5.021,223.569
5.121,219.897
5.221,224.229
5.322,210.712
5.422,220.193
5.523,223.439
5.623,222.709
5.723,219.971
5.823,215.353
5.924,222.617
6.024,217.464
6.124,212.547
6.224,225.099
6.325,221.385
6.425,214.760
6.525,221.711
6.626,219.150
6.726,212.987
6.826,223.101
6.926,220.632
7.027,225.512
7.127,211.524
7.227,229.155
7.328,209.593
7.428,231.191
7.528,214.749
7.628,226.216
7.729,221.680
7.829,213.562
7.929,223.303
8.029,213.219
8.130,221.813
8.230,223.273
8.331,212.552
8.431,217.128
8.531,214.499
8.632,225.508
8.732,215.236
8.833,217.399
8.933,231.456
9.034,210.553
9.134,215.006
9.235,228.612
9.335,218.506
9.435,221.254
9.536,210.650
9.636,225.582
9.736,216.218
9.837,226.568
9.937,209.230
10.037,224.979
10.138,218.894
10.238,222.238
10.339,211.710
10.439,222.304
10.540,216.595
10.640,225.385
10.741,224.817
10.841,215.894
10.942,225.796
11.042,212.874
11.143,221.693
11.243,212.452
11.343,223.958
11.444,234.372
11.544,218.683
11.644,215.068
11.745,209.031
11.845,231.532
11.946,216.403
12.046,222.082
12.147,222.647
12.247,219.855
12.348,219.702
12.448,219.726
12.548,224.312
12.649,215.035
12.749,225.332
12.850,219.752
12.950,214.855
13.051,221.265
13.151,217.068
13.251,224.993
13.352,213.347
13.452,215.354
13.553,225.484
13.653,223.377
13.754,215.231
13.854,222.774
13.954,214.338
14.055,221.867
14.155,222.155
14.255,214.123
14.356,218.280
14.456,218.107
14.556,216.701
14.657,212.114
14.757,220.505
14.857,228.561
14.958,217.103
15.058,217.849
15.159,219.163
15.259,214.616
15.359,218.481
15.460,215.790
15.560,227.226
15.661,216.803
15.761,215.452
15.861,223.309
15.962,222.185
16.062,215.024
16.162,209.291
16.263,234.388
16.363,199.772
16.463,235.477
16.564,221.782
16.664,217.321
16.765,220.617
16.865,220.144
16.966,203.759
17.066,232.345
17.167,193.648
17.267,245.110
17.367,199.606
17.468,220.714
17.568,229.366
17.669,221.332
17.769,214.390
17.870,216.382
17.970,215.348
18.071,229.165
18.172,204.617
18.272,220.737
18.373,220.836
18.474,224.556
18.575,212.295
18.675,215.055
18.776,226.907
18.877,207.136
18.977,225.486
19.078,217.142
19.178,222.821
19.279,218.417
19.379,216.685
19.480,217.723
19.580,207.231
19.681,236.543
19.782,199.407
19.882,229.236
19.982,216.610
20.083,221.090
20.183,227.563
20.284,224.175
20.385,209.406
20.485,220.891
20.586,207.804
20.687,219.506
20.787,222.496
20.888,216.703
20.988,220.174
21.089,207.139
21.189,235.263
21.290,210.091
21.390,233.545
21.491,216.186
21.591,217.907
21.691,215.370
21.792,213.937
21.892,212.439
21.993,222.049
22.093,221.502
22.193,223.922
22.294,217.456
22.394,218.565
22.495,218.687
22.595,218.273
22.696,208.149
22.796,233.291
22.896,206.096
22.997,223.322
23.097,212.748
23.198,225.846
23.298,204.043
23.399,232.094
23.499,216.848
23.600,214.205
23.700,226.101
23.801,224.587
23.901,213.152
24.002,229.447
24.102,191.336
24.202,237.543
24.303,228.311
24.403,201.689
24.503,210.378
24.604,231.998
24.704,208.040
24.805,240.426
24.905,211.227
25.006,220.297
25.106,204.449
25.206,222.682
25.307,211.019
25.407,225.273
25.508,232.605
25.608,208.016
25.709,212.435
25.809,344.396
25.909,440.800
26.010,441.637
26.110,443.655
26.210,441.459
26.310,440.445
26.411,439.242
26.511,444.945
26.611,439.480
26.711,442.315
26.812,442.225
26.912,439.278
27.012,441.096
27.113,442.318
27.213,441.800
27.313,440.101
27.413,444.145
27.513,440.791
27.614,441.722
27.714,439.318
27.814,406.022
27.914,406.465
28.015,410.536
28.115,405.866
28.215,410.264
28.316,408.606
28.416,409.041
28.516,407.992
28.616,409.589
28.717,408.074
28.817,410.044
28.917,407.118
29.017,409.682
29.118,410.516
29.218,408.571
29.318,408.673
29.418,407.741
29.519,408.477
29.619,408.013
29.719,409.596
29.819,409.956
29.920,409.354
30.020,407.364
30.120,409.445
30.220,408.277
30.321,410.045
30.421,407.176
30.521,408.846
30.621,410.427
30.722,407.398
30.822,407.830
30.922,410.871
31.022,405.594
31.123,411.361
31.223,408.662
31.323,409.962
31.423,406.306
31.524,410.994
31.624,408.935
31.724,407.421
31.824,408.226
31.924,410.176
32.025,408.784
32.125,409.896
32.225,407.090
32.326,409.517
32.426,409.153
32.526,407.299
32.626,409.445
32.727,408.315
32.827,409.044
32.927,410.190
33.027,406.149
33.127,411.320
33.228,409.117
33.328,239.725
33.428,163.299
33.529,251.324
33.629,253.166
33.730,221.731
33.830,159.750
33.931,202.903
34.031,248.928
34.131,147.814
34.232,258.483
34.333,251.277
34.433,205.869
34.534,237.148
34.635,190.232
34.736,274.743
34.837,128.815
34.937,281.171
35.038,190.356
35.138,280.372
35.238,177.762
35.338,254.241
35.439,172.146
35.539,231.604
35.640,178.210
35.740,269.681
35.841,234.506
35.942,145.021
36.043,264.079
36.144,167.410
36.245,243.043
36.346,215.919
36.447,282.549
36.548,147.890
36.648,275.427
36.748,128.076
36.849,296.760
36.950,195.130
37.050,239.929
37.151,215.932
37.252,200.201
37.352,171.762
37.453,246.767
37.554,152.482
37.654,283.566
37.755,228.645
37.856,182.361
37.956,223.719
38.057,245.578
38.157,161.674
38.258,259.371
38.359,264.991
38.459,182.109
38.560,258.161
38.660,177.839
38.761,201.765
38.862,231.020
38.963,250.867
39.063,212.530
39.164,243.137
39.264,173.690
39.364,215.535
39.465,265.767
39.565,164.944
39.665,271.355
39.766,180.908
39.866,240.936
39.967,216.892
40.068,160.901
40.168,257.124
40.269,206.346
40.369,179.127
40.470,197.587
40.570,263.558
40.671,235.273
40.772,200.235
40.872,188.025
40.973,278.818
41.073,167.548
41.174,258.263
41.274,154.645
41.375,266.419
41.475,242.371
41.576,143.006
41.676,249.330
41.777,207.536
41.877,226.107
41.978,190.587
42.078,243.921
42.179,279.576
42.279,177.365
42.380,261.195
42.481,101.223
42.581,289.797
42.682,237.483
42.783,210.594
42.883,130.910
42.984,307.276
43.084,193.811
43.184,151.168
43.285,251.233
43.385,228.877
43.486,233.789
43.586,264.533
43.687,202.205
43.788,147.200
43.888,264.221
43.988,179.795
44.089,271.718
44.189,211.139
44.290,143.643
44.390,289.822
44.491,194.831
44.592,269.937
44.692,226.568
44.793,102.254
44.893,273.476
44.994,181.578
45.095,283.469
45.195,125.954
45.296,261.791
45.396,272.720
45.496,146.781
45.597,271.238
45.697,171.368
45.798,241.804
45.899,161.827
45.999,250.185
46.100,241.741
46.200,183.034
46.300,193.092
46.401,257.328
46.501,177.490
46.602,275.018
46.703,145.340
46.803,235.062
46.904,211.583
47.005,247.041
47.106,189.393
47.206,237.331
47.306,219.527
47.407,214.334
47.508,182.688
47.608,270.503
47.709,172.761
47.809,244.657
47.910,224.135
48.011,170.841
48.111,220.431
48.212,211.214
48.313,281.778
48.413,109.265
48.514,274.526
48.615,192.943
48.716,262.476
48.816,185.503
48.917,199.755
49.017,223.005
49.118,221.856
49.218,264.878
49.319,147.868
49.419,260.452
49.519,214.267
49.620,130.475
49.720,323.830
49.821,232.615
49.921,125.314
50.022,243.114
50.123,203.163
50.224,207.494
50.324,259.146
50.425,223.436
50.526,218.454
50.627,132.354
50.727,234.796
50.827,286.081
50.928,205.864
51.028,152.314
51.129,240.777
51.229,216.100
51.330,243.234
51.431,181.156
51.531,247.275
51.632,218.070
51.732,243.022
51.833,187.437
51.933,200.409
52.034,243.880
52.135,239.008
52.235,206.514
52.336,185.622
52.437,213.648
52.537,178.681
52.638,249.761
52.739,216.577
52.839,164.472
52.940,237.132
53.040,253.851
53.140,189.106
53.241,258.052
53.342,119.692
53.442,272.046
53.543,170.354
53.643,274.306
53.744,202.329
53.845,249.014
53.945,188.422
54.045,225.665
54.146,194.426
54.247,288.916
54.347,107.309
54.448,272.196
54.548,202.322
54.649,286.643
54.750,133.142
54.851,239.456
54.952,226.188
55.053,204.324
55.153,235.374
55.253,148.899
55.354,245.642
55.455,217.753
55.556,201.439
55.656,242.756
55.756,221.770
55.856,156.429
55.957,238.458
56.058,255.217
56.158,216.968
56.259,171.116
56.359,270.305
56.460,203.518
56.560,185.996
56.660,169.488
56.761,219.410
56.861,291.763
56.962,187.887
57.063,173.486
57.163,286.815
57.264,209.913
57.364,193.714
57.465,232.462
57.565,192.819
57.666,205.999
57.767,194.767
57.867,248.963
57.968,211.639
58.068,134.868
58.169,285.245
58.269,197.842
58.370,206.233
58.470,207.287
58.571,243.823
58.672,239.044
58.772,171.333
58.873,212.032
58.973,278.850
59.074,170.935
59.175,244.412
59.276,223.062
59.376,156.158
59.477,267.371
59.578,150.863
59.678,270.402
59.779,221.620
59.879,161.448
59.980,311.249
60.081,194.024
60.182,189.536
60.283,270.100
60.383,142.099
60.484,240.050
60.585,217.007
60.686,221.963
60.787,184.777
60.887,289.069
60.988,162.336
61.088,248.380
61.189,241.629
61.289,219.236
61.390,138.502
61.490,196.958
61.591,278.423
61.692,208.444
61.793,187.346
61.893,261.163
61.994,287.248
62.095,137.104
62.196,197.211
62.297,256.916
62.398,260.163
62.499,212.773
62.600,138.918
62.701,262.315
62.801,224.506
62.902,176.267
63.002,246.467
63.103,206.001
63.203,450.940
63.304,441.588
63.404,441.856
63.504,440.944
63.604,443.047
63.705,437.191
63.805,443.403
63.905,443.645
64.006,439.683
64.106,441.868
64.206,442.397
64.306,440.368
64.407,441.320
64.507,440.364
64.607,443.239
64.707,442.821
64.807,440.546
64.908,440.417
65.008,439.865
65.108,436.917
65.208,408.036
65.308,408.353
65.409,407.522
65.509,407.599
65.609,408.969
65.709,409.785
65.809,408.021
65.910,408.875
66.010,407.462
66.110,410.484
66.210,407.433
66.310,408.753
66.411,407.985
66.511,409.327
66.611,410.084
66.711,408.597
66.812,408.664
66.912,409.134
67.012,409.324
67.112,407.858
67.212,408.961
67.313,408.396
67.413,410.419
67.513,407.126
67.613,409.787
67.713,408.881
67.814,408.498
67.914,409.176
68.014,409.110
68.114,409.227
68.214,409.008
68.315,408.888
68.415,409.175
68.515,408.951
68.615,407.024
68.716,410.619
68.816,407.938
68.916,408.375
69.016,409.111
69.117,408.101
69.217,408.941
69.317,409.953
69.417,408.929
69.518,408.041
69.618,409.456
69.718,407.806
69.818,407.684
69.919,408.948
70.019,410.091
70.119,408.493
70.219,408.389
70.320,238.552
70.420,171.457
70.521,227.846
70.621,230.038
70.722,179.504
70.822,265.296
70.923,181.779
71.024,246.137
71.124,216.634
71.225,187.764
71.326,171.886
71.426,247.622
71.527,217.691
71.628,142.044
71.728,280.594
71.829,254.996
71.929,179.795
72.030,214.246
72.130,240.624
72.231,190.536
72.331,229.291
72.432,247.985
72.532,241.782
72.633,141.685
72.734,236.642
72.834,232.872
72.935,214.287
73.035,244.024
73.136,138.565
73.237,216.070
73.337,231.350
73.438,229.693
73.539,226.134
73.639,164.981
73.739,267.893
73.840,168.875
73.940,191.104
74.041,297.142
74.141,182.822
74.242,254.839
74.342,109.374
74.443,269.706
74.544,265.873
74.644,140.494
74.745,226.122
74.846,285.895
74.947,119.022
75.047,289.290
75.148,147.944
75.249,281.496
75.349,157.383
75.450,283.202
75.551,208.390
75.652,171.727
75.752,176.930
75.853,247.329
75.954,176.401
76.055,248.165
76.155,211.147
76.256,208.027
76.357,187.033
76.457,272.924
76.558,259.178
76.659,151.482
76.759,213.814
76.860,226.653
76.960,201.125
77.060,244.135
77.161,187.000
77.262,225.531
77.362,128.330
77.463,261.178
77.563,254.029
77.664,177.682
77.764,259.520
77.865,187.053
77.965,249.011
78.066,167.826
78.166,204.479
78.267,214.352
78.367,200.729
78.468,213.971
78.568,241.843
78.669,163.729
78.769,235.969
78.870,277.290
78.970,157.313
79.070,249.066
79.171,161.904
79.271,227.817
79.372,204.941
79.472,274.249
79.573,174.032
79.674,264.316
79.774,124.261
79.875,235.580
79.975,275.205
80.076,151.027
80.176,208.912
80.277,169.773
80.377,227.790
80.478,254.937
80.579,191.489
80.679,249.537
80.780,237.768
80.880,198.297
80.981,145.308
81.081,256.789
81.182,167.170
81.282,268.442
81.383,245.976
81.483,134.059
81.584,273.714
81.684,198.350
81.785,234.631
81.886,205.199
81.987,214.755
82.087,209.490
82.187,221.142
82.288,229.034
82.389,225.786
82.489,172.487
82.590,249.121
82.690,205.954
82.791,190.477
82.892,219.483
82.992,240.603
83.093,230.558
83.194,201.228
83.294,205.794
83.395,268.204
83.495,174.946
83.596,178.270
83.697,295.280
83.797,176.295
83.898,181.064
83.999,230.800
84.100,202.132
84.200,186.002
84.301,269.941
84.401,182.125
84.502,211.236
84.602,292.075
84.703,138.750
84.803,270.423
84.904,187.608
85.004,212.698
85.105,200.266
85.206,158.401
85.307,237.677
85.408,276.379
85.509,246.147
85.610,124.072
85.711,294.176
85.811,206.634
85.912,223.350
86.013,221.884
86.114,213.500
86.215,132.943
86.316,302.721
86.417,176.247
86.518,533.559
86.618,440.229
86.719,443.972
86.819,439.446
86.919,442.255
87.019,442.180
87.120,437.379
87.220,444.382
87.320,443.935
87.420,439.257
87.521,441.604
87.621,441.650
87.721,440.818
87.821,441.735
87.922,441.278
88.022,440.823
88.122,443.008
88.222,442.063
88.323,439.797
88.423,426.304
88.523,405.722
88.624,409.169
88.724,408.474
88.824,407.847
88.924,407.268
89.025,409.526
89.125,410.249
89.225,407.344
89.325,408.509
89.426,410.749
89.526,407.614
89.626,408.699
89.726,409.390
89.827,409.396
89.927,408.640
90.027,407.795
90.127,409.154
90.228,409.273
90.328,407.760
90.428,409.063
90.528,409.295
90.628,409.102
90.729,408.494
90.829,408.064
90.929,407.596
91.029,407.818
91.130,411.171
91.230,407.213
91.330,411.441
91.430,407.899
91.531,409.705
91.631,406.342
91.731,409.452
91.831,409.807
91.932,408.955
92.032,409.690
92.132,407.450
92.232,408.520
92.333,409.392
92.433,408.467
92.533,409.753
92.633,408.819
92.734,407.832
92.834,409.475
92.934,409.425
93.034,407.132
93.134,411.098
93.235,408.126
93.335,409.127
93.435,407.855
93.535,408.877
93.635,408.290
93.736,408.533
93.836,409.142
93.936,409.749
94.037,408.571
94.137,407.493
94.237,410.466
94.337,408.218
94.437,410.235
94.538,408.714
94.638,404.220
94.738,412.272
94.838,410.065
94.938,407.147
95.039,410.087
95.139,408.857
95.239,184.726
95.340,192.859
95.440,193.113
95.540,233.384
95.641,237.459
95.741,179.708
95.842,215.631
95.942,294.278
96.042,208.983
96.142,182.665
96.243,206.850
96.343,236.434
96.444,173.551
96.544,196.229
96.645,224.121
96.745,221.995
96.846,285.511
96.946,106.771
97.046,292.447
97.147,206.231
97.248,197.843
97.348,254.532
97.448,202.026
97.549,228.111
97.649,201.577
97.750,198.846
97.850,267.195
97.951,111.835
98.051,287.261
98.152,212.343
98.253,221.140
98.353,175.699
98.453,215.249
98.553,245.669
98.654,248.100
98.755,172.317
98.855,217.371
98.955,220.305
99.056,214.894
99.156,194.136
99.257,213.199
99.357,203.352
99.457,218.377
99.558,240.563
99.658,170.105
99.759,289.850
99.859,163.719
99.960,251.569
100.061,142.644
100.161,271.359
100.262,177.123
100.363,224.666
100.464,207.398
100.565,254.192
100.666,232.811
100.766,123.875
100.867,274.236
100.968,256.691
101.068,133.649
101.169,215.531
101.270,273.315
101.370,179.043
101.471,195.051
101.571,249.713
101.672,192.641
101.773,254.574
101.873,123.103
101.974,269.282
102.075,202.105
102.175,186.166
102.276,275.522
102.377,130.545
102.478,298.363
102.578,233.732
102.679,171.243
102.780,218.760
102.881,154.492
102.982,288.622
103.083,155.844
103.183,282.613
103.284,187.617
103.385,188.116
103.485,146.668
103.586,311.052
103.686,190.159
103.787,273.395
103.888,205.293
103.989,225.108
104.090,195.974
104.191,229.523
104.292,188.717
104.393,170.817
104.493,260.328
104.594,252.676
104.695,134.337
104.796,228.564
104.896,231.171
104.997,225.705
105.098,217.056
105.199,208.569
105.299,234.006
105.400,242.828
105.501,171.169
105.601,249.941
105.702,118.091
105.803,303.338
105.903,210.975
106.004,169.879
106.105,222.020
106.206,223.150
106.306,268.797
106.407,182.292
106.508,164.530
106.608,259.832
106.709,220.180
106.809,293.026
106.910,107.533
107.010,257.366
107.111,237.989
107.211,233.701
107.312,236.720
107.412,150.994
107.512,276.078
107.613,190.122
107.713,183.303
107.814,274.052
107.914,137.937
108.014,259.461
108.115,150.225
108.215,275.342
108.316,202.451
108.416,199.632
108.517,225.618
108.617,228.072
108.718,247.667
108.818,143.589
108.919,290.483
109.019,179.672
109.120,199.607
109.221,234.025
109.321,184.995
109.422,202.756
109.523,256.524
109.624,181.072
109.724,219.759
109.824,215.638
