time_s,power_W
0.100,196.365
0.201,194.042
0.302,195.320
0.403,196.254
0.503,190.148
0.604,195.602
0.705,192.775
0.805,195.865
0.906,191.849
1.007,196.500
1.107,197.765
1.208,194.642
1.308,198.871
1.409,195.163
1.510,198.470
1.610,200.895
1.710,201.084
1.811,196.353
1.911,202.732
2.011,201.081
2.112,202.336
2.212,203.482
2.312,203.916
2.413,206.024
2.513,202.999
2.613,208.879
2.714,209.541
2.814,207.443
2.914,207.928
3.015,205.909
3.115,211.597
3.215,209.576
3.316,209.142
3.416,210.287
3.516,211.966
3.617,209.788
3.717,213.287
3.817,212.010
3.918,213.756
4.018,215.589
4.118,214.225
4.219,212.657
4.319,214.744
4.419,215.648
4.520,216.043
4.620,215.432
4.720,220.042
4.821,219.093
4.921,215.968
5.021,223.772
5.122,219.093
5.222,218.385
5.322,221.056
5.423,222.260
5.523,221.381
5.623,225.403
5.724,222.937
5.824,220.068
5.924,224.733
6.025,226.849
6.125,224.826
6.225,228.723
6.326,225.696
6.426,227.483
6.526,230.102
6.627,225.330
6.727,230.875
6.827,228.724
6.928,231.884
7.028,230.197
7.128,232.860
7.229,230.192
7.329,234.981
7.429,231.553
7.529,233.648
7.629,231.508
7.730,232.721
7.830,235.241
7.930,236.929
8.031,232.403
8.131,237.271
8.231,236.070
8.331,240.699
8.432,238.214
8.532,241.392
8.632,235.150
8.732,239.021
8.833,239.335
8.933,242.678
9.033,240.233
9.133,243.047
9.234,239.512
9.334,245.064
9.434,243.002
9.534,244.389
9.635,247.470
9.735,243.764
9.835,244.464
9.935,245.085
10.036,247.145
10.136,245.883
10.236,246.339
10.336,248.978
10.437,245.316
10.537,248.797
10.637,249.730
10.737,251.946
10.838,248.979
10.938,251.763
11.038,250.150
11.138,250.619
11.239,251.253
11.339,251.542
11.439,249.770
11.539,251.225
11.640,250.219
11.740,252.011
11.840,252.264
11.941,254.065
12.041,252.915
12.141,252.779
12.241,252.225
12.342,258.290
12.442,256.199
12.542,256.819
12.643,253.456
12.743,257.755
12.843,258.486
12.943,260.119
13.044,258.649
13.144,259.871
13.244,256.902
13.344,262.114
13.445,259.643
13.545,258.827
13.645,257.183
13.745,258.758
13.846,258.090
13.946,259.888
14.046,255.732
14.146,258.143
14.247,260.826
14.347,258.465
14.447,259.360
14.547,259.594
14.648,256.628
14.748,261.805
14.848,256.476
14.949,257.080
15.049,257.158
15.149,252.691
15.249,256.384
15.350,255.464
15.450,257.866
15.550,257.407
15.650,256.451
15.751,260.278
15.851,258.181
15.951,255.305
16.052,259.054
16.152,261.293
16.252,259.272
16.352,262.413
16.453,260.896
16.553,259.162
16.653,266.388
16.753,257.393
16.854,263.657
16.954,262.540
17.054,260.391
17.154,262.142
17.255,261.878
17.355,259.818
17.455,261.047
17.555,262.858
17.656,261.008
17.756,260.755
17.856,263.538
17.957,261.034
18.057,262.845
18.157,261.201
18.257,265.143
18.358,260.321
18.458,262.067
18.558,261.821
18.658,258.932
18.759,264.135
18.859,259.754
18.959,263.213
19.059,262.510
19.160,261.430
19.260,264.205
19.360,263.325
19.460,261.308
19.561,266.425
19.661,262.368
19.761,268.071
19.862,265.144
19.962,264.100
20.062,267.648
20.162,267.032
20.263,268.736
20.363,268.286
20.463,266.189
20.563,270.085
20.664,268.644
20.764,268.134
20.864,268.508
20.965,269.990
21.065,270.057
21.165,271.370
21.265,273.680
21.365,272.509
21.465,272.240
21.566,272.677
21.666,273.552
21.766,273.063
21.866,276.051
21.966,275.448
22.067,275.342
22.167,276.730
22.267,277.012
22.367,278.341
22.467,282.277
22.568,280.074
22.668,280.215
22.768,280.514
22.868,279.409
22.968,282.321
23.069,282.287
23.169,283.678
23.269,282.835
23.369,283.360
23.469,284.472
23.570,285.974
23.670,284.591
23.770,285.237
23.870,285.568
23.970,286.848
24.070,285.677
24.171,288.458
24.271,288.924
24.371,288.066
24.471,290.336
24.571,291.903
24.672,291.763
24.772,293.554
24.872,289.000
24.972,293.734
25.072,293.827
25.173,297.773
25.273,292.694
25.373,296.720
25.473,294.905
25.573,295.679
25.674,296.134
25.774,297.010
25.874,299.766
25.974,297.948
26.074,298.976
26.175,299.804
26.275,299.732
26.375,299.006
26.475,300.845
26.575,301.714
26.676,303.122
26.776,302.986
26.876,302.195
26.976,308.453
27.076,304.916
27.176,304.733
27.277,305.537
27.377,305.816
27.477,305.267
27.577,309.641
27.677,307.153
27.778,308.924
27.878,307.223
27.978,310.794
28.078,310.672
28.178,312.064
28.279,311.559
28.379,310.627
28.479,312.271
28.579,313.495
28.679,314.903
28.780,314.549
28.880,313.690
28.980,316.052
29.080,313.981
29.180,317.803
29.281,316.828
29.381,319.659
29.481,318.629
29.581,319.719
29.681,318.149
29.782,317.869
29.882,320.831
29.982,321.369
30.082,319.852
30.182,323.859
30.283,319.260
30.383,325.593
30.483,323.897
30.583,326.124
30.683,323.447
30.784,325.157
30.884,324.610
30.984,325.292
31.084,325.336
31.184,324.609
31.285,325.399
31.385,326.157
31.485,324.820
31.585,328.410
31.685,328.854
31.785,327.052
31.886,328.790
31.986,327.621
32.086,326.135
32.186,332.798
32.286,326.748
32.387,331.346
32.487,330.616
32.587,331.178
32.687,331.006
32.787,333.139
32.888,332.067
32.988,332.797
33.088,334.751
33.188,332.803
33.288,333.628
33.389,334.291
33.489,331.339
33.589,333.146
33.689,330.712
33.789,332.633
33.890,330.789
33.990,333.004
34.090,333.716
34.190,332.329
34.290,332.525
34.391,331.900
34.491,335.493
34.591,331.234
34.691,333.356
34.791,330.698
34.892,328.248
34.992,328.639
35.092,329.868
35.192,329.212
35.292,331.455
35.393,329.257
35.493,332.824
35.593,330.575
35.693,331.413
35.793,331.766
35.894,331.704
35.994,332.045
36.094,333.998
36.194,332.788
36.294,336.811
36.395,334.918
36.495,333.774
36.595,333.404
36.695,335.703
36.795,336.152
36.896,335.285
36.996,335.830
37.096,336.969
37.196,334.084
37.296,336.502
37.396,333.930
37.497,341.167
37.597,333.572
37.697,333.368
37.797,337.809
37.897,335.242
37.998,336.607
38.098,338.896
38.198,334.271
38.298,338.132
38.398,335.242
38.499,337.579
38.599,338.090
38.699,337.992
38.799,335.401
38.899,335.696
39.000,336.471
39.100,336.097
39.200,334.991
39.300,337.984
39.400,336.615
39.501,337.034
39.601,338.759
39.701,337.620
39.801,338.174
39.901,339.665
40.002,339.000
40.102,339.647
40.202,338.578
40.302,339.172
40.402,342.133
40.503,341.739
40.603,340.402
40.703,340.262
40.803,343.687
40.903,342.882
41.004,344.859
41.104,340.963
41.204,342.510
41.304,342.547
41.404,342.385
41.504,343.482
41.605,342.362
41.705,344.661
41.805,343.958
41.905,342.591
42.005,342.983
42.106,345.988
42.206,344.797
42.306,341.821
42.406,345.642
42.506,345.723
42.607,342.159
42.707,345.490
42.807,345.453
42.907,342.393
43.007,343.554
43.108,346.068
43.208,343.328
43.308,347.234
43.408,345.725
43.508,345.688
43.609,343.228
43.709,344.643
43.809,345.249
43.909,344.136
44.009,345.051
44.110,344.393
44.210,345.476
44.310,343.775
44.410,346.932
44.510,345.739
44.610,343.636
44.711,345.277
44.811,346.171
44.911,343.530
