time_s,power_W
0.100,196.951
0.201,195.725
0.302,198.100
0.402,198.187
0.503,195.937
0.604,194.991
0.704,197.363
0.805,199.834
0.906,197.597
1.006,210.175
1.107,332.160
1.207,324.341
1.307,326.086
1.408,320.678
1.508,322.063
1.608,318.665
1.709,318.324
1.810,318.466
1.910,320.005
2.010,319.521
2.111,319.660
2.211,321.181
2.312,317.843
2.412,316.185
2.512,314.521
2.612,319.338
2.713,320.224
2.813,315.970
2.913,315.321
3.014,320.310
3.114,317.414
3.215,320.636
3.315,320.623
3.415,322.242
3.516,315.704
3.616,319.759
3.716,317.025
3.817,319.181
3.917,320.512
4.017,317.296
4.118,321.734
4.218,317.368
4.319,319.857
4.419,316.716
4.520,322.122
4.620,322.250
4.720,320.137
4.821,328.536
4.922,317.291
5.022,318.755
5.122,327.848
5.223,322.930
5.323,318.901
5.424,318.964
5.524,322.538
5.625,321.557
5.725,318.554
5.825,326.899
5.925,315.986
6.026,318.500
6.126,318.458
6.227,316.902
6.327,323.669
6.427,316.161
6.528,322.202
6.628,316.120
6.729,321.445
6.829,314.742
6.929,311.990
7.030,321.205
7.130,310.910
7.230,325.697
7.330,316.382
7.431,319.999
7.531,313.850
7.632,318.863
7.732,321.455
7.832,323.386
7.933,320.493
8.033,329.053
8.133,317.528
8.234,318.088
8.335,314.647
8.435,324.431
8.536,312.737
8.636,317.658
8.736,322.641
8.837,316.814
8.937,318.524
9.037,319.269
9.138,322.120
9.238,316.215
9.338,315.613
9.439,319.584
9.539,322.497
9.640,326.071
9.740,321.819
9.840,325.504
9.940,324.270
10.041,322.497
10.141,325.308
10.241,317.323
10.342,324.575
10.442,320.820
10.543,316.019
10.643,324.136
10.743,320.414
10.844,318.871
10.944,320.223
11.045,322.088
11.145,326.906
11.245,325.826
11.346,322.415
11.446,319.095
11.546,323.962
11.647,320.549
11.747,318.766
11.847,323.111
11.948,316.027
12.048,325.808
12.148,316.679
12.249,319.936
12.349,314.157
12.450,319.469
12.550,321.499
12.651,317.467
12.751,322.090
12.851,315.916
12.951,315.359
13.052,320.301
13.152,319.651
13.252,322.728
13.353,314.447
13.453,322.081
13.554,318.934
13.654,323.694
13.754,322.887
13.855,320.125
13.955,317.411
14.056,313.427
14.156,317.073
14.257,320.241
14.357,327.550
14.457,316.374
14.557,317.799
14.658,318.101
14.758,318.705
14.858,323.081
14.959,316.344
15.059,320.765
15.160,317.099
15.260,314.606
15.360,323.280
15.461,316.444
15.561,316.522
15.662,316.436
15.762,314.683
15.863,318.826
15.964,317.283
16.065,238.770
16.166,199.953
16.266,207.260
16.367,203.709
16.468,206.350
16.568,201.876
16.669,208.550
16.770,200.919
16.871,205.697
16.972,203.670
17.072,204.053
17.173,200.520
17.273,207.187
17.374,205.310
17.475,199.129
17.575,206.566
17.676,201.164
17.777,205.638
17.878,201.913
17.978,204.667
18.079,200.270
18.180,203.985
18.280,206.782
18.381,203.035
18.482,206.419
18.582,200.960
18.683,201.021
18.784,203.153
18.885,201.462
18.985,202.808
19.086,205.648
19.187,198.496
19.287,201.163
19.388,203.850
19.488,200.848
19.589,202.895
19.690,203.020
19.790,199.798
19.891,201.926
19.991,204.734
20.092,199.858
20.193,196.641
20.293,205.963
20.394,200.224
20.495,205.911
20.595,198.370
20.696,204.032
20.796,201.470
20.897,199.327
20.997,202.792
21.098,202.569
21.198,199.061
21.299,202.548
21.400,201.151
21.501,202.275
21.602,200.275
21.702,201.639
21.803,202.517
21.904,200.910
22.004,202.771
22.105,202.219
22.206,201.486
22.306,201.754
22.406,196.723
22.507,202.110
22.608,201.984
22.708,201.333
22.809,201.534
22.909,200.276
23.010,200.622
23.111,204.964
23.211,196.843
23.312,201.165
23.413,201.657
23.513,196.667
23.614,204.838
23.715,200.277
23.815,200.782
23.916,202.906
24.016,202.291
24.117,198.147
24.218,202.531
24.318,198.993
24.419,200.633
24.520,202.147
24.621,200.231
24.721,200.252
24.822,200.460
24.923,198.694
25.023,201.530
25.124,200.965
25.225,200.806
25.326,201.458
25.427,200.285
25.527,201.928
25.628,198.676
25.729,199.807
25.829,197.869
25.930,201.301
26.031,267.858
26.131,368.875
26.231,371.133
26.331,370.011
26.432,375.140
26.532,373.020
26.632,370.760
26.732,374.180
26.833,372.448
26.933,372.738
27.033,371.911
27.133,371.782
27.234,376.344
27.334,372.649
27.434,372.384
27.534,375.903
27.635,374.372
27.735,371.919
27.835,374.566
27.935,372.901
28.036,374.697
28.136,371.583
28.236,373.083
28.336,376.988
28.436,371.761
28.537,373.564
28.637,375.853
28.737,373.804
28.837,376.243
28.938,373.613
29.038,373.603
29.138,374.325
29.238,374.906
29.338,371.700
29.439,375.282
29.539,373.168
29.639,372.323
29.739,375.929
29.840,371.701
29.940,377.876
30.040,373.679
30.140,374.565
30.241,372.612
30.341,373.852
30.441,372.623
30.541,373.983
30.642,376.092
30.742,371.116
30.842,374.831
30.942,373.512
31.042,376.750
31.143,372.003
31.243,376.119
31.343,374.150
31.443,371.408
31.544,374.812
31.644,374.165
31.744,373.972
31.844,374.543
31.944,372.848
32.045,372.875
32.145,376.338
32.245,377.274
32.345,374.313
32.446,370.529
32.546,375.841
32.646,373.351
32.746,371.315
32.846,375.907
32.947,374.892
33.047,371.365
33.147,375.497
33.247,374.354
33.348,375.890
33.448,373.541
33.548,374.836
33.648,373.681
33.748,372.796
33.849,374.153
33.949,374.780
34.049,373.991
34.149,373.851
34.249,373.844
34.350,375.325
34.450,372.749
34.550,376.768
34.650,373.687
34.750,374.428
34.851,369.390
34.951,377.263
35.051,372.503
35.151,377.210
35.251,371.628
35.352,375.234
35.452,372.031
35.552,374.307
35.652,375.064
35.752,374.347
35.853,376.755
35.953,373.028
36.053,374.002
36.153,374.362
36.253,372.743
36.353,374.694
36.454,373.584
36.554,374.447
36.654,371.755
36.754,375.427
36.854,373.938
36.955,375.370
37.055,374.029
37.155,373.191
37.255,373.056
37.355,374.821
37.456,372.229
37.556,376.613
37.656,373.066
37.756,375.341
37.856,374.155
37.957,371.924
38.057,375.780
38.157,375.078
38.257,372.609
38.357,373.357
38.458,374.935
38.558,374.822
38.658,373.193
38.758,372.688
38.858,375.077
38.958,371.385
39.059,376.680
39.159,374.784
39.259,372.144
39.359,376.668
39.459,372.818
39.560,375.058
39.660,373.663
39.760,371.002
39.860,375.436
39.960,374.862
40.061,372.717
40.161,374.491
40.261,373.721
40.361,375.066
40.461,376.793
40.562,373.684
40.662,373.580
40.762,373.251
40.862,374.193
40.962,373.258
41.063,337.409
41.163,331.601
41.263,323.722
41.364,325.856
41.464,319.044
41.565,323.875
41.665,321.167
41.765,318.401
41.866,319.263
41.966,315.091
42.066,311.949
42.167,321.863
42.267,316.459
42.367,322.662
42.468,318.331
42.568,315.109
42.668,324.332
42.769,323.003
42.869,323.169
42.969,318.465
43.070,318.381
43.171,326.690
43.271,319.526
43.372,323.184
43.473,320.232
43.574,314.181
43.674,321.999
43.774,324.131
43.875,322.468
43.975,326.482
44.076,320.045
44.177,323.185
44.277,322.602
44.378,314.315
44.478,316.220
44.578,319.335
44.678,319.519
44.779,315.878
44.879,318.985
44.979,316.736
45.080,321.088
45.180,317.847
45.281,314.564
45.381,316.635
45.481,311.360
45.582,309.087
45.682,316.606
45.783,316.904
45.883,318.917
45.983,329.538
46.084,319.270
46.184,318.484
46.284,320.403
46.384,322.095
46.485,319.185
46.585,317.114
46.686,322.643
46.786,318.904
46.886,316.111
46.987,320.862
47.087,315.362
47.187,322.608
47.288,318.602
47.388,317.918
47.488,314.365
47.589,314.715
47.689,316.505
47.789,322.437
47.890,317.524
47.990,319.730
48.091,316.663
48.191,318.821
48.292,318.597
48.392,316.709
48.493,321.882
48.593,316.446
48.693,327.041
48.794,318.865
48.894,318.674
48.994,322.579
49.094,316.874
49.195,316.074
49.295,320.791
49.396,319.325
49.496,321.617
49.597,319.946
49.697,320.653
49.797,323.285
49.898,319.008
49.998,323.205
50.098,322.236
50.199,324.952
50.299,325.043
50.399,321.603
50.500,321.223
50.600,320.621
50.700,316.668
50.801,325.720
50.901,323.769
51.002,299.648
51.102,207.752
51.203,203.340
51.304,200.943
51.405,203.677
51.505,202.572
51.606,198.955
51.706,209.407
51.807,200.549
51.908,204.393
52.008,203.208
52.109,201.092
52.210,200.242
52.310,205.835
52.411,204.387
52.512,200.008
52.612,206.724
52.713,201.471
52.813,199.496
52.914,200.341
53.015,204.086
53.115,204.360
53.216,201.681
53.316,199.115
53.417,201.128
53.518,200.812
53.618,202.809
53.719,203.279
53.819,199.850
53.920,199.716
54.020,205.175
54.121,197.220
54.221,200.841
54.321,203.708
54.422,202.536
54.523,196.200
54.623,203.485
54.724,199.649
54.824,201.340
54.925,200.559
55.026,202.760
55.126,198.533
55.227,197.754
55.328,199.213
55.429,203.137
55.529,202.604
55.630,200.686
55.731,200.006
55.831,196.202
55.932,204.690
56.033,198.592
56.133,199.635
56.234,199.140
56.335,201.249
56.435,200.495
56.536,200.169
56.637,197.756
56.737,199.647
56.838,203.713
56.939,199.138
57.039,198.630
57.140,202.844
57.240,197.153
57.340,202.122
57.441,197.090
57.542,199.804
57.642,198.370
57.743,200.679
57.843,199.122
57.944,203.071
58.044,196.043
58.145,200.737
58.246,197.228
58.347,199.078
58.447,201.718
58.548,197.129
58.648,200.323
58.749,199.530
58.850,198.271
58.951,202.756
59.051,199.278
59.152,199.303
59.253,196.278
59.353,201.312
59.454,199.104
59.555,197.198
59.656,197.747
59.756,199.466
59.857,198.876
59.958,197.371
60.058,200.948
60.159,199.391
60.260,202.079
60.360,195.266
60.461,199.448
60.562,198.759
60.662,198.368
60.763,199.354
60.864,197.359
60.965,197.074
61.065,292.614
61.166,318.325
61.266,326.036
61.367,323.584
61.467,316.858
61.567,320.547
61.667,321.494
61.768,310.286
61.868,319.638
61.969,312.480
62.069,312.285
62.170,309.682
62.270,317.546
62.370,323.512
62.471,324.195
62.571,316.135
62.672,320.842
62.772,322.574
62.872,316.005
62.973,315.828
63.073,315.719
63.174,315.245
63.274,319.853
63.374,312.484
63.475,317.813
63.575,317.815
63.676,320.852
63.776,322.022
63.877,320.027
63.977,315.703
64.077,319.444
64.178,309.839
64.278,318.272
64.379,316.382
64.479,313.680
64.579,318.220
64.680,316.416
64.780,323.011
64.880,318.547
64.980,319.750
65.081,326.984
65.181,318.199
65.282,321.999
65.382,313.871
65.482,314.967
65.583,322.985
65.683,313.357
65.783,318.161
65.884,319.654
65.984,318.653
66.084,318.649
66.185,318.601
66.285,319.344
66.386,317.954
66.486,312.024
66.586,318.421
66.686,318.645
66.787,315.868
66.887,311.679
66.988,318.721
67.088,321.856
67.188,319.606
67.288,325.003
67.389,318.132
67.489,322.129
67.589,315.827
67.690,318.364
67.790,316.312
67.891,325.562
67.991,316.541
68.091,324.844
68.192,325.301
68.292,328.779
68.392,323.150
68.493,321.894
68.593,316.318
68.694,324.093
68.794,319.058
68.894,318.002
68.994,317.789
69.095,322.065
69.195,316.188
69.295,315.308
69.396,326.138
69.496,319.341
69.596,315.587
69.697,321.751
69.797,318.618
69.897,311.302
69.998,318.228
70.098,317.156
70.199,319.611
70.299,320.208
70.400,314.100
70.500,319.428
70.600,315.009
70.701,313.287
70.801,316.426
70.901,314.538
71.002,320.130
71.102,316.460
71.202,325.007
71.303,314.457
71.403,320.312
71.504,318.118
71.604,322.989
71.704,323.902
71.805,318.707
71.905,321.670
72.005,325.962
72.106,318.582
72.206,319.665
72.306,318.846
72.407,312.110
