time_s,power_W
0.100,199.226
0.201,199.256
0.302,197.375
0.402,203.962
0.503,200.102
0.604,196.364
0.704,200.373
0.805,199.971
0.906,198.060
1.006,199.396
1.107,241.030
1.207,325.036
1.308,335.098
1.408,330.731
1.509,328.790
1.609,336.678
1.710,323.561
1.810,310.309
1.911,312.179
2.012,316.694
2.112,323.983
2.212,329.156
2.313,332.022
2.413,332.181
2.514,336.445
2.614,337.020
2.714,332.339
2.815,334.280
2.915,333.165
3.016,333.938
3.116,327.826
3.217,331.286
3.317,326.136
3.417,328.584
3.518,327.721
3.618,334.673
3.718,329.112
3.819,330.616
3.919,330.690
4.019,327.512
4.119,325.475
4.219,326.420
4.320,329.001
4.420,338.130
4.520,341.475
4.620,337.771
4.721,316.091
4.821,340.683
4.921,410.352
5.021,372.889
5.122,364.757
5.222,336.595
5.322,362.962
5.423,402.134
5.523,364.912
5.624,370.853
5.724,439.137
5.825,443.700
5.925,439.957
6.026,442.509
6.126,441.297
6.226,439.831
6.327,443.714
6.427,440.682
6.528,442.116
6.628,440.866
6.729,410.747
6.829,406.619
6.930,411.805
7.030,408.519
7.130,408.551
7.231,407.254
7.331,411.750
7.432,406.260
7.532,407.890
7.632,410.150
7.733,410.047
7.833,411.616
7.934,401.216
8.034,415.955
8.135,409.033
8.236,408.658
8.337,409.403
8.438,408.329
8.538,407.843
8.639,408.666
8.740,408.851
8.840,407.971
8.941,408.524
9.042,405.338
9.142,409.415
9.243,414.309
9.344,408.441
9.444,408.839
9.545,408.086
9.646,409.361
9.747,407.778
9.847,410.081
9.948,406.898
10.049,408.426
10.150,402.397
10.250,419.520
10.351,406.634
10.452,407.847
10.553,410.223
10.654,410.017
10.755,407.561
10.856,408.192
10.956,408.469
11.057,407.668
11.158,403.767
11.259,414.288
11.359,412.564
11.460,405.655
11.561,410.373
11.662,409.638
11.763,406.116
11.864,411.038
11.965,407.371
12.066,408.717
12.167,402.790
12.267,412.618
12.368,412.256
12.469,408.867
12.569,406.594
12.670,410.384
12.771,406.260
12.872,410.800
12.973,410.405
13.074,407.402
13.174,408.515
13.275,405.957
13.375,407.605
13.476,413.576
13.577,407.603
13.677,410.376
13.778,406.911
13.879,410.281
13.980,409.603
14.080,407.196
14.181,410.341
14.282,404.144
14.383,409.492
14.483,406.697
14.584,415.338
14.685,408.320
14.786,407.270
14.887,409.385
14.988,409.573
15.088,408.254
15.189,407.506
15.290,410.553
15.391,405.879
15.491,400.806
15.592,420.076
15.693,410.894
15.794,406.369
15.895,409.153
15.996,408.537
16.097,408.811
16.198,406.995
16.299,407.792
16.399,408.684
16.500,404.466
16.601,413.884
16.701,412.475
16.802,406.642
16.903,406.783
17.003,412.080
17.104,406.931
17.205,410.281
17.306,407.976
17.406,406.054
17.507,404.287
17.608,415.862
17.708,410.188
17.809,406.669
17.910,410.762
18.010,407.291
18.111,410.826
18.212,408.729
18.313,409.339
18.413,405.878
18.514,402.702
18.615,418.287
18.715,409.377
18.816,405.782
18.917,408.727
19.018,409.953
19.119,405.281
19.220,410.897
19.320,407.646
19.421,399.867
19.521,408.047
19.622,383.004
19.723,249.019
19.824,201.086
19.924,201.394
20.025,200.914
20.125,200.663
20.226,202.003
20.327,200.190
20.428,201.408
20.528,199.103
20.629,200.675
20.730,196.133
20.830,200.372
20.931,201.069
21.032,197.659
21.133,197.779
21.233,202.844
21.334,199.227
21.434,202.355
21.535,199.889
21.636,199.286
21.736,202.116
21.837,197.734
21.938,201.427
22.038,196.835
22.139,201.244
22.240,198.636
22.341,200.854
22.441,197.320
22.542,202.653
22.643,196.089
22.744,213.119
22.845,390.632
22.945,417.882
23.046,431.291
23.146,439.847
23.246,441.151
23.347,451.795
23.448,424.279
23.549,433.999
23.650,438.065
23.751,439.297
23.852,441.146
23.953,438.246
24.054,425.861
24.155,442.197
24.256,423.647
24.357,443.279
24.458,424.775
24.558,419.515
24.659,415.958
24.760,408.458
24.860,405.674
24.961,407.362
25.062,410.206
25.163,408.141
25.264,409.036
25.365,407.921
25.465,407.113
25.566,405.854
25.666,415.700
25.767,408.085
25.868,406.917
25.969,408.788
26.069,409.566
26.170,407.397
26.271,407.764
26.372,410.155
26.473,402.910
26.573,415.641
26.674,410.390
26.775,408.809
26.876,408.765
26.976,407.159
27.077,408.752
27.178,408.026
27.279,409.049
27.380,408.537
27.480,400.770
27.581,417.641
27.682,409.650
27.782,409.523
27.883,407.627
27.984,408.886
28.085,409.493
28.186,408.697
28.287,408.227
28.387,405.856
28.488,408.637
28.589,414.291
28.690,407.952
28.790,408.146
28.891,406.377
28.992,410.740
29.093,407.996
29.194,410.638
29.294,408.517
29.395,396.074
29.496,419.943
29.597,412.477
29.697,405.084
29.798,409.408
29.899,408.287
30.000,408.683
30.101,410.423
30.201,407.343
30.302,406.102
30.403,405.948
30.503,416.647
30.604,407.672
30.705,408.685
30.806,409.093
30.907,408.497
31.008,408.751
31.109,410.075
31.210,404.956
31.311,402.925
31.411,418.283
31.512,408.051
31.613,410.454
31.714,406.555
31.815,411.021
31.916,405.591
32.016,408.637
32.117,409.001
32.218,404.504
32.318,411.548
32.419,411.849
32.520,409.259
32.620,410.344
32.721,406.750
32.822,410.368
32.923,406.738
33.023,409.376
33.124,403.844
33.225,412.407
33.326,412.524
33.427,404.979
33.527,409.497
33.628,410.924
33.729,406.435
33.830,410.355
33.931,407.778
34.032,407.795
34.132,405.802
34.233,413.105
34.334,408.683
34.434,410.409
34.535,406.774
34.636,411.417
34.737,407.298
34.838,408.459
34.939,407.323
35.039,404.009
35.140,415.312
35.241,409.651
35.344,409.797
35.445,406.688
35.546,409.361
35.647,408.874
35.748,408.979
35.849,409.011
35.950,402.051
36.050,413.197
36.151,411.490
36.252,408.702
36.352,407.823
36.453,408.440
36.554,408.062
36.655,410.012
36.756,408.027
36.857,399.613
36.957,416.550
37.058,413.457
37.159,404.575
37.259,410.366
37.360,409.361
37.461,407.265
37.562,410.448
37.663,407.398
37.763,401.252
37.864,415.356
37.965,413.186
38.066,405.065
38.167,410.131
38.267,409.489
38.368,407.231
38.469,409.798
38.570,409.505
38.671,401.168
38.771,412.893
38.872,414.308
38.973,405.179
39.074,409.520
39.175,409.529
39.275,408.829
39.376,408.453
39.477,409.010
39.578,401.096
39.678,412.593
39.779,413.270
39.880,407.612
39.981,409.703
40.081,409.511
40.182,405.711
40.283,410.590
40.384,408.044
40.485,402.714
40.585,411.629
40.686,414.641
40.787,407.510
40.887,410.141
40.988,405.772
41.089,409.292
41.190,408.512
41.291,410.556
41.391,402.135
41.492,407.910
41.593,406.157
41.693,413.058
41.794,406.110
41.894,345.494
41.995,217.564
42.095,200.924
42.196,200.501
42.296,201.547
42.397,198.347
42.498,200.320
42.599,197.829
42.699,196.342
42.800,200.030
42.900,201.314
43.001,198.283
43.102,200.615
43.202,199.670
43.303,202.384
43.404,201.080
43.504,197.519
43.605,202.506
43.706,198.304
43.806,196.580
43.907,200.756
44.008,198.323
44.108,201.091
44.209,195.079
44.310,198.723
44.411,196.377
44.511,202.770
44.612,197.017
44.713,198.452
44.814,198.819
44.914,196.901
45.015,221.634
45.115,365.982
45.215,431.637
45.316,443.088
45.416,438.781
45.517,445.551
45.617,421.545
45.718,430.087
45.819,438.250
45.920,439.962
46.021,435.950
46.122,437.561
46.223,435.100
46.324,432.361
46.424,421.318
46.525,420.306
46.625,410.298
46.726,405.848
46.826,409.586
46.927,408.688
47.028,406.890
47.129,408.063
47.230,410.143
47.330,408.838
47.431,408.199
47.532,405.864
47.632,410.087
47.732,408.798
47.833,410.392
47.933,410.544
48.034,408.338
48.135,406.921
48.235,408.720
48.336,410.128
48.437,405.853
48.537,411.119
48.639,406.363
48.739,408.689
48.840,406.658
48.940,407.601
49.041,416.489
49.142,408.570
49.243,408.281
49.343,407.657
49.444,408.392
49.545,409.699
49.645,407.291
49.746,406.876
49.846,405.635
49.947,412.849
50.047,412.587
50.147,408.921
50.248,408.909
50.349,408.146
50.449,410.356
50.550,408.312
50.651,406.994
50.751,405.255
50.852,407.961
50.952,410.659
51.053,412.176
51.153,408.313
51.254,406.929
51.354,411.040
51.455,409.098
51.556,410.060
51.656,407.148
51.757,408.379
51.857,409.698
51.958,404.370
52.059,408.225
52.159,409.546
52.259,412.076
52.360,409.614
52.460,409.896
52.561,408.601
52.662,407.951
52.763,409.724
52.863,406.324
52.964,410.276
53.064,406.625
53.164,402.788
53.265,414.400
53.365,413.447
53.466,403.868
53.567,412.501
53.667,408.883
53.768,409.485
53.869,408.067
53.970,406.380
54.070,407.695
54.171,399.815
54.271,408.978
54.372,420.755
54.472,407.988
54.573,409.158
54.673,410.941
54.774,406.831
54.875,410.081
54.975,406.902
55.076,408.212
55.176,409.298
55.277,399.647
55.377,404.946
55.478,423.350
55.578,407.430
55.679,410.849
55.779,410.761
55.880,406.096
55.981,410.300
56.081,407.516
56.182,408.459
56.282,408.701
56.383,408.709
56.484,405.880
56.584,410.486
56.685,408.443
56.785,413.472
56.886,407.406
56.986,406.542
57.087,411.578
57.188,406.328
57.288,409.673
57.389,408.427
57.490,405.185
57.590,410.414
57.691,413.881
57.792,406.278
57.892,408.834
57.993,409.030
58.094,407.851
58.195,410.262
58.295,405.939
58.396,406.212
58.497,415.749
58.598,408.993
58.698,407.133
58.799,407.400
58.900,408.863
59.001,410.635
59.101,407.318
59.202,404.004
59.303,416.787
59.403,405.824
59.504,409.889
59.605,410.331
59.706,406.116
59.807,409.375
59.907,408.318
60.008,401.046
60.109,416.331
60.209,410.805
60.310,408.329
60.411,408.620
60.512,409.263
60.612,406.867
60.713,408.421
60.814,399.180
60.914,418.018
61.015,410.835
61.116,410.168
61.217,409.627
61.318,406.312
61.418,408.330
61.519,410.641
61.620,406.993
61.721,403.380
61.821,416.884
61.922,406.739
62.023,409.629
62.124,408.175
62.224,409.504
62.325,408.090
62.426,406.796
62.527,402.895
62.627,415.985
62.728,411.081
62.829,408.769
62.929,407.918
63.030,406.615
63.131,409.323
63.232,410.311
63.333,401.391
63.433,411.135
63.534,417.287
63.635,406.508
63.736,408.197
63.836,405.291
63.937,411.553
64.037,400.579
64.138,405.723
64.239,366.472
64.339,227.780
64.440,201.703
64.540,197.312
64.641,201.999
64.741,200.736
64.842,200.239
64.942,201.384
65.043,200.365
65.144,198.464
65.244,200.834
65.345,195.469
65.445,200.893
65.546,201.352
65.647,197.402
65.747,198.033
65.848,201.132
65.948,198.955
66.049,197.719
66.149,200.130
66.250,200.820
66.351,198.982
66.451,201.281
66.551,199.482
66.652,203.364
66.752,201.483
66.853,198.254
66.954,199.374
67.054,198.774
67.155,200.063
67.255,200.481
67.356,221.294
67.457,412.418
67.557,439.175
67.658,443.385
67.758,440.425
67.858,433.463
67.959,457.677
68.060,415.721
68.161,445.293
68.262,443.570
68.363,429.114
68.465,437.967
68.566,434.898
68.667,443.441
68.768,430.910
68.868,423.945
68.969,432.459
69.070,409.577
69.170,405.896
69.271,406.616
69.371,409.572
69.472,407.847
69.572,405.712
69.673,408.102
69.774,413.041
69.874,410.589
69.975,406.640
70.075,409.164
70.176,408.584
70.276,406.518
70.377,405.336
70.477,412.925
70.578,413.185
70.678,405.378
70.779,411.458
70.879,408.254
70.980,407.976
71.080,408.145
71.181,401.460
71.281,413.972
71.382,411.756
71.482,407.850
71.583,407.373
71.684,411.341
71.784,407.349
71.885,409.676
71.985,406.370
72.086,412.200
72.187,407.606
72.288,406.282
72.388,410.527
72.489,410.266
72.590,409.168
72.690,405.766
72.791,409.199
72.892,412.476
72.993,407.397
73.093,409.362
73.194,408.877
73.295,407.047
73.395,408.811
73.496,406.916
73.597,413.975
73.697,405.671
73.798,411.712
73.898,408.152
73.999,407.000
74.100,407.094
74.200,406.849
74.301,412.073
74.401,412.293
74.502,407.088
74.603,408.501
74.704,408.245
74.804,410.390
74.905,407.513
75.006,402.943
75.106,415.667
75.207,408.909
75.308,409.292
75.408,406.871
75.509,411.159
75.610,407.348
75.711,405.069
75.812,408.173
75.913,416.107
76.014,406.329
76.114,409.273
76.215,405.330
76.316,411.044
76.417,409.911
76.518,399.472
76.618,417.881
76.719,409.950
76.820,406.130
76.920,410.042
77.021,408.486
77.122,408.690
77.223,406.630
77.323,405.163
77.424,416.648
77.525,406.527
77.625,408.336
77.726,411.277
77.827,407.154
77.928,408.560
78.029,399.315
78.129,419.104
78.230,408.861
