time_s,power_W
0.101,198.342
0.201,198.615
0.302,198.733
0.402,197.247
0.503,198.329
0.603,197.330
0.704,197.460
0.804,197.342
0.905,197.957
1.005,215.941
1.106,251.877
1.206,241.935
1.306,256.940
1.407,260.955
1.507,267.873
1.607,271.747
1.708,274.822
1.808,287.011
1.908,273.365
2.008,299.713
2.109,306.827
2.209,304.062
2.309,305.349
2.410,322.656
2.510,311.598
2.610,332.581
2.711,323.418
2.811,328.987
2.912,331.438
3.012,329.815
3.113,331.824
3.213,322.623
3.313,334.616
3.414,332.393
3.515,326.919
3.615,338.014
3.716,318.522
3.816,330.482
3.916,333.048
4.017,327.351
4.117,335.940
4.217,322.647
4.318,326.054
4.418,335.311
4.518,336.160
4.619,327.531
4.719,334.528
4.820,331.764
4.920,332.476
5.021,326.404
5.121,327.843
5.221,333.045
5.322,330.784
5.422,331.277
5.523,331.500
5.623,331.465
5.724,333.153
5.824,332.162
5.924,330.078
6.025,330.199
6.126,319.467
6.226,339.736
6.326,329.251
6.427,328.148
6.527,330.271
6.628,331.034
6.728,328.416
6.828,329.926
6.929,332.595
7.029,326.407
7.129,327.539
7.230,330.159
7.330,330.109
7.431,329.686
7.531,336.802
7.631,327.541
7.732,329.445
7.832,330.707
7.932,333.809
8.033,322.915
8.133,335.151
8.234,335.690
8.334,325.980
8.434,329.029
8.534,324.586
8.635,333.584
8.735,326.702
8.836,333.421
8.936,329.182
9.037,323.852
9.137,335.750
9.237,330.169
9.338,331.989
9.438,327.807
9.538,333.997
9.639,326.784
9.740,324.607
9.840,329.502
9.941,329.237
10.041,320.904
10.142,324.983
10.242,328.792
10.343,328.746
10.443,323.362
10.544,325.361
10.644,333.531
10.745,324.536
10.845,334.415
10.946,329.628
11.046,326.126
11.146,336.066
11.247,327.824
11.347,337.132
11.447,329.060
11.548,323.511
11.649,322.684
11.750,326.025
11.850,335.382
11.951,326.595
12.051,325.294
12.152,328.120
12.252,330.902
12.352,321.271
12.453,328.174
12.553,326.304
12.653,334.036
12.754,328.455
12.854,321.189
12.954,329.489
13.055,332.358
13.155,321.397
13.255,333.136
13.356,324.317
13.456,328.638
13.557,317.939
13.657,332.408
13.758,323.405
13.858,331.065
13.959,324.503
14.059,349.769
14.159,336.330
14.260,345.160
14.360,338.477
14.461,338.698
14.561,323.317
14.661,330.270
14.762,322.563
14.863,331.435
14.963,326.243
15.064,333.418
15.164,327.806
15.265,328.623
15.365,334.669
15.465,329.207
15.566,328.969
15.666,330.547
15.767,329.333
15.867,329.319
15.967,331.152
16.067,272.810
16.168,287.885
16.268,286.034
16.368,284.505
16.468,308.795
16.569,295.009
16.669,310.419
16.769,285.662
16.869,281.041
16.970,270.491
17.070,258.590
17.170,272.045
17.271,271.174
17.371,259.773
17.471,252.566
17.572,231.167
17.673,228.470
17.773,212.433
17.874,223.404
17.975,206.228
18.075,200.922
18.176,206.504
18.276,204.841
18.377,206.785
18.478,205.918
18.578,201.130
18.679,207.666
18.780,201.446
18.880,205.215
18.981,203.101
19.082,202.115
19.183,205.190
19.283,204.679
19.384,202.423
19.485,206.923
19.585,198.670
19.686,205.944
19.787,206.504
19.888,197.771
19.988,209.056
20.088,205.194
20.189,210.094
20.290,207.159
20.390,205.071
20.491,205.002
20.591,203.817
20.692,204.773
20.793,207.410
20.893,202.451
20.994,207.171
21.095,198.423
21.196,202.841
21.296,208.055
21.397,199.845
21.498,203.221
21.598,205.851
21.699,199.291
21.799,204.587
21.900,204.050
22.001,209.201
22.101,200.490
22.202,202.303
22.303,203.826
22.403,202.273
22.504,203.519
22.605,204.803
22.705,202.948
22.806,205.109
22.906,202.457
23.007,206.032
23.108,200.372
23.208,205.544
23.309,203.038
23.409,203.380
23.510,205.501
23.610,203.678
23.711,199.725
23.812,206.076
23.912,205.353
24.013,202.514
24.113,203.177
24.214,201.789
24.314,207.194
24.415,201.736
24.515,205.535
24.616,202.506
24.717,206.171
24.817,200.896
24.918,202.752
25.019,200.137
25.120,203.173
25.220,204.976
25.321,204.338
25.422,202.734
25.522,205.442
25.623,202.840
25.723,203.080
25.824,204.945
25.925,202.084
26.025,263.691
26.125,361.912
26.226,355.859
26.326,364.481
26.426,360.727
26.526,365.552
26.627,366.519
26.727,367.364
26.827,369.981
26.927,368.734
27.028,370.085
27.128,371.658
27.228,371.327
27.329,371.021
27.429,371.568
27.529,372.948
27.629,372.656
27.729,376.179
27.830,376.459
27.930,371.984
28.030,374.572
28.130,372.214
28.230,376.723
28.331,374.097
28.431,372.004
28.531,375.799
28.631,371.445
28.732,376.178
28.832,372.716
28.932,374.466
29.032,374.588
29.133,376.639
29.233,374.088
29.333,372.159
29.433,374.668
29.533,374.208
29.634,372.054
29.734,374.699
29.834,374.932
29.934,372.379
30.035,376.313
30.135,375.347
30.235,375.504
30.335,373.262
30.436,374.065
30.536,375.123
30.636,373.681
30.736,373.096
30.837,374.704
30.937,374.982
31.037,374.139
31.137,374.164
31.238,376.283
31.338,374.467
31.438,373.320
31.538,372.972
31.639,375.698
31.739,373.745
31.839,373.223
31.939,373.987
32.039,373.525
32.140,373.374
32.240,376.264
32.340,373.964
32.441,375.929
32.541,375.323
32.641,373.941
32.741,374.271
32.842,372.802
32.942,374.914
33.042,374.102
33.142,373.129
33.242,373.769
33.343,373.823
33.443,373.390
33.543,377.474
33.643,374.703
33.744,373.537
33.844,376.895
33.944,374.267
34.044,372.792
34.145,374.069
34.245,375.091
34.345,373.973
34.445,375.821
34.546,373.891
34.646,373.590
34.746,375.159
34.846,374.779
34.947,374.831
35.047,371.011
35.147,378.056
