time_s,power_W
0.000,347.418
0.100,347.837
0.200,346.213
0.300,349.270
0.400,348.867
0.500,344.716
0.600,347.453
0.700,346.390
0.800,348.738
0.900,350.171
1.000,349.267
1.100,344.410
1.200,350.368
1.300,347.643
1.400,348.741
1.500,349.935
1.600,349.715
1.700,344.851
1.800,349.011
1.900,346.326
2.000,348.271
2.100,350.299
2.200,344.892
2.300,349.987
2.400,349.580
2.500,344.556
2.600,347.632
2.700,345.691
2.800,354.948
2.900,346.015
3.000,350.579
3.100,350.565
3.200,340.866
3.300,348.531
3.400,353.493
3.500,346.940
3.600,346.632
3.700,348.622
3.800,354.744
3.900,351.168
4.000,347.620
4.100,341.913
4.200,349.910
4.300,355.313
4.400,344.551
4.500,351.792
4.600,345.525
4.700,349.563
4.800,351.021
4.900,349.195
5.000,346.216
5.100,354.494
5.200,348.303
5.300,345.324
5.400,353.534
5.500,347.688
5.600,346.733
5.700,350.400
5.800,347.663
5.900,348.951
6.000,346.777
6.100,355.506
6.200,346.400
6.300,353.829
6.400,345.841
6.500,347.904
6.600,350.379
6.700,350.223
6.800,349.433
6.900,346.246
7.000,348.766
7.100,345.822
7.200,347.773
7.300,351.163
7.400,353.340
7.500,348.224
7.600,350.789
7.700,345.066
7.800,350.538
7.900,350.623
8.000,345.524
8.100,351.858
8.200,350.053
8.300,348.777
8.400,351.354
8.500,350.783
8.600,351.383
8.700,348.558
8.800,352.595
8.900,348.024
9.000,351.295
9.100,348.826
9.200,351.254
9.300,345.505
9.400,352.650
9.500,350.843
9.600,348.407
9.700,349.858
9.800,352.412
9.900,353.807
10.000,347.481
10.100,347.619
10.200,349.923
10.300,348.959
10.400,351.029
10.500,349.158
10.600,352.797
10.700,347.959
10.800,351.207
10.900,349.491
11.000,352.507
11.100,350.253
11.200,350.096
11.300,350.003
11.400,351.793
11.500,347.654
11.600,351.817
11.700,351.317
11.800,350.812
11.900,345.486
12.000,352.171
12.100,351.866
12.200,348.596
12.300,349.751
12.400,355.123
12.500,348.702
12.600,348.860
12.700,350.061
12.800,349.539
12.900,352.565
13.000,349.954
13.100,348.962
13.200,355.025
13.300,345.848
13.400,352.355
13.500,352.234
13.600,346.623
13.700,354.960
13.800,348.199
13.900,353.159
14.000,344.586
14.100,356.469
14.200,348.059
14.300,352.270
14.400,349.539
14.500,350.989
14.600,351.527
14.700,353.074
14.800,352.013
14.900,351.556
15.000,351.713
15.100,346.198
15.200,355.461
15.300,342.388
15.400,354.600
15.500,354.734
15.600,347.876
15.700,354.152
15.800,348.149
15.900,350.178
16.000,352.415
16.100,349.263
16.200,353.114
16.300,349.194
16.400,351.730
16.500,352.197
16.600,347.493
16.700,354.508
