time_s,power_W
0.000,209.077
0.100,202.454
0.200,210.486
0.300,208.979
0.400,194.107
0.500,217.771
0.600,204.870
0.700,205.321
0.800,354.290
0.900,331.625
1.000,331.768
1.100,327.752
1.200,333.326
1.300,334.692
1.400,333.616
1.500,341.773
1.600,380.637
1.700,384.113
1.800,382.293
1.900,387.764
2.000,371.288
2.100,378.245
2.200,377.599
2.300,353.681
2.400,368.336
2.500,387.293
2.600,379.684
2.700,359.548
2.800,346.396
2.900,362.334
3.000,341.342
3.100,379.954
3.200,392.741
3.300,369.298
3.400,361.178
3.500,401.888
3.600,400.849
3.700,400.397
3.800,397.849
3.900,402.009
4.000,405.520
4.100,408.553
4.200,409.383
4.300,402.609
4.400,413.697
4.500,408.572
4.600,413.885
4.700,405.974
4.800,422.969
4.900,413.879
5.000,422.844
5.100,422.251
5.200,407.832
5.300,430.959
5.400,423.344
5.500,424.047
5.600,415.518
5.700,412.842
5.800,409.495
5.900,397.154
6.000,414.784
6.100,406.967
6.200,418.058
6.300,409.341
6.400,406.342
6.500,410.538
6.600,406.673
6.700,409.994
6.800,409.248
6.900,407.573
7.000,408.637
7.100,401.980
7.200,409.400
7.300,413.357
7.400,402.177
7.500,412.338
7.600,412.655
7.700,414.721
7.800,404.646
7.900,405.877
8.000,410.992
8.100,409.718
8.200,409.019
8.300,405.994
8.400,410.969
8.500,406.703
8.600,405.717
8.700,409.887
8.800,409.137
8.900,410.653
9.000,409.596
9.100,410.875
9.200,407.693
9.300,406.697
9.400,412.454
9.500,407.570
9.600,410.758
9.700,405.330
9.800,409.895
9.900,409.634
10.000,410.328
10.100,408.486
10.200,406.152
10.300,407.449
10.400,407.034
10.500,407.842
10.600,414.983
10.700,406.454
10.800,409.927
10.900,410.300
11.000,407.863
11.100,409.659
11.201,406.442
11.301,411.341
11.400,404.310
11.500,410.812
11.600,409.203
11.700,407.276
11.800,409.300
11.900,413.396
12.000,409.530
12.100,407.087
12.200,407.953
12.300,410.199
12.400,407.963
12.500,407.779
12.600,408.799
12.700,409.701
12.800,407.676
12.900,410.924
13.000,406.112
13.100,409.598
13.200,407.350
13.300,410.839
13.400,408.325
13.500,407.057
13.600,410.118
13.700,409.633
13.800,408.279
13.900,410.127
14.000,405.738
14.100,413.026
14.200,407.147
14.300,407.515
14.400,410.887
14.500,407.381
14.600,409.722
14.700,405.697
14.800,412.329
14.900,408.872
15.000,409.901
15.100,407.615
15.200,409.901
15.300,405.995
15.400,407.921
15.500,411.436
15.600,407.233
15.704,409.427
15.800,410.105
15.900,405.625
16.000,410.492
16.100,411.727
16.200,407.332
16.300,415.233
16.400,409.903
16.500,399.039
16.600,412.342
16.700,405.218
16.800,409.408
16.900,412.004
17.000,407.528
17.100,408.306
17.200,410.332
17.300,407.263
17.400,410.286
17.500,408.127
17.600,407.921
17.700,406.724
17.800,411.046
