time_s,power_W
0.100,199.591
0.201,204.834
0.301,207.209
0.402,205.571
0.503,201.816
0.603,207.312
0.704,197.381
0.804,204.305
0.905,207.956
1.005,202.136
1.106,198.302
1.206,256.232
1.307,195.384
1.407,233.765
1.507,240.308
1.608,198.416
1.708,254.475
1.808,221.670
1.908,215.586
2.009,228.349
2.109,230.446
2.210,198.357
2.310,216.395
2.410,243.711
2.511,226.694
2.611,233.112
2.711,220.781
2.811,221.060
2.912,228.428
3.013,201.928
3.113,237.439
3.213,209.451
3.314,220.844
3.414,188.425
3.514,245.344
3.614,240.536
3.715,240.769
3.815,208.422
3.915,231.431
4.016,214.079
4.116,249.712
4.216,213.385
4.317,215.455
4.417,233.125
4.518,228.542
4.618,211.173
4.719,229.246
4.819,214.669
4.920,227.180
5.020,216.002
5.121,240.598
5.221,202.982
5.322,200.652
5.422,256.742
5.523,228.974
5.623,206.176
5.723,228.694
5.824,220.712
5.924,228.268
6.025,225.115
6.125,216.578
6.225,219.537
6.325,245.041
6.425,212.581
6.526,225.785
6.626,233.322
6.726,216.517
6.826,245.667
6.927,186.093
7.027,239.515
7.127,218.493
7.228,229.800
7.328,243.401
7.429,188.661
7.529,238.570
7.629,227.484
7.730,205.243
7.830,231.768
7.930,182.844
8.030,267.357
8.131,183.585
8.231,252.710
8.332,239.152
8.432,198.647
8.533,245.702
8.633,221.114
8.734,207.079
8.834,241.051
8.935,192.922
9.035,244.268
9.135,187.113
9.236,262.139
9.336,236.005
9.437,190.131
9.537,225.345
9.638,253.733
9.738,213.959
9.838,194.135
9.939,216.392
10.039,275.361
10.139,175.016
10.240,253.661
10.340,213.695
10.441,193.541
10.541,247.534
10.641,227.160
10.742,247.059
10.842,201.129
10.942,231.630
11.042,220.137
11.143,179.696
11.243,291.286
11.343,241.887
11.444,199.558
11.544,212.405
11.645,264.020
11.745,165.689
11.845,258.818
11.946,233.267
12.046,193.432
12.147,241.065
12.247,224.227
12.347,233.604
12.448,195.161
12.548,244.286
12.649,209.131
12.749,247.212
12.849,222.735
12.950,224.381
13.050,201.763
13.150,236.535
13.251,241.398
13.351,221.842
13.452,185.363
13.552,236.844
13.652,220.231
13.753,247.530
13.854,208.996
13.954,253.632
14.055,208.372
14.155,188.664
14.255,281.424
14.356,203.092
14.456,218.789
14.557,214.325
14.657,217.724
14.757,282.026
14.858,206.177
14.958,219.083
15.058,215.818
15.159,255.867
15.259,168.031
15.359,273.481
15.460,234.017
15.560,219.674
15.660,225.524
15.761,197.264
15.861,270.002
15.961,198.330
16.062,239.561
16.162,224.051
16.262,169.834
16.362,280.520
16.463,206.722
16.563,231.074
16.664,178.696
16.764,210.782
16.864,256.954
16.964,206.583
17.065,246.196
17.165,253.627
17.265,220.021
17.366,216.587
17.466,165.866
17.566,291.588
17.667,220.212
17.767,209.895
17.867,267.260
17.968,204.313
18.068,206.515
18.168,203.530
18.268,253.123
18.368,235.991
18.468,242.179
18.569,189.313
18.669,261.711
18.770,229.072
18.870,206.041
18.970,226.027
19.071,252.947
19.171,211.752
19.271,229.872
19.372,214.909
19.473,266.276
19.573,222.212
19.674,181.959
19.775,229.034
19.875,216.665
19.976,230.926
20.076,239.139
20.176,205.390
20.277,261.066
20.377,198.442
20.478,248.538
20.578,223.903
20.679,238.701
20.779,164.162
20.880,290.815
20.980,191.354
21.080,253.866
21.181,199.701
21.281,237.110
21.382,243.337
21.483,204.300
21.583,258.269
21.684,219.831
21.784,194.671
21.884,218.133
21.984,290.313
22.085,192.975
22.185,210.165
22.285,269.336
22.385,228.480
22.485,186.436
22.586,232.628
22.686,249.431
22.786,193.805
22.887,275.472
22.987,238.249
23.088,211.692
23.188,220.849
23.288,202.346
23.388,214.612
23.489,278.961
23.589,220.103
23.690,247.955
23.790,181.379
23.890,240.524
23.991,224.748
24.091,254.779
24.192,192.752
24.292,256.463
24.392,256.650
24.493,195.744
24.594,236.617
24.694,239.005
24.795,189.155
24.895,200.414
24.995,261.929
25.096,210.682
25.196,273.303
25.296,163.080
25.397,246.979
25.497,245.420
25.597,231.979
25.698,229.431
25.798,340.717
25.899,439.199
25.999,447.749
26.099,437.534
26.199,444.629
26.300,438.324
26.400,444.933
26.500,441.688
26.600,440.205
26.701,444.035
26.801,437.679
26.901,443.573
27.002,443.672
27.102,438.693
27.202,443.640
27.302,439.880
27.403,438.722
27.503,444.175
27.603,439.784
27.703,433.723
27.804,407.912
27.904,407.383
28.004,407.062
28.104,408.386
28.205,409.547
28.305,409.552
28.405,405.851
28.505,411.840
28.605,406.027
28.706,409.945
28.806,410.509
28.906,407.952
29.007,405.991
29.107,410.084
29.207,409.361
29.307,411.771
29.408,406.299
29.508,408.584
29.608,410.596
29.709,407.453
29.809,405.687
29.909,411.533
30.009,406.847
30.110,412.631
30.210,408.643
30.310,406.351
30.410,410.108
30.511,410.948
30.611,406.296
30.711,409.279
30.811,408.108
30.912,413.536
31.012,405.851
31.112,409.697
31.212,406.269
31.313,410.547
31.413,406.669
31.513,410.283
31.613,409.532
31.714,407.641
31.814,408.938
31.914,409.831
32.014,407.387
32.115,410.046
32.215,409.332
32.315,408.233
32.416,406.617
32.516,413.034
32.616,407.449
32.716,408.971
32.817,408.788
32.917,409.853
33.017,406.353
33.118,408.673
33.218,408.614
33.318,279.181
33.418,190.553
33.519,263.266
33.619,492.083
33.719,441.175
33.820,424.465
33.920,294.228
34.020,199.087
34.121,261.543
34.221,240.021
34.322,305.976
34.422,305.257
34.522,269.927
34.622,196.413
34.723,259.016
34.823,272.496
34.924,348.661
35.024,271.053
35.124,303.430
35.225,196.463
35.325,246.663
35.425,282.073
35.526,279.003
35.626,297.850
35.727,232.730
35.827,251.896
35.928,264.742
36.028,373.909
36.128,274.403
36.229,233.648
36.329,264.073
36.429,238.899
36.530,261.409
36.630,235.240
36.730,235.193
36.831,250.968
36.931,276.620
37.032,269.040
37.133,258.724
37.233,221.933
37.334,211.999
37.434,236.094
37.534,247.137
37.635,280.139
37.735,271.905
37.836,234.096
37.936,224.192
38.036,252.340
38.137,231.110
38.237,232.889
38.338,241.586
38.438,225.878
38.538,251.032
38.639,250.063
38.739,221.121
38.840,230.799
38.941,237.201
39.041,244.471
39.142,263.374
39.242,215.749
39.343,235.120
39.443,220.431
39.544,239.845
39.644,210.867
39.745,206.727
39.845,249.450
39.945,191.797
40.046,242.042
40.146,226.497
40.246,211.252
40.347,214.579
40.447,186.435
40.547,268.146
40.648,247.935
40.749,199.631
40.849,208.609
40.949,249.974
41.050,189.614
41.150,231.884
41.250,222.798
41.350,243.402
41.451,211.959
41.551,217.985
41.652,221.235
41.752,225.849
41.852,222.815
41.953,216.306
42.053,225.965
42.153,241.387
42.253,228.404
42.354,214.492
42.454,176.878
42.555,252.445
42.655,233.736
42.755,215.077
42.856,219.063
42.956,218.354
43.056,211.842
43.157,281.533
43.257,188.646
43.357,215.180
43.458,223.877
43.558,249.880
43.658,252.958
43.759,217.443
43.859,225.706
43.960,239.796
44.060,226.744
44.161,219.069
44.261,220.680
44.362,209.351
44.462,280.318
44.563,220.628
44.663,204.379
44.763,199.993
44.864,248.880
44.964,212.079
45.065,235.493
45.165,225.192
45.266,199.172
45.366,245.474
45.467,264.740
45.567,218.838
45.667,238.057
45.767,183.715
45.868,256.500
45.968,236.089
46.069,193.982
46.169,261.023
46.270,180.562
46.370,244.117
46.471,251.217
46.571,211.960
46.671,252.107
46.772,194.813
46.872,225.204
46.972,237.258
47.073,243.608
47.173,187.813
47.273,270.545
47.374,220.303
47.475,210.850
47.575,246.763
47.675,227.402
47.776,224.989
