time_s,power_W
0.100,196.515
0.201,192.979
0.302,193.347
0.403,194.589
0.503,193.364
0.604,195.383
0.705,192.575
0.805,197.368
0.906,192.914
1.007,196.367
1.107,194.736
1.208,199.337
1.308,194.581
1.409,198.283
1.510,196.172
1.610,199.816
1.710,199.733
1.811,200.273
1.911,199.602
2.011,200.704
2.112,206.044
2.212,202.730
2.312,203.756
2.413,204.662
2.513,203.346
2.613,208.943
2.714,204.716
2.814,207.641
2.914,208.165
3.015,208.028
3.115,206.586
3.215,210.482
3.316,207.836
3.416,213.172
3.516,210.160
3.617,210.417
3.717,211.815
3.817,211.458
3.918,212.514
4.018,215.397
4.118,211.599
4.218,214.331
4.319,214.483
4.419,217.415
4.519,219.932
4.620,216.152
4.720,217.377
4.820,217.872
4.920,219.212
5.021,221.058
5.121,218.296
5.221,221.725
5.321,220.332
5.422,224.485
5.522,220.081
5.622,224.435
5.722,225.078
5.823,227.378
5.923,224.065
6.023,224.288
6.123,221.951
6.224,230.045
6.324,226.918
6.424,227.336
6.524,229.057
6.625,228.318
6.725,229.113
6.825,232.361
6.925,233.260
7.026,228.963
7.126,233.509
7.226,231.580
7.326,232.552
7.427,233.844
7.527,233.046
7.627,233.858
7.727,234.491
7.828,234.538
7.928,237.069
8.028,236.481
8.128,237.710
8.229,236.768
8.329,237.962
8.429,239.039
8.529,237.069
8.630,237.157
8.730,241.873
8.830,239.153
8.930,242.710
9.031,242.550
9.131,241.193
9.231,244.307
9.331,244.187
9.432,244.865
9.532,244.297
9.632,244.973
9.732,241.529
9.833,249.262
9.933,244.801
10.033,247.068
10.133,246.489
10.234,248.572
10.334,249.976
10.434,247.883
10.534,245.112
10.635,251.443
10.735,248.331
10.835,250.850
10.935,249.263
11.036,251.125
11.136,250.335
11.236,252.286
11.336,250.627
11.437,250.616
11.537,252.911
11.637,249.941
11.737,252.787
11.838,251.463
11.938,252.414
12.038,252.950
12.138,255.118
12.239,253.325
12.339,255.559
12.439,253.219
12.539,254.607
12.640,255.503
12.740,259.832
12.840,261.039
12.941,255.407
13.041,257.811
13.141,257.170
13.241,257.398
13.342,259.082
13.442,263.655
13.542,258.643
13.642,258.841
13.743,257.439
13.843,259.846
13.943,257.400
14.043,259.613
14.144,258.531
14.244,257.363
14.344,259.956
14.445,258.727
14.545,258.261
14.645,259.244
14.745,260.268
14.846,258.034
14.946,256.908
15.046,256.324
15.146,256.575
15.247,254.874
15.347,258.114
15.447,254.165
15.547,259.614
15.648,257.777
15.748,256.783
15.848,257.657
15.948,259.569
16.049,259.430
16.149,261.925
16.249,259.378
16.349,257.780
16.450,261.722
16.550,259.086
16.650,262.095
16.751,262.986
16.851,260.904
16.951,260.358
17.051,263.897
17.152,259.754
17.252,264.081
17.352,261.692
17.453,263.725
17.553,261.783
17.653,258.271
17.753,261.749
17.854,260.983
17.954,263.626
18.054,263.380
18.154,261.983
18.255,262.981
18.355,261.907
18.455,263.732
18.556,263.302
18.656,263.698
18.756,259.105
18.856,261.999
18.957,261.849
19.057,259.683
19.157,264.485
19.257,262.209
19.358,263.078
19.458,263.285
19.558,262.933
19.658,268.205
19.759,261.740
19.859,266.153
19.959,265.788
20.059,264.033
20.160,268.583
20.260,263.243
20.360,268.070
20.461,264.802
20.561,269.768
20.661,267.306
20.761,270.299
20.862,269.495
20.962,270.032
21.062,266.780
21.162,271.443
21.262,272.030
21.363,270.675
21.463,271.668
21.563,273.393
21.663,273.600
21.763,274.511
21.864,275.081
21.964,277.301
22.064,276.397
22.164,275.850
22.264,276.776
22.364,277.273
22.465,278.172
22.565,277.568
22.665,282.452
22.765,278.646
22.865,281.978
22.966,278.346
23.066,284.187
23.166,283.888
23.266,280.409
23.366,283.273
23.467,282.972
23.567,282.680
23.667,284.648
23.767,284.168
23.867,285.014
23.968,284.854
24.068,286.836
24.168,286.570
24.268,287.596
24.368,289.507
24.469,287.040
24.569,291.892
24.669,290.268
24.769,290.395
24.869,290.065
24.969,292.873
25.070,292.634
25.170,292.493
25.270,293.956
25.370,293.863
25.470,296.698
25.571,295.308
25.671,295.434
25.771,295.546
25.871,297.891
25.971,298.595
26.072,296.423
26.172,299.119
26.272,297.787
26.372,300.025
26.472,302.234
26.573,301.876
26.673,302.430
26.773,302.735
26.873,302.736
26.973,300.921
27.074,307.380
27.174,303.703
27.274,305.747
27.374,306.429
27.474,305.705
27.575,305.832
27.675,308.809
27.775,309.136
27.875,308.528
27.975,309.242
28.076,311.169
28.176,308.911
28.276,310.950
28.376,312.790
28.476,311.837
28.577,312.862
28.677,313.872
28.777,314.986
28.877,317.349
28.977,316.092
29.078,316.016
29.178,315.461
29.278,316.848
29.378,318.121
29.478,317.170
29.578,318.445
29.679,316.897
29.779,321.395
29.879,319.995
29.979,319.119
30.079,323.855
30.180,322.250
30.280,320.599
30.380,322.708
30.480,322.240
30.580,324.541
30.681,323.787
30.781,325.244
30.881,323.980
30.981,324.960
31.081,324.272
31.182,328.118
31.282,327.420
31.382,323.106
31.482,329.526
31.582,323.754
31.683,326.868
31.783,327.479
31.883,328.823
31.983,328.323
32.083,326.982
32.184,328.026
32.284,329.895
32.384,332.961
32.484,329.863
32.584,330.268
32.685,330.666
32.785,332.493
32.885,330.842
32.985,332.198
33.085,332.945
33.185,334.332
33.286,332.622
33.386,334.159
33.486,334.252
33.586,335.215
33.686,331.636
33.787,331.550
33.887,331.477
33.987,332.321
34.087,331.100
34.187,333.529
34.288,332.232
34.388,332.943
34.488,332.368
34.588,334.216
34.688,333.904
34.789,333.152
34.889,330.884
34.989,328.445
35.089,329.265
35.189,328.389
35.290,330.169
35.390,329.070
35.490,329.700
35.590,330.904
35.690,332.118
35.791,330.235
35.891,335.352
35.991,332.938
36.091,330.484
36.191,333.476
36.291,333.700
36.392,332.765
36.492,333.708
36.592,333.984
36.692,334.746
36.792,336.051
36.893,333.533
36.993,334.811
37.093,340.793
37.193,334.596
37.293,335.135
37.394,336.333
37.494,335.135
37.594,336.486
37.694,336.803
37.794,333.799
37.895,335.246
37.995,335.180
38.095,336.796
38.195,338.274
38.295,337.188
38.396,337.166
38.496,336.614
38.596,338.329
38.696,335.550
38.796,336.923
38.897,337.548
38.997,336.345
39.097,336.552
39.197,333.860
39.297,339.701
39.398,339.056
39.498,334.314
39.598,338.771
39.698,339.741
39.798,336.984
39.898,337.698
39.999,338.683
40.099,338.097
40.199,339.618
40.299,339.856
40.399,340.888
40.500,341.033
40.600,340.975
40.700,341.553
40.800,341.423
40.900,341.065
41.001,341.886
41.101,343.020
41.201,341.925
41.301,342.280
41.401,341.848
41.502,342.284
41.602,342.978
41.702,344.440
41.802,342.570
41.902,342.257
42.002,340.834
42.103,343.872
42.203,344.350
42.303,343.074
42.403,342.614
42.503,343.601
42.604,343.860
42.704,342.259
42.804,346.763
42.904,345.742
43.004,342.259
43.105,346.667
43.205,343.441
43.305,344.371
43.405,343.731
43.505,345.916
43.606,344.359
43.706,345.060
43.806,344.412
43.906,345.716
44.006,344.354
44.107,346.857
44.207,343.350
44.307,345.088
44.407,345.085
44.507,344.924
44.608,344.686
44.708,344.639
44.808,344.548
44.908,343.980
45.008,347.252
45.109,345.563
45.209,347.131
45.309,344.127
45.409,343.154
45.509,345.115
45.610,344.969
45.710,345.069
45.810,346.097
45.910,344.480
46.010,344.653
46.110,347.883
46.211,345.564
46.311,347.328
46.411,346.839
46.511,345.244
46.611,345.514
46.711,345.187
46.811,347.915
46.912,344.807
47.012,346.924
47.112,347.255
47.212,348.021
47.312,346.110
47.412,347.125
47.513,349.358
47.613,349.169
47.713,346.105
47.813,347.766
47.913,346.170
48.013,347.968
48.113,348.612
48.214,346.383
48.314,348.118
48.414,348.203
48.514,348.688
48.614,348.527
48.714,348.440
48.814,345.188
48.915,348.542
49.015,349.103
49.115,347.341
49.215,346.242
49.315,347.819
49.415,348.126
49.516,348.073
49.616,348.773
49.716,345.619
49.816,351.789
49.916,348.290
50.016,349.202
50.116,347.836
50.217,346.241
50.317,349.221
50.417,346.670
50.517,348.838
50.617,350.463
50.717,347.443
50.818,349.763
50.918,348.206
51.018,351.991
51.118,346.435
51.218,352.251
51.318,348.258
51.418,350.959
51.519,348.395
51.619,350.977
51.719,349.827
51.819,349.965
51.919,351.520
52.019,350.718
52.120,351.542
52.220,352.174
52.320,348.009
52.420,353.112
52.520,347.994
52.620,353.867
52.721,349.741
52.821,348.491
52.921,351.631
53.021,351.950
53.121,349.708
53.221,352.084
53.321,352.739
53.422,351.261
53.522,350.649
53.622,351.373
53.722,349.969
53.822,350.780
53.922,351.025
54.023,350.524
54.123,350.541
54.223,350.234
54.323,351.008
54.423,354.083
54.523,351.702
54.623,351.470
54.724,349.224
54.824,354.187
54.924,350.249
55.024,351.138
55.124,352.381
55.224,351.228
55.324,352.545
55.425,352.455
55.525,352.765
55.625,354.234
55.725,352.193
55.825,352.270
55.925,352.142
56.026,352.080
56.126,351.246
56.226,353.258
56.326,351.617
56.426,354.095
56.526,350.715
56.626,353.943
56.727,354.078
56.827,354.413
56.927,352.174
57.027,354.232
57.127,354.757
57.227,354.809
57.328,351.772
57.428,354.053
57.528,354.135
57.628,354.051
57.728,353.898
57.828,354.666
57.928,354.591
58.029,354.562
58.129,353.434
58.229,355.487
58.329,354.057
58.429,353.781
58.529,354.073
58.630,355.362
58.730,353.011
58.830,354.815
58.930,354.464
59.030,356.333
59.130,356.904
59.230,354.987
59.330,354.197
59.431,356.230
59.531,353.751
59.631,356.702
59.731,351.851
59.831,355.474
59.931,355.566
60.032,355.608
60.132,354.991
60.232,357.148
60.332,355.686
60.432,355.190
60.532,354.053
60.632,356.141
60.733,358.116
60.833,355.020
60.933,354.307
61.033,358.715
61.133,355.585
61.233,355.857
61.334,357.316
61.434,358.463
61.534,357.237
61.634,357.347
61.734,356.139
61.835,357.447
61.935,357.526
62.035,357.811
62.135,357.613
62.235,357.345
62.336,357.450
62.436,356.304
62.536,360.581
62.636,358.395
62.736,358.945
62.836,357.643
62.937,359.663
63.037,354.802
63.137,359.441
63.237,356.442
63.337,360.077
63.438,356.140
63.538,358.354
63.638,357.645
63.738,361.930
63.838,359.216
63.939,358.876
64.039,358.413
64.139,359.431
64.239,360.205
64.339,359.335
64.440,358.422
64.540,360.478
64.640,359.566
64.740,360.375
64.840,362.574
64.941,361.588
65.041,361.264
65.141,360.537
65.241,359.194
65.341,361.728
65.442,361.958
65.542,358.206
65.642,361.825
65.742,361.356
65.842,361.631
65.942,362.062
66.043,362.050
66.143,362.343
66.243,362.414
66.343,361.501
66.443,361.116
66.543,362.025
66.644,361.047
66.744,360.897
66.844,361.736
66.944,361.380
67.045,361.389
67.145,362.715
67.245,361.163
67.345,364.041
67.446,360.104
67.546,363.458
67.646,361.967
67.746,360.163
67.846,363.415
67.947,361.012
68.047,361.823
68.147,363.462
68.247,362.228
68.348,362.574
68.448,362.277
68.548,362.280
68.648,362.416
68.748,362.130
68.849,363.522
68.949,363.269
69.049,362.251
69.149,362.791
