time_s,power_W
0.100,200.330
0.201,198.201
0.302,201.683
0.403,200.076
0.503,200.583
0.604,202.491
0.704,199.977
0.805,199.604
0.905,202.904
1.006,201.625
1.106,233.521
1.207,252.763
1.308,254.767
1.409,259.822
1.510,267.744
1.610,273.588
1.711,279.343
1.812,283.651
1.913,289.064
2.013,291.298
2.114,281.359
2.215,298.656
2.315,300.203
2.415,310.632
2.516,319.036
2.616,321.649
2.717,322.497
2.817,326.888
2.918,324.322
3.019,328.892
3.119,325.514
3.220,326.444
3.320,330.924
3.420,326.146
3.521,324.915
3.621,330.830
3.722,324.642
3.822,334.345
3.922,327.437
4.023,332.216
4.123,335.429
4.223,329.213
4.324,336.612
4.424,332.593
4.524,336.044
4.625,338.273
4.725,337.957
4.825,338.112
4.925,339.488
5.026,345.820
5.126,340.122
5.226,346.229
5.327,357.695
5.427,369.497
5.527,371.217
5.628,365.406
5.728,359.979
5.828,338.891
5.929,380.555
6.029,370.385
6.130,314.664
6.230,383.331
6.330,385.127
6.431,388.305
6.531,388.526
6.631,389.570
6.732,391.463
6.832,390.808
6.933,397.033
7.033,395.960
7.134,395.141
7.234,402.289
7.335,398.355
7.435,402.527
7.536,400.326
7.636,405.347
7.737,404.973
7.837,407.418
7.938,408.459
8.038,408.841
8.138,416.212
8.239,442.889
8.339,425.434
8.439,419.393
8.540,415.387
8.641,428.947
8.741,401.524
8.842,427.474
8.943,431.778
9.044,429.227
9.145,417.320
9.246,434.336
9.347,437.686
9.448,424.646
9.549,424.666
9.650,444.113
9.751,426.482
9.851,411.721
9.952,419.785
10.052,405.255
10.153,413.597
10.253,412.826
10.354,408.769
10.455,406.542
10.556,407.201
10.656,409.044
10.757,411.006
10.858,407.138
10.958,410.271
11.059,406.477
11.160,401.321
11.260,419.511
11.361,407.348
11.461,408.791
11.562,407.935
11.663,408.034
11.764,412.342
11.865,407.409
11.965,406.290
12.066,410.043
12.167,401.085
12.268,415.685
12.368,411.180
12.469,408.741
12.570,405.469
12.671,410.783
12.771,409.590
12.872,405.724
12.973,411.582
13.074,408.842
13.174,400.573
13.275,414.487
13.376,411.697
13.476,409.149
13.577,409.230
13.678,408.411
13.779,408.009
13.880,408.341
13.980,410.388
14.081,406.463
14.182,408.606
14.282,399.492
14.383,419.071
14.484,407.759
14.584,408.893
14.685,411.139
14.786,409.692
14.887,407.061
14.987,410.539
15.088,406.425
15.189,409.369
15.290,405.952
15.390,407.788
15.491,413.789
15.591,408.613
15.692,407.629
15.793,409.801
15.894,409.107
15.995,406.253
16.096,410.646
16.196,407.461
16.297,408.448
16.398,408.203
16.498,410.951
16.599,410.172
16.700,408.188
16.801,407.901
16.901,410.925
17.002,408.449
17.103,408.789
17.204,406.114
17.304,409.551
17.405,407.346
17.505,410.068
17.606,410.009
17.707,407.093
17.808,410.745
17.908,408.468
18.009,409.660
18.110,407.856
18.211,410.048
18.312,406.685
18.412,402.105
18.513,416.259
18.613,410.989
18.714,407.268
18.815,410.085
18.916,406.535
19.016,410.175
19.117,407.320
19.218,409.564
19.319,402.762
19.419,398.740
19.520,413.140
19.620,395.516
19.720,339.844
19.820,329.925
19.921,355.955
20.021,365.980
20.121,361.673
20.221,337.437
20.321,348.147
20.422,346.429
20.522,337.546
20.622,340.887
20.722,329.088
20.822,309.712
20.923,306.552
21.023,303.632
21.123,294.634
21.223,287.435
21.324,273.637
21.424,279.255
21.524,272.860
21.625,271.562
21.725,269.007
21.826,257.742
21.926,240.761
22.027,224.407
22.127,220.124
22.228,213.746
22.328,198.332
22.429,200.660
22.529,197.899
22.630,200.316
22.731,199.450
22.831,250.050
22.932,280.122
23.032,298.736
23.132,298.746
23.233,300.460
23.333,306.091
23.434,310.613
23.535,314.170
