time_s,power_W
0.100,211.933
0.201,210.653
0.301,197.850
0.402,207.815
0.502,204.443
0.603,209.131
0.703,201.893
0.803,207.968
0.904,207.370
1.004,204.000
1.105,217.187
1.205,347.591
1.306,334.779
1.407,333.446
1.508,334.359
1.609,333.290
1.710,330.200
1.810,305.205
1.911,258.210
2.011,304.264
2.112,302.897
2.213,317.595
2.313,331.361
2.414,325.497
2.514,328.205
2.615,329.241
2.715,323.516
2.815,329.395
2.916,325.617
3.016,326.508
3.116,323.671
3.217,330.176
3.317,324.614
3.417,324.328
3.517,327.007
3.618,327.263
3.718,328.186
3.818,327.962
3.919,322.512
4.019,331.302
4.119,329.770
4.220,330.747
4.320,327.398
4.421,332.229
4.521,334.857
4.621,337.394
4.722,340.022
4.822,341.084
4.922,337.853
5.022,333.984
5.123,338.951
5.223,380.464
5.323,410.036
5.424,360.471
5.524,349.200
5.624,337.598
5.725,375.883
5.825,415.912
5.925,388.267
6.025,348.783
6.126,445.800
6.226,436.644
6.326,443.201
6.427,444.970
6.527,438.886
6.628,438.951
6.728,442.893
6.828,444.096
6.929,441.525
7.029,431.082
7.129,406.616
7.230,406.910
7.330,411.915
7.431,407.735
7.531,410.119
7.631,408.260
7.732,409.873
7.832,407.230
7.932,409.023
8.033,406.865
8.133,410.281
8.233,409.197
8.334,411.710
8.434,408.942
8.535,409.787
8.636,410.133
8.736,407.505
8.837,405.196
8.938,411.937
9.038,408.676
9.139,406.756
9.240,409.232
9.340,410.616
9.441,405.959
9.541,408.351
9.642,407.993
9.742,413.892
9.843,406.550
9.944,410.512
10.044,407.403
10.145,408.699
10.246,409.433
10.346,409.081
10.447,404.512
10.547,408.634
10.648,405.961
10.748,418.376
10.849,407.294
10.950,408.970
11.050,410.075
11.151,406.922
11.251,408.686
11.352,408.802
11.452,408.921
11.553,407.080
11.654,403.898
11.754,402.462
11.855,419.178
11.955,412.943
12.056,408.579
12.157,407.835
12.257,407.767
12.358,408.034
12.459,409.777
12.559,409.807
12.660,407.552
12.761,409.767
12.861,401.847
12.961,405.726
13.062,420.418
13.162,406.797
13.263,409.795
13.364,406.522
13.464,410.854
13.565,410.320
13.666,408.019
13.766,408.620
13.867,408.812
13.967,401.827
14.068,413.587
14.169,410.415
14.269,409.806
14.370,407.001
14.471,409.353
14.572,409.320
14.672,408.962
14.773,409.780
14.874,406.622
14.974,406.957
15.075,406.033
15.175,409.414
15.276,410.556
15.376,407.468
15.476,409.984
15.577,411.764
15.677,410.107
15.778,408.400
15.879,407.587
15.979,408.711
16.080,406.905
16.180,412.922
16.281,405.295
16.381,409.261
16.482,405.358
16.582,405.689
16.683,411.445
16.783,416.369
16.884,409.815
16.984,406.888
17.085,409.619
17.186,408.757
17.286,407.042
17.387,409.074
17.488,408.495
17.588,409.868
17.689,400.118
17.789,399.948
17.890,421.189
17.990,413.798
18.091,408.830
18.192,407.573
18.292,410.867
18.393,406.291
18.494,408.101
18.594,409.669
18.695,410.368
18.796,405.752
18.897,397.128
18.997,407.472
19.097,413.544
19.198,415.499
19.299,410.984
19.399,396.038
19.500,399.275
19.600,369.546
19.700,215.015
19.800,214.197
19.901,409.642
20.001,441.146
20.101,423.286
20.201,367.193
20.302,221.886
20.402,226.065
20.503,299.630
20.603,411.790
20.704,410.904
20.804,339.511
20.904,238.036
21.005,216.391
21.105,247.751
