time_s,power_W
0.100,207.324
0.201,212.235
0.301,204.371
0.402,212.127
0.502,204.285
0.603,201.070
0.703,208.652
0.803,208.706
0.904,206.363
1.004,221.934
1.105,325.366
1.205,326.088
1.305,328.197
1.406,325.677
1.506,309.494
1.606,339.096
1.707,315.055
1.807,332.492
1.908,330.793
2.008,324.700
2.108,316.512
2.209,340.348
2.309,313.789
2.410,328.196
2.510,312.849
2.611,336.726
2.711,325.984
2.811,322.551
2.912,327.501
3.012,326.076
3.112,331.913
3.213,312.939
3.313,341.543
3.413,302.316
3.513,353.967
3.614,313.269
3.714,314.607
3.814,331.514
3.914,332.572
4.015,326.582
4.115,340.821
4.216,317.291
4.316,331.222
4.416,302.887
4.517,344.075
4.617,329.941
4.717,330.139
4.818,320.345
4.918,327.131
5.018,327.630
5.118,318.454
5.219,321.506
5.319,331.445
5.419,317.505
5.520,334.325
5.620,324.718
5.720,335.412
5.821,318.943
5.921,327.035
6.021,325.324
6.122,320.311
6.222,313.274
6.322,343.677
6.423,321.093
6.523,315.817
6.623,336.037
6.724,332.259
6.824,347.888
6.924,310.868
7.024,329.509
7.125,327.006
7.225,328.706
7.325,302.268
7.425,359.708
7.525,329.130
7.626,336.588
7.726,326.763
7.826,315.488
7.927,344.029
8.027,319.886
8.127,314.353
8.228,333.455
8.328,316.101
8.428,349.645
8.529,323.919
8.629,325.894
8.730,328.147
8.830,319.933
8.931,339.189
9.031,311.094
9.131,337.517
9.232,320.149
9.333,332.791
9.433,328.886
9.534,322.423
9.634,328.601
9.734,331.383
9.834,309.665
9.935,346.760
10.035,322.537
10.135,328.639
10.235,331.941
10.336,320.693
10.436,334.689
10.536,327.366
10.637,325.647
10.737,329.401
10.837,327.182
10.938,326.166
11.038,313.558
11.138,332.147
11.239,341.636
11.339,326.658
11.439,322.330
11.539,333.233
11.639,328.640
11.740,332.807
11.841,319.090
11.941,326.210
12.042,324.519
12.142,326.733
12.243,326.879
12.343,324.245
12.443,328.635
12.544,336.276
12.644,308.615
12.744,326.037
12.844,344.739
12.945,312.328
13.045,333.074
13.145,331.760
13.245,329.441
13.346,329.301
13.446,342.819
13.547,307.880
13.647,338.917
13.747,322.756
13.847,333.270
13.947,311.870
14.048,342.924
14.148,315.878
14.249,336.829
14.349,339.930
14.449,325.630
14.550,319.628
14.650,340.375
14.750,308.137
14.851,349.128
14.951,332.590
15.051,317.450
15.151,338.052
15.252,314.180
15.352,338.429
15.452,332.382
15.552,323.408
15.653,328.861
15.753,328.484
15.853,337.728
15.954,323.803
16.054,258.899
16.155,226.774
16.255,202.303
16.356,236.088
16.456,213.089
16.557,219.836
16.657,209.136
16.758,236.940
16.858,216.625
16.959,221.812
17.059,215.671
17.160,221.393
17.260,217.707
17.360,216.188
17.461,210.867
17.561,228.381
17.662,222.827
17.763,203.019
17.863,239.996
17.964,222.270
18.064,208.409
18.164,220.994
18.265,214.421
18.366,227.817
18.467,221.754
18.567,208.833
18.668,223.838
18.768,223.451
18.869,205.477
18.969,234.990
19.070,208.838
19.170,226.673
19.271,215.926
19.371,217.868
19.471,218.203
19.572,210.841
19.672,233.602
19.772,204.739
19.873,230.160
19.974,221.094
20.075,226.234
20.176,215.377
20.276,214.958
20.377,210.248
20.477,216.188
20.577,235.320
20.678,208.614
20.778,210.629
20.879,194.701
20.979,247.582
21.080,213.902
21.180,233.374
21.280,218.991
21.381,213.549
21.482,211.693
21.582,212.062
21.683,228.171
21.783,217.584
21.884,220.135
21.984,225.766
22.084,221.353
22.185,193.752
22.286,241.349
22.386,191.909
22.487,235.144
22.587,218.384
22.687,200.561
22.788,237.253
22.888,214.461
22.988,227.875
23.088,216.612
23.189,225.453
23.289,218.661
23.389,203.433
23.489,241.612
23.590,201.847
23.690,213.202
23.791,223.922
23.891,205.431
23.991,224.252
24.091,219.419
24.191,224.526
24.292,213.990
24.392,209.585
24.492,217.580
24.592,250.053
24.693,194.115
24.793,221.314
24.893,221.778
24.994,216.633
25.094,223.356
25.195,224.709
25.295,199.303
25.396,245.126
25.496,203.701
25.596,204.248
25.697,224.265
25.797,231.469
25.897,224.882
25.998,236.187
26.098,373.084
26.199,373.319
26.299,372.484
26.399,375.680
26.500,374.034
26.600,373.725
26.700,377.843
26.800,375.462
26.900,375.550
27.001,376.537
27.101,376.170
27.201,377.061
27.301,375.059
27.402,376.512
27.502,375.967
27.602,374.836
27.702,377.804
27.802,374.955
27.903,378.891
28.003,379.195
28.103,375.000
28.203,376.425
28.304,376.373
28.404,377.905
28.504,375.422
28.604,377.806
28.704,377.610
28.805,374.559
28.905,377.408
29.005,378.210
29.105,377.259
29.205,377.127
29.306,378.072
29.406,376.914
29.506,376.576
29.606,376.093
29.706,377.207
29.807,376.493
29.907,375.721
30.007,378.186
30.107,376.379
30.207,377.916
30.308,380.386
30.408,374.513
30.508,376.181
30.608,379.856
30.709,375.162
30.809,379.488
30.909,376.911
31.009,376.366
31.109,375.281
31.210,376.613
31.310,379.113
31.410,377.545
31.510,376.502
31.611,377.501
31.711,378.324
31.811,377.084
31.911,374.970
32.011,377.041
32.112,379.669
32.212,377.340
32.312,376.018
32.412,378.080
32.512,378.919
32.613,376.912
32.713,379.272
32.813,376.906
32.913,376.891
33.014,380.235
33.114,376.822
33.214,377.179
33.314,377.529
33.414,376.787
33.515,379.060
33.615,377.316
33.715,377.433
33.815,378.818
33.916,376.373
34.016,377.844
34.116,380.939
34.216,380.466
34.317,380.799
34.417,378.695
34.517,377.463
34.617,381.868
34.717,377.180
34.818,382.324
34.918,378.474
35.018,377.955
35.118,375.963
35.219,376.706
35.319,380.110
35.419,374.775
35.519,378.898
35.620,377.822
35.720,377.695
35.820,376.591
35.920,379.478
36.021,380.907
36.121,376.497
36.221,378.657
36.321,375.465
36.421,380.513
36.522,375.809
36.622,376.713
36.722,378.748
36.822,377.880
36.922,376.650
37.023,377.972
37.123,377.619
37.223,378.880
37.323,378.842
37.424,375.850
37.524,380.463
37.624,380.106
37.724,376.534
37.824,377.394
37.925,378.594
38.025,378.296
38.125,378.230
38.225,377.925
38.326,377.015
38.426,381.773
38.526,377.857
38.626,377.627
38.726,378.137
38.827,379.033
38.927,377.445
39.027,376.439
39.127,378.693
39.227,379.073
39.328,376.253
39.428,378.433
39.528,380.220
39.628,378.524
39.729,377.846
39.829,378.226
39.929,377.766
40.029,379.147
40.129,377.581
40.230,379.065
40.330,376.908
40.430,378.696
40.530,378.516
40.630,380.116
40.731,380.959
40.831,378.606
40.931,376.617
41.031,343.933
41.132,341.864
41.232,332.487
41.332,315.924
41.433,335.462
41.533,323.368
41.633,347.174
41.733,326.954
41.834,321.409
41.934,326.063
42.034,334.442
42.135,325.384
42.235,336.372
42.335,320.864
42.436,342.176
42.536,328.895
42.636,329.852
42.737,317.120
42.837,336.243
42.937,332.591
43.038,329.689
43.138,320.518
43.238,325.213
43.338,342.395
43.438,316.527
43.539,326.683
43.639,341.735
43.740,324.033
43.840,323.016
43.941,330.231
44.041,341.633
44.141,316.189
44.241,345.583
44.342,322.216
44.442,337.278
44.542,303.342
44.643,340.649
44.743,338.637
44.843,331.794
44.944,331.882
45.044,327.056
45.144,316.964
45.244,336.360
45.345,331.008
45.445,336.482
45.545,321.920
45.646,328.122
45.746,333.730
45.847,296.602
45.947,352.301
46.048,335.763
46.148,323.882
46.248,329.937
46.349,325.345
46.449,316.631
46.550,348.114
46.650,318.958
46.750,328.178
46.851,328.209
46.951,329.805
47.051,327.697
47.152,331.687
47.252,334.622
47.352,318.140
47.452,322.870
47.552,335.459
47.653,329.269
47.753,331.786
47.853,341.248
47.953,317.428
48.054,333.389
48.154,325.099
48.254,328.469
48.355,324.170
48.455,329.943
48.555,315.084
48.656,347.843
48.756,317.811
48.856,321.076
48.957,348.041
49.057,318.455
49.157,339.564
49.258,319.293
49.358,333.140
49.459,330.288
49.559,320.474
49.659,327.840
49.760,342.054
49.860,324.223
49.960,329.851
50.061,329.169
50.161,324.106
50.261,335.771
50.362,335.880
50.462,332.441
50.562,317.985
50.663,331.644
50.763,317.614
50.863,337.318
50.963,324.547
51.064,248.296
51.164,229.578
51.264,216.001
51.365,224.517
51.465,218.277
51.566,218.420
51.666,235.217
51.766,192.715
51.867,238.075
51.967,217.476
52.068,207.550
52.168,213.419
52.269,248.238
52.369,192.572
52.469,235.693
52.570,207.853
52.670,207.580
52.771,240.798
52.871,230.643
52.972,215.809
53.072,211.791
53.172,204.391
53.273,217.715
53.373,225.853
53.473,240.486
53.574,211.485
53.674,229.518
53.775,206.333
53.875,222.809
53.975,218.287
54.076,219.740
54.176,199.172
54.277,235.105
54.377,219.861
54.478,211.218
54.578,226.509
54.678,222.718
54.778,220.088
54.879,218.608
54.979,216.627
55.079,227.829
55.180,215.900
55.280,223.939
55.381,210.916
55.481,204.404
55.582,230.575
55.683,223.765
55.783,219.005
55.883,212.565
55.984,228.395
56.084,187.750
56.184,253.418
56.285,217.568
56.385,195.574
56.486,238.865
56.586,214.557
56.686,224.554
56.787,201.480
56.887,224.491
56.987,226.008
57.088,208.404
57.188,226.555
57.289,220.567
57.389,227.930
57.489,214.457
57.590,213.101
57.690,222.820
57.790,211.565
57.890,222.265
57.991,222.967
58.092,200.392
58.192,227.589
58.292,219.136
58.393,194.561
58.493,242.326
58.593,196.230
58.694,247.713
58.794,204.179
58.894,239.306
58.994,194.876
59.095,223.107
59.195,224.646
59.295,214.546
59.396,231.595
59.496,224.413
59.596,203.967
59.696,227.639
59.797,203.159
59.897,234.828
59.998,212.498
60.098,212.638
60.198,228.714
60.298,214.263
60.399,232.939
60.499,207.848
60.599,225.851
60.700,208.040
60.800,223.238
60.900,196.976
61.001,239.987
61.101,338.732
61.202,334.628
61.302,318.846
61.402,324.513
61.503,333.826
61.603,335.541
61.703,294.161
61.804,343.566
61.904,342.949
62.004,323.104
62.105,323.091
62.205,334.249
62.305,329.289
62.406,301.649
62.506,341.912
62.606,331.013
62.707,338.060
62.807,320.165
62.908,341.101
63.008,306.633
63.108,334.490
63.209,333.709
63.309,325.808
63.409,329.167
63.510,320.598
63.610,331.033
63.710,322.588
63.810,317.665
63.911,335.956
64.011,342.536
64.112,324.782
64.212,305.800
64.312,351.560
64.412,321.448
64.513,323.796
64.613,327.624
64.714,327.979
64.814,321.748
64.914,343.038
65.014,308.575
65.115,339.228
65.215,336.775
65.316,322.248
65.416,325.100
65.517,327.975
65.617,328.879
65.717,329.334
65.817,330.276
65.918,325.817
66.018,321.816
66.119,328.843
66.219,322.378
66.319,335.380
66.419,329.683
66.520,313.895
66.620,326.120
66.720,347.332
66.820,304.438
66.921,335.991
67.021,323.898
67.121,335.073
67.221,339.959
67.322,320.130
67.422,330.379
67.522,335.722
67.622,308.552
67.723,330.761
67.824,345.382
67.924,322.920
68.025,330.576
68.125,328.632
68.225,347.235
68.326,303.035
68.426,310.045
68.526,363.123
68.627,302.495
68.727,347.695
68.827,331.510
68.927,314.410
69.028,351.289
69.128,306.110
