time_s,power_W
0.100,201.341
0.201,200.537
0.302,196.741
0.402,202.822
0.503,198.897
0.603,199.713
0.704,198.231
0.805,203.333
0.905,199.490
1.006,200.885
1.106,225.096
1.206,219.842
1.306,213.432
1.407,228.398
1.507,217.069
1.608,219.216
1.708,228.904
1.808,221.458
1.908,219.513
2.009,212.798
2.109,228.373
2.209,219.196
2.309,221.671
2.410,220.920
2.510,217.140
2.611,220.853
2.711,225.419
2.811,213.919
2.911,215.790
3.012,220.038
3.112,223.740
3.213,214.379
3.313,220.996
3.414,221.614
3.514,220.938
3.615,210.673
3.715,226.128
3.815,214.476
3.916,227.950
4.016,214.599
4.116,214.134
4.216,229.398
4.317,213.833
4.417,222.439
4.518,222.206
4.618,219.228
4.718,222.989
4.819,227.035
4.919,221.237
5.019,217.371
5.120,215.472
5.220,221.065
5.321,219.101
5.422,214.124
5.522,226.029
5.622,217.395
5.723,224.256
5.823,220.344
5.924,214.735
6.024,222.970
6.125,221.668
6.225,218.995
6.326,220.315
6.427,220.708
6.527,215.548
6.628,220.356
6.729,209.746
6.829,224.154
6.929,223.539
7.029,220.647
7.130,221.932
7.231,217.317
7.331,217.840
7.431,225.998
7.532,212.347
7.632,222.957
7.732,216.713
7.832,217.834
7.933,222.328
8.033,222.020
8.134,220.089
8.234,218.582
8.334,226.642
8.434,210.858
8.535,229.089
8.635,217.205
8.735,221.004
8.835,217.511
8.936,227.686
9.036,213.544
9.136,229.108
9.236,218.458
9.337,220.191
9.437,226.252
9.537,218.240
9.638,220.405
9.738,222.054
9.838,217.944
9.939,224.502
10.039,211.251
10.139,226.763
10.239,219.205
10.340,217.887
10.440,220.928
10.541,221.602
10.641,215.123
10.742,226.052
10.842,218.208
10.942,222.950
11.042,214.300
11.142,220.539
11.243,219.486
11.343,222.443
11.444,222.488
11.544,217.641
11.644,220.838
11.744,214.603
11.844,218.193
11.945,221.702
12.045,222.849
12.145,215.949
12.245,217.559
12.346,219.718
12.446,220.937
12.546,221.005
12.646,213.906
12.746,223.486
12.847,218.941
12.947,225.225
13.047,214.083
13.148,215.654
13.248,220.272
13.348,218.730
13.448,213.803
13.549,223.639
13.649,222.418
13.749,220.363
13.849,219.284
13.950,215.619
14.050,220.941
14.150,215.274
14.251,219.254
14.351,209.966
14.452,218.679
14.552,228.994
14.652,209.781
14.752,224.233
14.853,211.533
14.953,223.523
15.053,218.709
15.154,215.634
15.254,223.198
15.354,219.740
15.454,221.983
15.555,216.912
15.655,220.397
15.755,214.432
15.855,217.180
15.956,219.046
16.056,216.688
16.156,225.645
16.257,219.480
16.357,216.969
16.457,218.213
16.558,222.333
16.658,211.164
16.758,224.049
16.859,214.457
16.959,221.530
17.059,222.614
17.160,217.792
17.260,213.778
17.360,225.122
17.461,219.779
17.561,217.241
17.661,218.192
17.761,220.456
17.862,218.679
17.962,220.903
18.062,218.640
18.163,218.539
18.263,220.229
18.363,216.686
18.464,218.609
18.564,225.270
18.664,222.986
18.765,225.616
18.865,217.895
18.965,215.053
19.065,230.091
19.166,222.374
19.266,210.907
19.366,223.587
19.467,220.671
19.567,221.214
19.667,217.177
19.768,226.829
19.868,219.171
19.968,220.050
20.069,223.931
20.169,218.043
20.269,220.308
20.369,213.697
20.470,220.627
20.570,220.386
20.670,207.794
20.770,223.427
20.871,224.151
20.971,216.222
21.071,218.580
21.171,224.277
21.272,216.039
21.372,219.381
21.472,213.228
21.573,223.284
21.673,218.095
21.773,215.187
21.874,219.809
21.974,219.640
22.074,220.193
22.175,222.115
22.275,218.727
22.375,215.215
22.476,209.624
22.576,232.490
22.677,215.591
22.777,220.521
22.878,217.804
22.978,220.986
23.079,216.844
23.179,226.967
23.280,216.604
23.381,220.294
23.481,225.980
23.582,206.370
23.683,243.298
23.783,252.840
23.883,220.456
23.983,222.602
24.084,220.961
24.184,212.873
24.285,220.659
24.386,225.241
24.486,227.375
24.587,215.869
24.687,212.873
24.787,221.867
24.888,221.172
24.988,221.172
25.088,207.469
25.189,228.643
25.289,220.050
25.389,218.466
25.489,219.395
25.590,228.554
25.690,236.909
25.791,265.924
25.891,277.418
25.991,286.711
26.092,289.712
26.192,296.840
26.292,299.291
26.393,305.369
26.493,311.160
26.593,313.928
26.693,317.405
26.793,324.854
26.894,327.947
26.994,336.266
27.094,338.008
27.195,341.269
27.295,342.694
27.395,346.744
27.496,349.752
27.596,352.321
27.696,352.511
27.796,356.610
27.897,354.173
27.997,358.144
28.097,361.028
28.198,361.186
28.298,364.163
28.398,366.104
28.498,367.914
28.599,370.430
28.699,368.668
28.799,372.363
28.900,374.204
29.000,374.769
29.100,379.487
29.201,378.768
29.301,378.348
29.401,385.953
29.501,382.869
29.602,384.883
29.702,384.869
29.802,389.137
29.902,388.801
30.003,390.656
30.103,390.220
30.203,392.679
30.303,395.570
30.404,429.195
30.504,424.991
30.604,421.347
30.704,422.583
30.805,423.734
30.905,424.557
31.005,428.137
31.105,426.167
31.206,428.322
31.306,430.471
31.406,411.471
31.506,407.161
31.607,407.073
31.707,408.536
31.807,410.026
31.908,408.940
32.008,408.991
32.108,407.418
32.208,410.508
32.309,408.605
32.409,408.197
32.509,407.297
32.609,410.453
32.710,409.945
32.810,409.157
32.910,405.541
33.011,411.635
33.111,405.569
33.211,411.642
33.311,296.177
33.412,274.097
33.512,323.472
33.613,336.198
33.713,335.265
33.814,368.150
33.915,353.005
34.015,341.897
34.115,383.329
34.216,387.437
34.316,391.281
34.416,408.151
34.517,361.321
34.617,388.308
34.717,335.214
34.818,319.893
34.918,319.609
35.019,352.668
35.120,335.664
35.220,356.008
35.321,324.742
35.421,330.606
35.522,335.901
35.623,336.587
35.723,328.576
35.824,328.585
35.925,336.458
36.025,349.277
36.126,314.850
36.226,366.114
36.327,347.462
36.427,347.351
36.528,313.916
36.628,366.511
36.728,358.284
36.829,336.403
36.929,311.216
37.030,316.569
37.130,350.794
37.230,356.311
37.330,369.168
37.431,334.873
37.531,306.329
37.631,294.121
37.732,344.854
37.832,303.572
37.932,340.012
38.033,254.692
38.133,346.637
38.233,314.415
38.334,303.176
38.434,363.688
38.535,346.909
38.635,303.701
38.735,337.970
38.835,350.235
38.935,322.409
39.036,322.658
39.136,343.218
39.236,320.849
39.337,317.263
39.437,307.853
39.537,298.811
39.637,298.180
39.738,286.379
39.838,293.021
39.939,306.071
40.039,311.740
40.140,309.180
40.240,323.249
40.341,328.178
40.441,345.422
40.541,327.326
40.642,327.619
40.742,334.170
40.842,326.695
40.943,352.626
41.043,325.030
41.143,316.923
41.244,336.053
41.344,345.064
41.444,313.053
41.545,302.355
41.645,351.813
41.745,307.387
41.846,304.845
41.946,284.632
42.046,303.414
42.147,339.926
42.247,327.767
42.347,250.358
42.447,343.237
42.548,256.350
42.648,335.793
42.748,270.991
42.848,325.487
42.949,285.578
43.049,320.238
43.149,299.489
43.249,300.815
43.350,245.758
43.450,303.983
43.550,306.115
43.651,315.633
43.751,313.241
43.851,281.608
43.951,311.637
44.051,323.917
44.152,292.673
44.252,360.191
44.352,374.374
44.452,351.734
44.553,349.971
44.653,401.190
44.753,362.601
44.853,340.482
44.954,377.969
45.054,299.566
45.154,307.020
45.255,311.109
45.355,317.033
45.456,307.366
45.556,340.631
45.656,360.405
45.756,343.735
45.857,343.709
45.957,284.493
46.057,319.838
46.157,351.692
46.258,300.987
46.358,394.530
46.458,429.872
46.558,365.871
46.659,412.154
46.759,386.805
46.859,400.705
46.959,399.593
47.059,341.083
47.160,358.318
47.260,336.339
47.360,354.817
47.460,352.987
47.560,366.229
47.661,349.135
47.761,318.102
