time_s,power_W
0.100,202.017
0.201,198.830
0.302,201.430
0.403,199.469
0.504,198.724
0.604,199.989
0.705,199.756
0.806,199.512
0.907,198.501
1.007,204.367
1.107,226.397
1.208,327.565
1.309,332.595
1.410,334.864
1.511,335.462
1.612,333.720
1.712,333.421
1.813,305.801
1.913,291.810
2.014,282.885
2.115,307.474
2.215,320.016
2.316,323.780
2.416,327.891
2.517,327.792
2.617,328.385
2.718,327.027
2.818,330.555
2.918,325.696
3.019,329.588
3.119,326.876
3.220,327.508
3.320,329.284
3.420,328.323
3.521,331.536
3.621,328.863
3.722,326.812
3.822,330.467
3.922,329.834
4.023,327.630
4.123,338.037
4.223,331.070
4.324,334.716
4.424,332.748
4.525,336.356
4.625,337.872
4.725,339.378
4.825,341.032
4.926,343.119
5.026,332.236
5.126,339.728
5.227,391.858
5.327,402.757
5.427,368.905
5.528,338.603
5.628,308.205
5.728,406.524
5.828,390.363
5.929,309.280
6.029,422.553
6.130,439.082
6.230,442.680
6.331,442.480
6.431,439.437
6.532,441.903
6.632,441.015
6.733,443.118
6.833,440.190
6.933,441.418
7.034,439.501
7.134,406.278
7.235,409.181
7.335,407.326
7.435,407.877
7.536,409.572
7.636,408.674
7.737,407.833
7.837,409.974
7.938,406.163
8.038,408.204
8.139,410.112
8.240,413.976
8.340,409.794
8.441,404.849
8.542,411.949
8.643,408.796
8.744,405.587
8.844,411.413
8.945,406.376
9.046,409.392
9.147,406.348
9.247,395.296
9.348,420.441
9.448,414.566
9.549,406.589
9.650,410.414
9.751,410.432
9.852,407.831
9.953,407.395
10.053,410.098
10.154,408.956
10.255,406.331
10.356,402.301
10.457,417.136
10.557,409.643
10.658,408.504
10.759,407.404
10.860,409.219
10.960,408.528
11.061,406.555
11.162,410.000
11.263,409.664
11.363,398.519
11.464,416.421
11.565,412.930
11.665,409.083
11.766,409.369
11.867,407.646
11.968,408.311
12.069,408.689
12.170,409.569
12.270,409.159
12.371,407.456
12.472,399.733
12.573,418.185
12.673,412.904
12.774,405.439
12.875,409.704
12.976,408.106
13.077,410.214
13.177,406.059
13.278,411.296
13.379,406.675
13.480,404.325
13.580,403.601
13.681,421.408
13.781,409.119
13.882,406.780
13.983,409.819
14.084,405.455
14.185,408.897
14.286,410.962
14.386,407.788
14.487,410.280
14.588,401.281
14.689,409.189
14.789,416.583
14.890,408.038
14.991,407.536
15.092,410.469
15.193,405.701
15.293,411.762
15.394,406.539
15.495,411.695
15.596,407.335
15.696,405.595
15.797,412.856
15.897,409.617
15.998,405.000
16.099,410.668
16.200,409.473
16.301,406.689
16.401,411.384
16.502,408.683
16.603,406.493
16.703,402.497
16.804,416.452
16.905,411.090
17.005,407.056
17.106,408.839
17.207,408.316
17.308,409.311
17.408,409.070
17.509,408.935
17.610,403.872
17.711,408.482
17.811,416.109
17.912,406.156
18.013,407.081
18.114,410.891
18.214,409.568
18.315,408.197
18.416,408.885
18.517,408.289
18.618,403.108
18.719,414.121
18.819,411.839
18.921,408.306
19.021,405.793
19.122,406.655
19.223,409.674
19.324,408.307
19.424,409.869
19.525,400.253
19.625,408.024
19.726,377.191
19.827,245.095
19.927,202.633
20.028,203.177
20.128,200.232
20.229,199.634
20.330,198.061
20.430,197.559
20.531,198.088
20.632,199.624
20.732,199.099
20.833,196.828
20.934,200.930
21.035,199.287
21.136,201.610
21.236,198.924
21.337,200.760
21.438,197.868
21.538,198.278
21.639,198.902
21.740,200.206
21.841,197.487
21.941,197.987
22.042,197.952
22.143,197.414
22.243,201.330
22.344,198.598
22.444,195.866
22.545,201.118
22.645,196.734
22.746,197.265
22.847,208.123
22.948,394.826
23.049,434.930
23.149,430.805
23.249,441.687
23.349,441.443
23.450,447.286
23.551,420.149
23.652,437.343
23.753,431.552
23.854,438.418
23.955,436.494
24.056,439.511
24.157,434.119
24.258,434.849
24.359,433.352
24.460,439.558
24.561,431.518
24.662,414.428
24.762,416.664
24.863,404.052
24.964,407.257
25.065,411.480
25.165,407.548
25.266,408.795
25.367,407.844
25.468,409.189
25.569,404.591
25.669,407.157
25.770,415.619
25.871,406.781
25.972,410.879
26.072,409.204
26.173,406.130
26.274,410.183
26.375,410.397
26.476,406.947
26.577,401.959
26.677,414.339
26.778,410.220
26.879,410.369
26.980,406.506
27.081,409.971
27.181,407.134
27.282,407.647
27.383,411.628
27.484,408.123
27.585,403.927
27.685,413.959
27.786,409.653
27.887,407.000
27.988,410.078
28.088,409.922
28.189,406.572
28.290,409.480
28.391,408.011
28.492,405.277
28.592,406.523
28.693,416.589
28.794,409.372
28.895,407.765
28.995,407.661
29.096,407.018
29.197,411.225
29.298,406.942
29.399,408.783
29.499,404.538
29.600,413.664
29.701,411.468
29.801,407.692
29.902,408.468
30.003,409.740
30.104,408.952
30.205,407.062
30.306,410.590
30.406,403.669
30.507,411.834
30.608,409.986
30.708,407.982
30.809,410.312
30.910,406.802
31.011,408.469
31.112,410.305
31.212,408.435
31.313,408.522
31.414,403.350
31.514,416.729
31.615,407.305
31.716,409.000
31.817,408.116
31.917,410.086
32.018,407.316
32.119,409.750
32.220,406.114
32.321,404.050
32.422,416.320
32.522,409.125
32.623,406.902
32.724,409.991
32.825,408.980
32.925,409.092
33.026,408.752
33.127,407.946
33.227,401.507
33.328,413.655
33.429,411.980
33.529,409.406
33.630,407.760
33.731,407.986
33.832,409.007
33.932,408.768
34.033,409.278
34.134,406.548
34.235,407.109
34.336,413.740
34.437,410.147
34.537,406.818
34.638,409.795
34.739,405.236
34.840,410.587
34.941,408.069
35.041,408.909
35.142,399.858
35.243,420.200
35.344,407.721
35.444,410.314
35.545,408.061
35.646,408.677
35.747,407.574
35.847,409.838
35.948,408.764
36.049,396.886
36.150,418.949
36.250,412.975
36.351,408.136
36.452,405.942
36.553,408.511
36.653,411.211
36.754,408.280
36.855,408.993
36.956,393.804
37.056,423.057
37.157,409.025
37.258,409.256
37.358,408.861
37.459,407.321
37.560,409.122
37.661,407.255
37.762,412.031
37.863,397.516
37.963,418.176
38.064,409.641
38.165,409.013
38.265,406.316
38.366,411.373
38.467,408.178
38.568,409.098
38.668,407.661
38.769,399.543
38.870,416.921
38.971,412.632
39.071,406.803
39.172,408.772
39.273,410.198
39.374,408.881
39.475,407.772
39.575,408.503
39.676,401.741
39.777,413.787
39.877,413.357
39.979,408.094
40.079,408.330
40.181,409.348
40.281,405.215
40.382,411.632
40.483,407.731
40.584,398.429
40.684,419.183
40.785,410.443
40.886,407.785
40.987,407.365
41.088,408.855
41.188,410.130
41.289,408.558
41.390,409.586
41.491,394.618
41.591,415.466
41.692,411.455
41.792,408.261
41.893,399.236
41.993,332.503
42.093,207.929
42.194,199.777
42.294,199.778
42.395,197.103
42.495,199.450
42.596,199.737
42.696,199.604
42.797,199.989
42.898,196.987
42.998,197.648
43.099,199.869
43.199,200.896
43.300,198.387
43.401,199.499
43.501,197.497
43.602,198.007
43.703,196.561
43.803,195.087
43.904,199.159
44.005,196.369
44.105,196.976
44.206,197.922
44.306,198.969
44.407,197.634
44.507,196.441
44.608,197.730
44.708,197.625
44.809,196.309
44.909,195.875
45.010,196.665
45.110,230.451
45.210,385.551
45.311,443.035
45.411,439.124
45.512,448.713
45.612,419.290
45.713,432.603
45.814,438.449
45.915,432.429
46.016,439.719
46.117,438.117
46.218,449.511
46.319,433.717
46.420,423.128
46.520,428.118
46.621,405.591
46.722,411.193
46.823,408.270
46.923,407.954
47.024,408.111
47.125,406.525
47.226,408.636
47.326,409.925
47.427,407.844
47.528,407.889
47.628,412.592
47.729,407.018
47.830,410.216
47.931,407.721
48.032,407.920
48.133,410.060
