time_s,power_W
0.100,196.473
0.201,200.070
0.302,198.340
0.402,195.637
0.503,198.386
0.604,195.591
0.704,198.528
0.805,199.027
0.905,195.689
1.006,198.698
1.106,198.234
1.207,200.825
1.308,202.422
1.409,199.247
1.509,205.119
1.610,205.688
1.710,200.813
1.810,208.198
1.911,205.286
2.011,203.763
2.111,207.573
2.212,209.786
2.312,207.341
2.412,206.220
2.513,211.779
2.613,210.804
2.713,211.206
2.814,209.253
2.914,215.130
3.014,209.867
3.115,211.721
3.215,212.392
3.315,212.898
3.416,214.937
3.516,217.013
3.616,214.139
3.717,216.143
3.817,218.429
3.917,219.050
4.018,216.730
4.118,220.018
4.218,218.646
4.319,217.788
4.419,218.875
4.519,218.402
4.619,222.059
4.720,219.225
4.820,220.843
4.920,225.136
5.021,223.967
5.121,220.024
5.221,225.565
5.322,224.452
5.422,224.621
5.522,227.593
5.622,229.268
5.723,224.825
5.823,225.804
5.923,228.690
6.023,230.877
6.124,231.224
6.224,227.148
6.324,230.031
6.424,231.936
6.525,231.645
6.625,229.642
6.725,232.455
6.825,230.648
6.926,234.189
7.026,231.728
7.126,232.442
7.226,234.326
7.327,234.665
7.427,236.211
7.527,233.734
7.627,235.998
7.728,236.116
7.828,237.834
7.928,237.345
8.028,239.828
8.129,238.011
8.229,240.682
8.329,239.505
8.429,241.028
8.530,241.547
8.630,241.834
8.730,240.712
8.830,243.745
8.931,239.594
9.031,248.104
9.131,242.491
9.232,244.790
9.332,244.921
9.432,244.841
9.532,245.098
9.633,249.119
9.733,248.829
9.833,250.034
9.933,249.392
10.034,248.250
10.134,249.424
10.234,252.074
10.334,247.653
10.435,254.154
10.535,252.561
10.635,252.669
10.735,252.195
10.836,252.908
10.936,253.624
11.036,253.271
11.136,254.753
11.237,252.811
11.337,254.358
11.437,252.636
11.537,255.482
11.638,253.301
11.738,257.089
11.838,253.551
11.938,258.106
12.039,256.053
12.139,256.342
12.239,256.316
12.339,256.899
12.439,258.474
12.540,256.507
12.640,260.392
12.740,259.860
12.840,260.208
12.941,259.621
13.041,263.109
13.141,264.683
13.241,260.923
13.342,260.706
13.442,263.604
13.542,262.385
13.642,264.277
13.743,262.522
13.843,261.842
13.943,263.512
14.043,262.785
14.144,259.735
14.244,262.779
14.344,261.562
14.444,260.574
14.545,260.757
14.645,263.879
14.745,260.859
14.846,262.550
14.946,261.068
15.046,262.462
15.146,259.803
15.247,259.403
15.347,261.047
15.447,259.873
15.547,258.730
15.648,259.003
15.748,261.951
15.848,258.405
