time_s,power_W
0.101,201.018
0.201,200.198
0.302,201.985
0.403,199.647
0.504,197.071
0.604,203.467
0.705,197.574
0.806,200.310
0.907,201.080
1.007,213.921
1.108,306.398
1.208,316.844
1.308,316.980
1.409,317.764
1.509,315.236
1.609,327.995
1.710,316.465
1.811,325.988
1.912,319.875
2.012,330.648
2.112,320.339
2.213,330.177
2.313,327.578
2.413,326.050
2.513,327.088
2.614,324.854
2.714,326.652
2.814,315.946
2.914,330.461
3.015,325.152
3.115,324.789
3.216,327.836
3.316,328.484
3.416,336.759
3.517,335.615
3.617,336.272
3.718,323.115
3.819,337.008
3.919,334.875
4.020,332.018
4.120,331.760
4.221,334.667
4.321,337.948
4.421,330.792
4.522,331.852
4.622,330.617
4.722,333.698
4.823,330.802
4.923,328.382
5.024,334.062
5.124,326.332
5.225,328.238
5.325,328.718
5.425,329.967
5.526,338.288
5.626,321.636
5.727,337.568
5.827,327.241
5.928,340.739
6.028,331.922
6.128,335.438
6.229,323.724
6.330,323.958
6.430,349.461
6.530,341.362
6.631,341.368
6.731,332.356
6.832,346.266
6.932,336.266
7.032,345.901
7.133,330.338
7.233,331.977
7.333,329.714
7.434,332.311
7.534,331.257
7.635,323.190
7.735,332.174
7.835,335.757
7.936,342.157
8.036,336.000
8.137,329.384
8.237,333.625
8.338,326.302
8.438,334.768
8.539,330.770
8.639,327.241
8.740,336.967
8.840,327.075
8.941,341.353
9.041,327.950
9.141,333.300
9.242,329.714
9.343,324.612
9.444,337.374
9.544,330.085
9.644,326.227
9.745,339.500
9.845,327.889
9.946,326.533
10.046,330.358
10.147,333.978
10.247,328.275
10.347,329.800
10.448,328.804
10.548,337.294
10.649,332.964
10.749,333.954
10.850,328.272
10.950,328.137
11.050,334.466
11.151,327.918
11.252,327.490
11.352,334.513
11.453,344.418
11.553,344.123
11.653,336.983
11.753,334.255
11.854,329.468
11.954,335.519
12.054,329.435
12.155,330.292
12.255,328.646
12.356,328.954
12.456,327.654
12.557,331.260
12.657,334.042
12.757,325.680
12.858,331.379
12.958,335.505
13.058,329.149
13.159,336.250
13.259,325.674
13.359,332.271
13.460,325.712
13.560,333.222
13.660,324.072
13.761,330.200
13.861,328.415
13.962,325.990
14.063,334.482
14.163,323.397
14.264,336.169
14.364,332.730
14.465,323.816
14.565,332.118
14.666,328.640
14.766,334.248
14.867,328.189
14.968,334.998
15.069,330.644
15.169,331.509
15.269,328.754
15.369,324.887
15.470,333.613
15.570,328.719
15.671,338.048
15.771,328.526
15.871,327.630
15.972,330.811
16.073,248.184
16.173,279.522
16.273,266.935
16.374,287.570
16.474,301.925
16.574,285.977
16.674,277.411
16.775,270.635
16.875,266.375
16.975,266.574
17.076,276.069
17.176,255.146
17.276,253.878
17.377,224.512
17.477,230.383
17.578,234.130
17.678,226.664
17.779,235.969
17.879,221.188
17.980,219.344
18.080,205.737
18.181,206.267
18.281,201.076
18.382,209.769
18.483,205.894
18.583,206.996
18.684,204.911
18.785,207.442
18.885,206.918
18.986,203.328
19.087,206.968
19.187,203.133
19.288,203.604
19.389,206.563
19.489,208.878
19.590,202.310
19.691,203.461
19.792,210.139
19.893,200.912
19.993,207.098
20.094,204.264
20.195,202.387
20.295,208.170
20.396,205.859
20.497,203.845
20.597,204.955
20.698,206.202
20.799,201.722
20.900,204.662
21.000,207.267
21.101,206.251
21.202,202.742
21.303,207.279
21.403,198.924
21.504,204.025
21.605,209.753
21.706,198.893
21.806,208.228
21.907,204.580
22.007,203.805
22.108,204.778
22.209,207.133
22.310,200.016
22.410,204.388
22.510,205.378
22.611,202.250
22.712,205.227
22.813,201.758
22.913,204.773
23.014,204.413
23.115,207.922
23.216,200.069
23.316,206.153
23.417,204.288
23.518,202.114
23.618,203.821
23.719,204.053
23.820,204.023
23.921,205.773
24.021,203.778
24.122,204.536
24.223,201.279
24.323,203.698
24.424,202.806
24.525,206.325
24.625,203.339
24.726,204.607
24.827,203.399
24.928,203.559
25.028,200.952
25.129,204.201
25.230,203.396
25.330,203.418
25.431,206.084
25.532,201.619
25.632,207.901
25.733,202.272
25.834,199.492
25.934,204.696
26.035,275.238
26.135,361.038
26.235,358.095
26.336,359.262
26.436,363.671
26.536,362.898
26.636,364.751
26.737,366.291
26.837,367.401
26.937,366.477
27.037,368.949
27.138,368.518
27.238,369.582
27.338,368.893
27.438,372.695
27.538,369.801
27.639,373.183
27.739,370.437
27.839,373.771
27.939,374.460
28.040,372.957
28.140,373.248
28.240,373.886
28.340,371.913
28.441,373.857
28.541,374.703
28.641,373.213
28.741,374.476
28.841,372.054
28.942,373.451
29.042,374.732
29.142,376.423
29.242,373.851
29.343,373.838
29.443,373.696
29.543,373.262
29.643,373.819
29.743,373.910
29.844,374.663
29.944,372.831
