time_s,power_W
0.100,194.554
0.201,195.834
0.302,199.010
0.402,194.116
0.503,197.656
0.604,193.575
0.704,195.633
0.805,198.881
0.906,192.359
1.006,197.317
1.106,216.886
1.207,222.189
1.307,217.254
1.408,215.655
1.509,215.699
1.609,219.003
1.709,212.522
1.810,206.779
1.910,226.767
2.011,214.316
2.112,221.260
2.212,216.712
2.313,214.176
2.413,212.102
2.514,211.418
2.615,221.580
2.716,214.602
2.816,217.382
2.917,215.166
3.017,216.744
3.117,217.516
3.218,214.559
3.318,216.152
3.419,223.271
3.519,217.899
3.620,213.359
3.720,214.157
3.821,223.653
3.922,204.277
4.023,219.787
4.123,222.844
4.223,214.933
4.324,213.172
4.425,220.407
4.525,216.918
4.626,218.510
4.727,221.850
4.827,217.101
4.928,214.720
5.028,217.682
5.128,223.505
5.229,206.544
5.329,222.795
5.430,222.440
5.530,207.789
5.631,215.866
5.731,221.874
5.832,215.794
5.932,210.510
6.032,229.578
6.133,216.150
6.234,220.607
6.334,221.804
6.435,213.800
6.535,215.645
6.636,218.933
6.737,220.805
6.837,217.400
6.938,209.219
7.038,216.538
7.139,227.738
7.239,215.532
7.339,221.411
7.440,219.557
7.541,213.120
7.641,212.146
7.741,211.581
7.842,226.610
7.942,221.451
8.042,213.729
8.143,224.553
8.243,210.933
8.343,221.885
8.444,213.299
8.544,221.113
8.644,217.045
8.745,222.039
8.845,212.572
8.946,222.572
9.046,212.586
9.146,219.877
9.247,220.088
9.347,215.806
9.447,210.839
9.548,215.106
9.648,230.761
9.749,209.096
9.849,216.322
9.949,214.079
10.050,227.873
10.150,211.597
10.250,220.006
10.351,213.332
10.451,222.388
10.552,217.780
10.652,207.358
10.752,223.889
10.853,218.760
10.953,221.231
11.054,214.311
11.154,212.098
11.255,226.426
11.355,214.588
11.456,218.780
11.556,212.526
11.657,231.951
11.757,207.955
11.857,213.649
11.958,229.829
12.058,209.837
12.158,223.712
12.259,209.530
12.359,221.670
12.459,218.337
12.560,220.813
12.660,218.169
12.761,220.653
12.862,208.490
12.962,231.443
13.062,214.603
13.163,220.899
13.263,214.419
13.364,218.896
13.464,219.162
13.565,220.619
13.665,208.783
13.765,229.838
13.866,214.102
13.966,224.324
14.066,206.580
14.167,230.550
14.268,207.043
14.368,220.014
14.468,209.773
14.569,232.488
14.669,203.306
14.770,218.289
14.871,230.834
14.971,214.589
15.072,230.790
15.172,210.872
15.273,217.281
15.373,221.019
15.474,220.166
15.575,218.728
15.675,220.111
15.776,214.536
15.876,224.830
15.977,212.692
16.077,221.802
16.178,213.965
16.278,221.173
16.379,215.491
16.480,211.032
16.581,220.728
16.682,221.928
16.782,213.192
16.883,217.296
16.984,223.843
17.085,207.606
17.186,228.969
17.286,213.961
17.387,216.953
17.487,209.102
17.588,224.787
17.689,214.449
17.790,228.719
17.890,215.013
17.991,223.048
18.092,216.143
18.192,219.751
18.293,209.567
18.394,214.510
18.494,222.277
18.595,220.209
18.696,222.934
18.796,219.256
18.897,216.799
18.997,218.998
19.098,215.363
19.198,205.271
19.299,225.499
19.399,227.562
19.500,213.881
19.600,219.827
19.701,217.794
19.801,222.947
19.902,218.993
20.002,206.240
20.103,224.519
20.204,215.351
20.304,215.023
20.405,219.421
20.505,214.934
20.606,221.836
20.706,218.929
20.807,224.811
20.908,220.702
21.008,207.123
21.109,227.484
21.210,216.154
21.310,219.089
21.411,222.248
21.512,210.958
21.612,234.963
21.713,213.803
21.813,227.215
21.914,218.424
22.015,216.338
22.115,213.084
22.216,222.414
22.316,210.175
22.417,219.828
22.518,217.013
22.618,225.744
22.719,213.850
22.820,207.637
22.920,231.589
23.021,218.283
23.121,215.545
23.222,213.838
23.322,221.757
23.423,227.642
23.523,222.640
23.624,218.596
23.724,222.006
23.825,215.918
23.926,222.538
24.027,220.101
24.127,217.017
24.228,201.318
24.328,232.007
24.429,217.043
24.530,221.488
24.630,213.172
24.730,217.719
24.831,225.183
24.932,208.853
25.033,224.275
25.133,220.535
25.234,207.949
25.334,212.024
25.435,233.736
25.536,210.805
25.637,226.237
25.737,215.968
25.838,384.791
25.938,444.840
26.039,442.146
26.139,440.145
26.239,440.491
26.339,439.778
26.440,443.694
26.540,441.152
26.640,442.454
26.740,441.692
26.841,440.253
26.941,442.148
27.041,442.742
27.141,440.503
27.242,440.433
27.342,442.257
27.442,441.751
27.542,439.943
27.643,441.122
27.743,426.039
27.843,412.243
27.943,406.691
28.044,408.624
28.144,407.773
28.244,408.703
28.344,410.357
28.445,408.376
28.545,407.556
28.645,412.110
28.745,405.254
28.846,410.902
28.946,407.940
29.046,406.561
29.146,413.132
29.247,406.802
29.347,408.233
29.447,409.277
29.547,410.387
29.648,408.204
29.748,409.504
29.848,406.796
29.948,411.300
30.049,408.733
30.149,407.952
30.249,406.623
30.349,411.738
30.450,408.602
30.550,408.743
30.650,403.979
30.750,413.673
30.851,407.468
30.951,409.641
31.051,409.243
31.151,408.880
31.252,406.705
31.352,409.816
31.452,408.681
31.552,410.069
31.652,407.708
31.753,409.164
31.853,409.804
31.953,407.564
32.053,409.488
32.153,407.735
32.254,409.802
32.354,407.812
32.454,409.000
32.554,409.510
32.655,407.458
32.755,410.809
32.855,408.070
32.955,408.854
33.056,409.489
33.156,409.468
33.256,408.297
33.357,168.113
33.457,215.724
33.557,139.540
33.658,296.651
33.758,203.329
33.859,179.831
33.959,268.728
34.060,252.321
34.160,127.712
34.261,274.748
34.362,148.343
34.463,292.294
34.564,204.395
34.664,209.672
34.765,206.215
34.865,220.500
34.966,255.793
35.066,239.704
35.167,176.898
35.268,253.937
35.368,183.935
35.469,229.443
35.570,203.203
35.670,191.623
35.771,256.941
35.872,155.054
35.972,223.819
36.073,289.525
36.174,181.524
36.274,198.602
36.375,217.960
36.476,247.869
36.576,213.879
36.677,213.179
36.777,225.869
36.878,139.639
36.979,320.768
37.080,175.842
37.180,199.957
37.281,259.049
37.382,199.596
37.483,266.862
37.584,140.320
37.685,271.887
37.786,194.216
37.887,221.898
37.987,196.425
38.088,279.342
38.189,222.796
38.290,207.885
38.391,140.621
38.492,246.287
38.593,268.640
38.694,169.102
38.795,216.768
38.896,156.585
38.997,293.839
39.098,192.362
39.199,136.731
39.299,307.621
39.400,208.569
39.501,156.115
39.602,265.746
39.702,274.152
39.803,156.217
39.903,244.379
40.004,205.292
40.105,169.545
40.206,259.554
40.307,267.160
40.408,158.921
40.508,210.298
40.609,246.859
40.710,110.870
40.811,232.232
40.912,265.782
41.013,235.177
41.114,196.914
41.215,201.922
41.316,191.897
41.416,249.086
41.517,218.028
41.618,153.964
41.718,289.248
41.819,216.231
41.920,204.564
42.021,265.695
42.122,192.999
42.223,191.659
42.324,220.182
42.425,229.394
42.526,201.700
42.626,247.096
42.727,212.103
42.828,196.481
42.928,227.002
43.029,269.960
43.130,127.025
43.231,233.760
43.332,209.961
43.433,251.215
43.534,198.670
43.635,202.320
43.736,213.432
43.837,186.347
43.938,205.216
44.039,265.706
44.140,233.009
44.240,193.288
44.341,231.240
44.442,246.126
44.543,168.356
44.644,200.690
44.745,284.304
44.846,165.904
44.946,227.460
45.047,189.939
45.148,217.647
45.248,249.989
45.349,239.979
45.450,118.987
45.551,228.987
45.653,192.212
45.753,309.224
45.854,184.769
45.955,205.275
46.055,202.458
46.156,244.523
46.257,186.591
46.357,229.331
46.458,195.406
46.559,198.539
46.660,284.717
46.761,141.869
46.861,253.559
46.962,185.284
47.062,274.209
47.162,132.546
47.263,205.103
47.364,274.410
47.464,245.325
47.565,140.210
47.666,292.037
47.767,125.074
47.867,258.484
47.968,247.498
48.069,181.006
48.170,229.130
48.270,228.135
48.371,159.702
48.472,244.957
48.573,218.804
48.673,176.799
48.774,288.818
48.875,162.899
48.975,210.059
49.076,205.918
49.176,210.247
49.277,246.997
49.378,199.127
49.478,255.161
49.579,158.609
49.680,181.324
49.780,275.560
49.881,188.386
49.982,191.339
50.083,219.018
50.184,225.925
50.285,237.074
50.386,176.066
50.487,278.599
50.588,128.247
50.688,279.683
50.789,204.564
50.890,153.050
50.990,264.633
51.091,238.660
51.192,160.867
51.293,192.965
51.393,263.298
51.494,182.326
51.595,197.162
51.696,263.354
51.797,248.892
51.897,119.137
51.998,286.645
52.098,185.334
52.199,231.864
52.300,181.704
52.400,216.077
52.501,222.623
52.601,216.498
52.702,225.439
52.803,242.133
52.903,182.387
53.004,255.728
53.104,185.421
53.205,217.664
53.305,171.357
53.406,271.964
53.507,181.119
53.608,248.827
53.709,206.518
53.809,218.988
53.909,201.467
54.010,196.093
54.111,230.100
54.211,213.737
54.312,199.395
54.413,250.087
54.514,138.323
54.614,268.316
54.715,180.459
54.816,222.949
54.916,185.592
55.017,295.630
55.117,123.800
55.218,200.134
55.318,255.617
55.419,227.597
55.520,197.642
55.620,243.094
55.721,193.060
55.822,175.825
55.923,308.573
56.024,153.099
56.125,277.771
56.225,157.368
56.325,254.575
56.426,145.663
56.527,262.845
56.627,244.277
56.728,223.446
56.829,133.515
56.929,284.590
57.030,166.348
57.131,241.195
57.231,186.898
57.332,224.740
57.433,223.676
57.533,193.632
57.634,252.059
57.735,248.640
57.836,218.082
57.937,144.919
58.038,236.125
58.139,217.752
58.239,184.671
58.341,265.970
58.441,125.064
58.541,296.842
58.642,167.874
58.743,248.244
58.844,206.380
58.944,208.355
59.045,245.286
59.145,191.723
59.245,242.651
59.346,177.849
59.446,268.813
59.547,186.298
59.648,188.137
59.748,154.197
59.848,345.171
59.949,143.391
60.049,217.765
60.150,171.889
60.250,309.068
60.351,179.734
60.451,234.964
60.552,165.286
60.652,247.292
60.753,217.522
60.853,250.595
60.954,197.354
61.054,264.929
61.154,186.230
61.255,179.887
61.355,236.990
61.456,133.158
61.556,334.202
61.656,125.806
61.756,248.141
61.857,268.627
61.957,236.382
62.057,155.713
62.157,255.311
62.258,163.769
62.358,244.685
62.459,196.733
62.559,266.500
62.659,242.864
62.760,158.035
62.861,246.498
62.961,276.292
63.061,191.518
63.161,318.605
63.262,445.822
63.362,441.880
63.462,440.601
63.562,441.016
63.663,440.690
63.763,442.669
63.863,442.130
63.963,440.611
64.064,443.468
64.164,442.214
64.264,440.824
64.364,441.143
64.464,441.479
64.565,440.188
64.665,440.185
64.765,443.151
64.865,441.707
64.965,442.027
65.066,439.925
65.166,415.775
65.266,406.060
65.366,409.641
65.467,408.305
65.567,406.679
65.667,410.173
65.767,409.457
65.867,407.617
65.968,409.648
66.068,408.198
66.168,408.579
66.268,408.514
66.369,411.236
66.469,407.518
66.569,407.801
66.670,409.927
66.770,409.754
66.870,408.662
66.970,406.120
67.071,411.746
67.171,408.405
67.271,408.502
67.371,408.175
67.472,410.815
67.572,409.123
67.672,407.790
67.772,409.603
67.873,408.262
67.973,408.809
68.073,406.636
