time_s,power_W
0.100,198.407
0.201,199.023
0.302,196.915
0.403,198.282
0.503,198.624
0.604,200.782
0.705,197.112
0.805,198.356
0.906,199.223
1.006,210.767
1.107,331.415
1.207,322.902
1.308,319.067
1.408,320.238
1.509,318.062
1.609,322.570
1.709,308.981
1.810,316.455
1.910,309.026
2.011,317.808
2.111,315.337
2.212,324.719
2.312,320.251
2.413,320.862
2.513,321.176
2.613,311.413
2.713,323.046
2.814,317.398
2.914,316.384
3.015,311.849
3.115,318.530
3.216,318.535
3.316,317.207
3.416,313.578
3.517,317.476
3.617,323.305
3.717,315.234
3.818,321.946
3.918,314.616
4.019,320.557
4.119,321.023
4.220,318.224
4.320,320.743
4.420,326.959
4.521,320.754
4.621,319.932
4.722,319.702
4.822,325.722
4.922,325.061
5.023,314.554
5.123,320.096
5.223,320.730
5.324,322.522
5.424,321.280
5.524,319.599
5.625,321.422
5.725,320.957
5.825,320.049
5.926,324.394
6.026,317.937
6.126,320.738
6.227,316.031
6.327,314.404
6.427,318.183
6.528,324.441
6.628,318.786
6.728,319.907
6.829,317.805
6.929,310.854
7.029,309.891
7.130,318.611
7.230,315.701
7.330,323.634
7.430,313.994
7.531,319.582
7.631,321.644
7.731,318.045
7.832,321.732
7.932,317.717
8.032,319.187
8.133,317.564
8.233,318.018
8.333,322.521
8.434,319.584
8.534,316.232
8.635,318.334
8.735,321.247
8.836,319.682
8.936,320.404
9.036,315.331
9.137,322.320
9.237,324.959
9.337,321.310
9.438,317.025
9.538,318.124
9.639,324.018
9.739,322.122
9.840,318.806
9.940,321.293
10.041,314.285
10.141,328.389
10.241,318.267
10.341,322.200
10.442,327.930
10.542,317.523
10.642,321.911
10.743,321.034
10.843,319.950
10.944,313.631
11.044,319.470
11.144,316.874
11.245,322.257
11.345,322.115
11.445,320.835
11.545,317.004
11.646,314.266
11.746,316.517
11.847,317.519
11.947,319.882
12.047,320.948
12.148,316.680
12.248,328.856
12.348,318.535
12.449,323.789
12.549,320.922
12.649,319.886
12.750,325.389
12.850,318.140
12.950,321.136
13.050,322.488
13.151,318.528
13.251,327.319
13.351,318.284
13.452,318.864
13.552,321.372
13.652,320.059
13.753,313.424
13.853,322.204
13.953,319.424
14.054,317.583
14.154,324.474
14.255,316.935
14.355,318.329
14.456,319.415
14.556,320.554
14.657,322.251
14.757,318.771
14.857,326.456
14.958,315.223
15.058,320.334
15.159,317.221
15.259,328.935
15.359,320.648
15.460,322.204
15.560,321.559
15.661,318.247
15.761,317.139
15.861,315.080
15.961,319.973
16.062,245.285
16.162,201.401
16.263,205.921
16.363,204.245
16.464,201.873
16.564,204.138
16.665,207.153
16.765,206.613
16.866,202.768
16.966,202.948
17.067,206.760
17.167,202.845
17.268,202.843
17.369,202.564
17.469,204.104
17.569,202.227
17.670,203.437
17.771,201.022
17.871,201.000
17.972,206.998
18.072,199.872
18.173,204.645
18.274,203.086
18.374,203.735
18.475,203.789
18.575,198.115
18.676,202.962
18.777,202.094
18.877,206.671
18.978,202.043
19.078,203.894
19.179,198.177
19.279,206.102
19.380,204.130
19.480,203.552
19.581,202.499
19.681,201.227
19.782,197.787
19.882,202.657
19.983,203.325
20.084,203.428
20.184,202.871
20.285,198.706
20.385,203.002
20.486,203.487
20.586,200.881
20.687,204.676
20.788,197.537
20.888,202.822
20.989,202.693
21.089,198.762
21.190,199.822
21.291,201.726
21.391,203.047
21.492,200.315
21.592,202.489
21.693,203.352
21.794,201.911
21.894,202.018
21.995,199.483
22.095,202.276
22.196,199.246
22.296,198.584
22.397,202.855
22.497,200.847
22.598,200.944
22.698,199.350
22.799,203.654
22.899,201.762
23.000,199.819
23.100,199.413
23.201,202.315
23.302,199.249
23.402,200.172
23.502,203.413
23.603,196.334
23.703,201.631
23.804,199.758
23.904,202.523
24.005,201.997
24.106,200.943
24.206,201.632
24.307,201.470
24.407,199.121
24.508,201.646
24.609,197.543
24.709,199.832
24.810,202.929
24.910,197.862
25.011,203.841
25.111,200.223
25.212,201.337
25.313,201.424
25.413,201.314
25.514,196.862
25.615,202.189
25.715,197.886
25.816,203.708
25.916,198.787
26.017,247.307
26.117,367.822
26.217,367.213
26.317,370.354
26.418,372.170
26.518,371.633
26.618,374.008
26.718,371.708
26.819,372.409
26.919,373.780
27.019,373.750
27.119,370.882
27.219,373.885
27.320,373.096
27.420,373.255
27.520,375.142
27.620,373.086
27.721,374.613
27.821,372.890
27.921,373.864
28.021,373.138
28.121,373.368
28.222,372.607
28.322,373.889
28.422,372.408
