time_s,power_W
0.100,202.391
0.201,199.435
0.302,197.989
0.402,198.484
0.503,199.368
0.603,199.382
0.704,199.006
0.805,198.900
0.905,197.739
1.006,200.817
1.106,201.854
1.207,202.853
1.308,203.050
1.408,204.254
1.509,203.330
1.610,205.323
1.710,203.625
1.811,206.455
1.911,208.122
2.012,204.364
2.112,209.047
2.213,210.458
2.313,211.546
2.414,211.845
2.514,210.873
2.615,211.446
2.715,211.706
2.816,213.362
2.916,213.325
3.016,213.184
3.117,216.136
3.217,214.358
3.318,216.919
3.418,215.833
3.519,216.784
3.619,217.065
3.720,219.243
3.820,218.187
3.921,217.172
4.021,221.250
4.122,215.528
4.222,224.037
4.323,224.127
4.424,221.633
4.524,224.018
4.625,222.936
4.725,225.167
4.826,225.935
4.926,221.910
5.026,228.404
5.127,229.255
5.227,226.671
5.328,227.746
5.428,227.350
5.529,228.811
5.630,229.322
5.730,227.355
5.831,230.311
5.931,234.968
6.032,227.462
6.132,235.746
6.233,233.508
6.333,232.535
6.434,233.901
6.535,233.008
6.635,235.959
6.736,235.015
6.836,236.576
6.937,238.397
7.037,238.397
7.138,239.899
7.238,238.019
7.338,237.587
7.439,240.325
7.539,241.471
7.640,239.214
7.740,239.158
7.841,244.850
7.941,240.018
8.042,241.458
8.142,246.145
8.243,247.162
8.344,244.238
8.444,245.677
8.545,246.070
8.645,246.188
8.746,247.006
8.846,249.658
8.946,248.904
9.047,249.659
9.147,248.869
9.248,251.747
9.348,248.527
9.449,255.541
9.549,249.557
9.650,253.485
9.750,250.345
9.851,253.432
9.951,255.825
10.052,250.588
10.152,255.024
10.253,258.214
10.353,253.967
10.454,258.238
10.554,258.062
10.655,257.050
10.756,258.024
10.856,257.705
10.957,257.445
11.057,257.181
11.158,257.636
11.258,256.393
11.359,257.872
11.460,258.787
11.560,257.193
11.661,260.308
11.761,259.677
11.862,259.438
11.962,259.607
12.063,265.832
12.163,257.680
12.264,266.342
12.364,261.429
12.465,265.470
12.565,263.549
12.666,263.678
12.766,264.681
12.867,268.473
12.967,265.918
13.068,263.429
13.168,267.957
13.269,264.871
13.369,266.404
13.470,262.211
13.570,264.132
13.671,262.596
13.772,263.815
13.872,264.762
13.972,265.151
14.073,266.347
14.174,265.284
14.274,266.293
14.375,265.804
14.475,265.102
14.575,264.194
14.676,265.181
14.777,261.721
14.877,262.839
14.978,262.217
15.078,261.617
15.179,264.528
15.279,261.568
15.379,262.898
15.480,264.466
15.580,264.633
15.681,265.095
15.781,262.765
15.882,266.159
15.983,264.538
16.083,267.845
16.183,267.197
16.284,269.150
16.385,265.678
16.485,268.543
16.586,267.701
16.686,269.117
16.786,266.638
16.887,270.749
16.988,267.385
17.088,268.482
17.188,267.710
17.289,268.047
17.389,267.397
17.490,267.607
17.590,264.768
17.691,268.953
17.791,266.160
17.892,269.162
17.992,267.605
18.093,268.694
18.194,264.975
18.294,273.352
18.395,268.034
18.495,268.271
18.596,268.905
18.696,268.046
18.797,269.056
18.897,267.935
18.998,267.244
19.098,268.353
19.199,267.704
19.300,266.327
19.400,270.260
19.500,267.166
19.601,272.443
19.701,268.136
19.802,274.531
19.903,270.911
20.003,274.985
20.104,268.531
20.204,274.512
20.305,272.124
20.405,273.094
20.506,270.660
20.606,276.738
20.707,273.204
20.807,274.120
20.908,276.875
21.009,276.650
21.109,278.169
21.210,276.715
21.310,278.726
21.410,279.656
21.510,278.482
21.610,280.629
21.711,280.077
21.811,281.210
21.911,281.884
22.011,283.534
22.111,282.549
22.212,284.029
22.312,285.553
22.412,280.412
22.512,288.443
22.613,284.015
22.713,285.823
22.813,289.905
22.913,287.752
23.013,288.357
23.114,288.806
23.214,289.499
23.314,290.170
23.414,292.548
23.515,289.356
23.615,292.685
23.715,291.510
23.815,292.942
23.915,291.882
24.016,292.842
24.116,294.435
24.216,293.783
24.316,295.630
24.417,296.274
24.517,298.104
24.617,295.970
24.717,298.735
24.817,299.390
24.918,299.923
25.018,298.675
25.118,300.620
25.218,302.971
25.318,299.892
25.419,302.817
25.519,303.655
25.619,305.216
25.719,303.310
25.820,304.332
25.920,305.353
26.020,305.047
26.120,305.193
26.220,307.352
26.321,306.192
26.421,307.766
26.521,307.503
26.621,309.401
26.722,313.121
26.822,311.000
26.922,309.581
27.022,310.477
27.122,311.492
27.223,313.263
27.323,312.692
27.423,315.209
27.523,314.380
27.624,313.686
27.724,315.373
27.824,315.504
27.924,318.733
28.024,313.959
28.125,319.350
28.225,317.303
28.325,318.575
28.425,318.764
28.526,318.764
28.626,319.787
28.726,322.429
28.826,322.414
28.926,321.374
29.027,321.224
29.127,325.526
29.227,326.287
29.327,324.720
29.428,323.606
29.528,322.993
29.628,325.600
29.728,326.082
29.828,327.914
29.929,327.435
30.029,326.148
30.129,326.982
30.229,331.632
30.330,328.422
30.430,332.077
