metric,trust,winner,rampc_pct,powersmoother_pct,usagegov_pct,rampc_sd,powersmoother_sd,usagegov_sd
CV,direct,rampc,-68.8,0.6,16.0,0.9,1.9,4.9
peak-to-mean,direct,rampc,-5.1,-0.4,-0.8,0.3,0.0,0.2
runtime,perf,usagegov,121.1,3.5,1.1,5.7,0.2,1.8
energy,perf,powersmoother,161.0,7.4,11.6,6.7,0.6,0.7
ROCOF,coldstart,usagegov,81.3,6.0,-0.3,2.4,1.4,2.1
NRS,coldstart,usagegov,59.5,1.8,-1.2,0.8,1.3,3.1
freq nadir dev,coldstart,usagegov,75.3,5.7,-0.6,2.4,1.4,2.1
volt sag depth,coldstart,rampc,-15.2,2.5,-3.1,1.2,1.5,1.2
RREI,degenerate,rampc,-6.1,-3.2,-1.0,0.9,0.2,1.6
LOLE proxy,degenerate,rampc,-2.2,-1.2,0.7,0.4,0.8,2.1
under-freq events,degenerate,usagegov,80.8,13.2,-0.5,5.8,3.8,6.5
volt sag events,cliff,rampc,-100.0,1670.9,-100.0,0.0,2504.4,0.0
