time_s,power_W
0.100,204.295
0.201,201.115
0.301,202.477
0.402,199.567
0.503,197.291
0.604,195.819
0.704,196.091
0.804,191.966
0.905,194.101
1.006,197.612
1.106,217.443
1.207,217.004
1.307,217.823
1.407,214.442
1.507,214.927
1.608,209.791
1.708,215.463
1.809,208.944
1.909,213.013
2.009,214.850
2.110,216.086
2.210,212.346
2.310,215.780
2.410,216.288
2.510,214.705
2.611,217.131
2.711,210.573
2.811,216.396
2.912,214.019
3.012,223.812
3.112,225.748
3.212,218.280
3.312,221.520
3.413,216.817
3.513,212.163
3.613,227.767
3.713,219.864
3.814,228.051
3.914,223.097
4.014,223.582
4.114,216.257
4.215,220.590
4.315,224.232
4.416,222.256
4.516,228.764
4.616,223.742
4.716,218.804
4.816,220.740
4.917,214.821
5.017,229.963
5.117,214.398
5.218,225.165
5.318,216.725
5.418,215.170
5.519,218.672
5.619,213.155
5.720,217.023
5.820,208.840
5.921,215.697
6.021,211.852
6.122,216.418
6.222,215.238
6.323,211.855
6.423,215.159
6.523,207.407
6.624,215.011
6.724,215.575
6.825,207.709
6.925,229.834
7.025,230.385
7.125,216.796
7.226,217.727
7.326,210.940
7.427,212.643
7.527,207.226
7.627,214.908
7.727,212.501
7.828,219.658
7.928,215.823
8.028,223.883
8.129,218.890
8.229,221.624
8.329,225.194
8.430,226.334
8.530,225.584
8.631,219.392
8.731,220.353
8.831,219.368
8.931,225.663
9.032,220.054
9.132,225.276
9.232,217.383
9.332,220.675
9.433,225.313
9.533,220.535
9.633,221.014
9.733,218.514
9.833,221.793
9.933,226.819
10.034,219.817
10.134,225.998
10.234,221.066
10.334,208.749
10.434,225.872
10.535,221.710
10.635,213.280
10.735,205.747
10.835,219.145
10.936,209.120
11.036,214.849
11.136,214.960
11.236,212.214
11.337,210.020
11.437,213.374
11.537,208.262
11.638,219.936
11.738,205.632
11.838,221.496
11.939,206.301
12.039,216.522
12.139,217.756
12.240,206.741
12.340,218.922
12.440,209.856
12.540,214.980
12.640,213.952
12.741,205.392
12.841,224.441
12.941,218.045
13.041,221.879
13.141,216.698
13.241,221.341
13.342,222.333
13.442,215.868
13.542,217.297
13.642,220.943
13.742,226.087
13.842,214.049
13.943,222.593
14.043,231.977
14.143,227.479
14.243,221.196
14.344,222.941
14.444,218.748
14.544,218.077
14.644,216.432
14.745,223.755
14.845,227.433
14.945,227.288
15.045,218.033
15.145,221.905
15.246,226.723
15.346,214.945
15.446,220.676
15.546,218.739
15.647,213.367
15.747,214.465
15.847,213.169
15.947,209.903
16.047,213.004
16.148,214.787
16.248,212.909
16.348,214.269
16.448,214.595
16.548,212.863
16.649,213.537
16.749,207.877
16.849,218.717
16.950,211.221
17.050,213.797
17.150,211.050
17.250,211.234
17.351,214.730
17.451,214.828
17.551,215.453
17.651,207.154
17.752,220.439
17.852,208.297
17.952,226.198
18.052,215.217
18.152,218.604
18.253,223.560
18.353,221.188
18.453,216.418
18.553,219.737
18.653,219.761
18.754,226.819
18.854,218.894
18.954,233.213
19.054,219.922
19.154,222.579
19.255,222.369
19.355,230.103
19.455,214.554
19.555,219.310
19.656,220.478
19.756,226.625
19.856,223.396
19.956,220.049
20.056,224.713
20.157,216.792
20.257,219.997
20.357,217.718
20.458,217.372
20.558,217.104
20.658,209.563
20.758,211.386
20.858,214.339
20.959,206.493
21.059,217.834
21.159,215.981
21.260,213.936
21.360,215.771
21.460,211.445
21.561,207.416
21.661,218.426
21.761,207.137
21.861,220.413
21.962,211.824
22.062,213.815
22.162,218.511
22.262,210.936
22.363,214.475
22.463,209.135
22.563,207.050
22.664,222.304
22.764,211.252
22.864,213.308
22.965,217.420
23.065,223.807
23.165,215.499
23.266,216.661
23.366,215.293
23.466,220.217
23.566,225.685
23.667,220.365
23.767,217.543
23.868,216.726
23.968,223.791
24.068,220.898
24.168,218.648
24.268,216.959
24.369,213.092
24.469,225.041
24.569,220.619
24.669,218.917
24.770,218.088
24.870,230.484
24.970,222.087
25.070,212.556
25.170,226.260
25.271,216.659
25.371,221.744
25.471,211.057
25.572,217.209
25.673,210.899
25.773,233.217
25.873,444.562
25.973,441.800
26.074,439.673
26.174,443.815
26.274,437.774
26.374,443.373
26.475,441.775
26.575,441.791
26.675,442.227
26.775,442.692
26.876,440.067
26.976,440.065
27.076,441.219
27.176,443.055
27.276,439.534
27.377,440.332
27.477,441.783
27.577,443.300
27.677,436.171
27.778,422.388
