time_s,power_W
0.100,206.059
0.201,207.670
0.302,205.754
0.402,195.668
0.503,204.452
0.604,203.567
0.704,203.205
0.805,204.091
0.905,206.991
1.005,200.626
1.106,219.704
1.206,201.736
1.306,239.332
1.407,202.751
1.507,230.904
1.607,217.715
1.708,225.922
1.808,205.833
1.908,235.368
2.009,223.007
2.109,228.987
2.209,205.436
2.310,232.661
2.411,209.081
2.511,233.732
2.611,272.114
2.712,218.115
2.813,234.673
2.913,238.900
3.014,233.631
3.114,234.373
3.215,227.582
3.315,251.512
3.415,202.259
3.516,250.107
3.616,230.938
3.716,197.403
3.816,260.021
3.916,240.270
4.017,226.389
4.117,238.570
4.217,211.298
4.318,270.841
4.418,211.312
4.519,236.051
4.619,240.854
4.719,226.801
4.820,243.636
4.920,210.671
5.021,222.680
5.121,216.147
5.221,218.439
5.321,236.274
5.422,224.330
5.523,222.473
5.623,195.857
5.723,243.029
5.824,200.493
5.924,213.469
6.025,266.453
6.125,231.057
6.225,224.996
6.326,205.637
6.426,208.467
6.526,207.842
6.627,260.409
6.727,208.013
6.828,216.921
6.928,232.305
7.029,190.263
7.130,252.703
7.230,212.918
7.330,255.773
7.430,220.523
7.531,225.931
7.631,214.983
7.731,214.808
7.831,245.194
7.932,246.593
8.032,223.800
8.132,241.889
8.232,221.137
8.333,241.866
8.433,245.802
8.533,209.963
8.634,246.028
8.734,241.304
8.834,223.478
8.935,208.703
9.035,226.304
9.135,258.979
9.235,250.324
9.336,235.737
9.436,198.680
9.537,257.556
9.637,237.229
9.738,229.505
9.838,204.919
9.938,221.213
10.039,230.213
10.139,215.992
10.240,206.459
10.340,232.042
10.441,206.778
10.541,228.779
10.642,228.469
10.742,229.424
10.842,245.103
10.943,246.525
11.043,208.179
11.143,245.726
11.243,225.312
11.344,264.785
11.444,230.071
11.545,241.641
11.645,250.615
11.745,247.206
11.846,201.108
11.946,249.567
12.047,227.047
12.147,223.322
12.247,228.361
12.347,259.829
12.448,222.546
12.548,204.553
12.648,209.167
12.749,264.370
12.849,223.678
12.950,264.054
13.050,203.829
13.151,282.122
13.251,229.647
13.351,188.511
13.452,254.209
13.553,218.086
13.653,234.993
13.754,229.617
13.855,234.188
13.955,254.436
14.055,232.350
14.155,214.208
14.256,240.542
14.356,229.139
14.457,214.835
14.557,276.476
14.657,195.782
14.758,267.314
14.858,227.786
14.959,201.407
15.059,247.243
15.159,217.499
15.260,224.514
15.360,232.621
15.461,204.978
15.561,213.922
15.662,226.944
15.762,230.279
15.862,230.931
15.963,183.191
16.063,269.186
16.164,220.869
16.264,212.505
16.365,195.420
16.465,254.351
16.565,221.300
16.666,211.986
16.766,250.064
16.866,237.246
16.967,194.500
17.067,225.857
17.168,209.628
17.268,248.400
17.369,218.104
17.469,222.756
17.570,224.466
17.670,230.165
17.770,258.638
17.871,246.295
17.971,211.860
18.072,235.433
18.172,235.550
18.273,240.893
18.373,246.642
18.473,210.058
18.574,264.943
18.674,159.233
18.774,247.469
18.875,254.623
18.975,187.494
19.075,278.286
19.175,252.170
19.276,219.488
19.377,220.940
19.477,250.693
19.577,252.606
19.677,248.128
19.778,232.755
19.878,208.457
19.979,202.043
20.079,255.661
20.180,204.329
20.280,201.639
20.381,237.684
20.481,227.110
20.582,257.313
20.682,197.246
20.782,252.276
20.883,224.986
20.984,182.378
21.085,248.157
21.185,247.131
21.285,218.217
21.386,198.015
21.486,238.787
21.586,218.646
21.687,224.669
21.787,219.699
21.887,226.443
