time_s,power_W
0.000,202.483
0.100,201.715
0.200,202.743
0.300,202.566
0.400,204.916
0.500,202.537
0.600,204.195
0.700,210.543
0.800,215.362
0.900,218.949
1.000,216.381
1.100,228.282
1.200,221.776
1.300,215.784
1.400,222.646
1.500,218.551
1.600,222.896
1.700,223.428
1.800,221.799
1.900,224.091
2.000,223.105
2.100,197.912
2.200,238.503
2.300,224.196
2.400,231.972
2.500,234.842
2.600,251.889
2.700,277.620
2.800,255.897
2.900,290.377
3.000,272.413
3.100,276.048
3.200,236.273
3.300,267.639
3.400,263.642
3.500,242.602
3.600,233.986
3.700,239.072
3.800,227.468
3.900,241.525
4.000,256.354
4.100,247.501
4.200,221.731
4.300,264.298
4.400,233.340
4.500,251.726
4.600,233.345
4.700,272.540
4.800,234.904
4.900,248.695
5.000,232.201
5.100,240.601
5.200,240.576
5.300,230.165
5.400,244.682
5.500,234.322
5.600,252.341
5.700,229.122
5.800,236.908
5.900,238.727
6.000,229.557
6.100,220.334
6.200,239.818
6.300,225.063
6.400,216.755
6.500,239.048
6.600,224.432
6.700,232.009
6.800,256.366
6.900,234.197
7.000,268.035
7.100,241.224
7.200,247.972
7.300,237.454
7.400,253.074
7.500,247.086
7.600,275.787
7.700,233.338
7.800,289.379
7.900,254.352
8.000,247.185
8.100,262.826
8.200,254.519
8.300,272.820
8.400,238.254
8.500,237.971
8.600,261.459
8.700,234.591
8.800,218.319
8.900,208.598
9.000,211.521
9.100,219.503
9.200,225.213
9.300,239.337
9.400,237.609
9.500,215.099
9.600,213.363
9.700,224.636
9.800,238.981
9.900,217.617
10.000,237.274
10.100,257.941
10.200,267.375
10.300,257.082
10.400,238.107
10.500,241.228
10.600,241.472
10.700,240.390
10.800,240.119
10.900,226.370
11.000,247.011
11.100,229.030
11.200,246.651
11.300,246.822
11.400,228.243
11.500,258.373
11.600,270.481
11.700,260.518
11.800,254.966
11.900,223.373
12.000,255.275
12.100,258.497
12.200,268.152
12.300,246.529
12.400,237.027
12.500,242.806
12.600,270.523
12.700,236.387
12.800,286.217
12.900,261.648
13.000,248.171
13.100,246.611
13.200,245.238
13.300,291.706
13.400,269.959
13.500,299.001
13.600,313.227
13.700,298.355
13.800,302.624
13.900,310.092
14.000,271.960
14.100,292.060
14.200,284.402
14.300,293.332
14.400,251.842
14.500,286.151
14.600,304.567
14.700,273.501
14.800,284.930
14.900,268.370
15.000,282.633
15.100,270.092
15.200,267.407
15.300,244.172
15.400,226.801
15.500,268.099
15.600,241.445
15.700,281.498
15.800,246.372
15.900,272.717
16.000,250.346
16.100,269.924
16.200,232.864
16.300,279.521
16.400,280.208
16.500,271.116
16.600,302.312
16.700,314.531
16.800,253.629
16.900,276.252
17.000,302.981
17.100,226.967
17.200,294.672
17.300,277.657
17.400,294.934
17.500,262.590
17.600,310.387
17.700,307.691
17.800,302.056
17.900,299.874
18.000,277.446
18.100,312.971
18.200,313.198
18.300,293.163
18.400,292.883
18.500,250.433
18.600,306.209
18.700,253.723
18.800,310.287
18.900,247.346
19.000,290.793
19.100,247.882
19.200,240.587
19.300,307.297
19.400,270.434
19.500,290.094
19.600,308.059
19.700,276.546
19.800,275.617
19.900,290.939
20.000,275.341
20.100,293.515
20.200,286.811
20.300,254.784
20.400,301.698
20.500,284.826
20.600,320.859
20.700,287.125
20.800,328.414
20.900,321.356
21.000,327.637
21.100,302.550
21.200,277.968
21.300,315.738
21.400,299.164
21.500,262.120
21.600,290.105
21.700,307.445
21.800,257.920
21.900,341.189
22.000,302.775
22.100,271.573
22.200,305.154
22.300,283.163
22.400,270.978
22.500,230.314
22.600,290.230
22.700,256.764
22.800,272.126
22.900,266.373
23.000,258.510
23.100,243.244
23.200,337.904
23.300,243.593
23.400,299.943
23.500,263.745
23.600,247.300
23.700,262.692
23.800,276.538
23.900,213.718
24.000,280.269
24.100,239.993
24.200,224.905
24.300,285.529
24.400,235.250
24.500,256.176
24.600,243.474
24.700,249.047
24.800,256.981
24.900,256.659
25.000,230.020
25.100,249.227
25.200,278.696
25.300,297.774
25.400,317.099
25.500,305.367
25.600,340.490
25.700,334.880
25.800,339.189
25.900,343.292
26.000,339.236
26.100,351.198
26.200,355.141
26.300,360.780
26.400,360.168
26.500,367.048
26.600,361.089
26.700,372.293
26.800,362.065
26.902,379.352
27.000,363.980
27.100,373.476
27.204,374.843
27.300,373.763
27.401,380.218
27.500,385.590
27.600,371.939
27.700,382.625
27.800,382.444
27.900,394.327
28.000,384.146
28.100,386.898
28.200,389.859
28.300,393.405
28.400,387.886
28.500,416.141
28.600,380.512
28.700,388.852
28.800,399.215
28.902,397.554
29.000,401.169
29.100,406.044
29.200,407.249
29.300,397.714
29.400,405.381
29.502,407.404
29.600,411.527
29.700,406.917
29.800,410.091
29.900,414.084
30.000,440.676
30.100,439.795
30.200,413.307
30.300,423.308
30.400,416.663
30.500,407.256
30.600,408.615
30.700,407.567
30.800,417.969
30.900,407.249
31.000,409.597
31.100,399.962
31.200,409.329
31.300,408.857
31.402,414.308
31.500,402.201
31.600,409.818
31.700,407.925
31.801,409.033
31.900,422.414
32.001,395.759
32.100,408.032
32.200,408.712
32.305,420.635
32.400,405.632
32.501,401.531
32.600,406.841
32.700,409.013
32.800,406.614
32.900,410.730
33.000,410.459
33.100,401.500
33.200,299.669
33.300,313.780
33.400,315.755
33.500,356.916
33.600,321.409
33.700,351.147
33.800,364.817
33.900,418.834
34.000,356.680
34.100,413.060
34.200,357.149
34.300,354.930
34.400,389.596
34.500,333.451
34.600,346.977
34.700,313.312
34.800,359.066
34.900,369.712
35.000,360.663
35.100,369.329
35.200,353.431
35.300,333.166
35.400,300.896
35.500,346.256
35.600,312.564
35.700,344.606
35.800,333.009
35.900,300.371
36.000,320.661
36.100,342.244
36.200,339.378
36.300,322.356
36.400,355.309
36.500,358.823
36.600,341.250
36.700,336.229
36.800,349.696
36.900,350.347
37.000,303.728
37.100,334.886
37.200,347.848
37.300,270.372
37.400,362.005
37.500,350.839
37.600,375.721
37.700,352.493
37.800,400.657
37.900,351.320
38.000,371.894
38.100,370.975
38.200,334.933
38.300,360.614
38.400,352.434
38.500,303.760
38.600,307.389
38.700,329.502
38.800,324.079
38.900,294.078
39.000,285.844
39.100,281.149
39.200,318.178
39.300,322.003
39.400,295.483
39.500,319.085
39.600,290.685
39.700,343.382
39.800,346.991
39.900,316.151
40.000,324.780
40.100,317.636
40.200,297.778
40.300,296.282
40.400,304.140
40.500,276.225
40.600,307.268
40.700,276.888
40.800,262.269
40.900,246.702
41.000,300.126
41.100,249.175
41.200,260.678
41.300,277.610
41.400,287.641
41.500,277.266
41.600,294.179
41.700,310.228
41.800,324.403
41.900,317.375
42.000,358.021
42.100,321.538
42.200,342.709
42.300,295.282
42.400,375.791
42.500,305.617
42.600,261.955
42.700,339.265
42.800,282.039
42.900,262.879
43.000,299.872
43.100,318.576
43.200,320.251
43.300,311.308
43.400,356.418
43.500,363.249
43.600,343.573
43.700,294.122
43.800,362.105
43.900,339.966
44.000,387.518
44.100,353.296
44.200,363.710
44.300,335.634
44.400,307.300
44.500,344.834
44.600,312.414
44.700,316.479
44.800,322.259
44.900,299.655
45.000,285.423
45.100,321.752
45.200,280.431
45.300,349.484
45.400,295.955
45.500,349.605
45.600,318.892
45.700,306.132
45.800,279.635
45.900,291.820
46.000,292.277
46.100,286.817
46.200,255.897
46.300,252.255
46.400,313.229
46.500,287.595
46.600,299.742
46.700,270.926
46.800,251.230
46.900,306.656
47.000,275.070
47.100,268.440
47.200,296.561
47.300,222.564
47.400,309.431
47.500,264.602
47.600,238.493
47.700,268.351
47.800,255.000
47.900,258.854
48.000,255.562
48.100,296.888
48.200,234.824
48.300,259.612
48.400,270.956
48.500,243.659
48.600,298.884
48.700,266.528
48.800,260.693
48.900,292.742
49.000,270.141
49.100,239.308
49.200,258.976
49.300,312.688
49.400,289.693
49.500,310.681
49.600,304.697
49.700,300.046
49.800,301.610
49.900,296.243
50.000,297.455
50.100,292.136
50.200,308.600
50.300,297.044
50.400,272.580
50.500,295.154
50.600,325.712
50.700,239.108
50.800,319.169
50.900,255.215
51.000,306.678
51.100,312.049
51.202,295.221
51.300,335.074
51.400,334.918
51.500,303.000
51.600,299.175
51.700,333.370
51.800,280.255
51.900,318.949
52.000,290.937
52.100,299.573
52.200,324.887
52.300,344.902
52.400,310.525
52.500,371.113
52.600,327.301
52.700,357.129
52.800,316.209
52.900,328.684
53.000,357.997
53.100,356.187
53.200,358.034
53.300,323.841
53.400,347.784
53.500,356.049
53.600,357.548
53.700,327.478
53.800,316.439
53.900,345.606
54.000,329.652
54.100,318.214
54.200,308.851
54.300,314.485
54.400,293.355
54.500,299.582
54.600,305.358
54.700,323.928
54.800,306.767
54.900,379.216
55.000,371.131
55.100,362.203
55.200,356.011
55.300,353.002
55.400,367.012
55.500,350.593
55.600,321.197
55.700,334.334
55.800,310.957
55.900,294.365
56.000,329.393
56.100,339.636
56.200,341.512
56.300,354.711
56.400,370.274
56.500,371.706
56.600,349.348
56.700,346.398
56.800,378.518
56.900,303.440
57.000,370.161
57.100,342.503
57.200,295.177
57.300,362.096
57.400,327.059
57.500,297.300
57.600,350.331
57.700,361.132
57.800,323.575
57.900,345.253
58.000,365.296
58.100,294.694
58.200,329.461
58.300,356.958
58.400,280.966
58.500,345.136
58.600,361.600
58.700,316.893
58.800,324.807
58.900,312.559
59.000,292.405
59.100,310.958
59.200,243.345
59.300,368.188
59.400,248.980
59.500,317.268
59.600,323.113
59.700,317.028
59.800,351.268
59.900,374.363
60.000,391.835
60.100,395.259
60.200,347.960
60.300,322.956
60.400,336.002
60.500,342.160
60.600,375.453
60.700,343.998
60.800,328.291
60.900,345.295
61.000,360.519
61.100,315.170
61.200,384.891
61.300,404.889
61.400,347.138
61.500,365.992
61.600,400.932
61.700,344.578
61.800,364.578
61.900,368.091
62.000,349.079
62.100,309.451
62.200,363.452
62.300,306.919
62.400,333.324
62.500,334.103
62.600,316.165
62.700,298.453
62.800,307.750
62.900,296.200
63.000,357.509
63.100,420.944
63.200,429.973
63.300,428.920
63.402,432.125
63.500,431.592
63.600,435.452
63.700,437.166
63.800,435.835
63.902,446.910
64.001,421.986
64.100,422.792
64.200,433.776
64.300,415.758
64.400,423.772
64.500,425.961
64.601,426.399
64.700,408.589
64.800,410.244
64.900,406.502
65.000,409.380
65.100,408.952
65.200,409.059
65.304,406.528
65.400,422.444
65.500,405.069
65.600,408.675
65.700,404.230
65.800,407.199
65.900,404.448
66.000,412.844
66.100,405.937
66.200,410.319
66.300,410.840
66.400,407.644
66.500,406.707
66.601,411.114
66.700,409.656
66.800,405.486
66.912,411.388
67.000,405.643
67.100,409.821
67.203,425.280
67.300,391.097
67.400,407.801
67.502,411.625
67.600,409.638
67.700,406.004
67.800,409.416
67.901,407.588
68.000,408.735
68.100,412.985
68.200,406.148
68.300,407.122
68.400,410.374
68.500,408.363
68.600,408.608
68.701,408.574
68.800,412.951
68.900,404.394
69.000,414.362
69.100,412.999
69.200,402.009
69.300,414.486
69.400,405.678
69.500,403.697
69.600,410.230
69.700,407.269
69.800,411.292
69.900,407.889
70.000,408.874
70.100,354.555
70.200,259.268
70.300,350.548
70.400,334.925
70.500,349.693
70.600,346.333
70.700,306.474
70.800,382.626
70.900,367.338
71.000,367.427
71.100,410.399
71.200,392.378
71.303,367.768
71.400,413.783
71.500,371.994
71.600,393.111
71.700,371.176
71.800,377.678
71.900,354.189
72.000,369.769
72.100,350.997
72.200,336.529
72.300,314.837
72.400,338.160
72.500,358.599
72.600,343.622
72.700,317.742
72.800,338.376
72.900,343.705
73.000,319.456
73.100,310.188
73.200,353.498
73.300,410.696
73.400,375.004
73.500,376.135
73.600,378.928
73.700,369.706
73.800,356.485
73.900,347.711
74.000,315.906
74.100,366.803
74.200,360.986
74.300,332.973
74.400,427.354
74.500,358.644
74.600,308.579
74.700,399.404
74.800,343.863
74.900,320.859
75.000,325.928
75.100,341.078
75.200,327.581
75.300,338.120
75.400,317.612
75.500,401.939
75.600,352.412
75.700,341.267
75.800,355.443
75.900,353.383
76.000,340.141
76.100,360.124
76.200,333.485
76.300,394.077
76.400,346.586
76.500,364.012
76.600,325.441
76.700,344.082
76.800,321.180
76.900,355.477
77.000,312.975
77.100,365.204
77.200,349.670
77.300,366.667
77.400,387.414
77.500,366.712
77.600,357.747
77.700,349.037
77.800,312.632
77.900,339.454
78.000,309.452
78.100,331.991
78.200,323.884
78.300,331.998
78.400,311.820
78.500,311.969
78.600,362.483
78.700,328.356
78.800,320.279
78.900,373.192
79.000,294.666
79.100,303.764
79.200,316.607
79.300,308.639
79.400,289.787
79.500,286.546
79.600,335.241
79.700,289.413
79.800,301.393
79.900,279.100
80.000,272.841
80.100,260.900
80.200,265.071
80.300,314.239
80.400,223.273
80.500,279.137
80.600,271.295
80.700,300.001
80.800,282.558
80.900,297.119
81.000,321.536
81.100,328.291
81.200,318.833
81.300,346.919
81.400,278.639
81.500,319.840
81.600,307.256
81.700,313.840
81.800,304.193
81.900,313.049
82.000,333.480
82.100,309.880
82.200,341.023
82.300,308.664
82.400,339.202
82.500,305.095
82.600,310.798
82.700,345.536
82.800,318.718
82.900,360.128
83.000,359.532
83.100,362.327
83.200,364.918
83.300,363.100
83.400,340.147
83.500,333.052
83.600,323.860
83.700,301.105
83.800,328.803
83.900,352.919
84.000,348.744
84.100,312.508
84.200,332.536
84.300,326.476
84.400,326.683
84.500,315.803
84.600,312.423
84.700,319.966
84.800,346.328
84.900,347.030
85.000,326.129
85.100,336.088
85.200,312.271
85.300,346.714
85.400,336.560
85.500,389.083
85.600,319.978
85.700,350.128
85.800,380.631
85.900,418.160
86.000,319.488
86.100,340.093
86.200,324.405
86.300,497.754
86.400,436.686
86.500,445.459
86.600,441.138
86.700,441.033
86.801,444.797
86.900,440.879
87.000,419.887
87.100,428.206
87.200,421.534
87.309,435.894
87.401,419.706
87.502,416.448
87.601,425.097
87.700,402.361
87.800,419.353
87.904,400.489
88.015,414.532
88.214,407.693
88.217,407.693
88.300,410.905
88.400,409.474
88.500,410.148
88.600,406.576
88.700,402.667
88.800,407.414
88.900,412.604
89.002,405.109
89.100,408.212
89.200,413.915
89.300,404.140
89.403,411.049
89.500,406.818
89.600,416.839
89.700,408.880
89.800,406.540
89.900,410.982
90.000,408.899
90.196,404.915
90.202,404.915
90.304,421.249
90.400,419.255
90.501,392.743
90.600,423.489
90.710,391.069
90.800,406.777
90.900,408.222
91.000,416.993
91.353,408.563
91.382,408.563
91.387,408.563
91.400,408.563
91.500,409.498
91.600,406.596
91.700,411.216
91.800,400.879
91.900,406.148
92.000,416.649
92.100,411.804
92.200,401.994
92.300,406.950
92.400,408.477
92.500,408.347
92.601,410.275
92.700,407.901
92.800,408.873
92.900,409.590
93.000,408.672
93.100,409.411
93.200,408.122
93.300,408.402
93.400,409.121
93.500,409.280
93.602,407.237
93.700,413.180
93.800,405.235
93.900,406.459
94.000,411.267
94.100,408.293
94.200,410.441
94.300,407.245
94.400,417.345
94.501,400.397
94.600,408.217
94.700,409.985
94.800,409.139
94.900,406.316
95.003,408.005
95.100,277.101
95.200,312.669
95.300,382.263
95.400,432.627
95.500,438.732
95.600,441.024
95.700,438.330
95.800,430.054
95.900,419.305
96.000,412.731
96.100,414.448
96.200,413.839
96.300,400.772
96.400,413.847
96.500,398.101
96.600,401.214
96.700,420.942
96.800,406.319
96.900,399.138
97.000,386.051
97.100,365.628
97.200,286.415
97.300,340.609
97.400,304.722
97.500,350.544
97.600,369.744
97.700,366.044
97.800,348.642
97.900,347.822
98.000,368.601
98.100,322.806
98.200,373.181
98.300,327.055
98.400,342.221
98.500,345.741
98.600,342.167
98.700,337.246
98.800,330.135
98.900,327.686
99.000,335.805
99.100,331.066
99.200,322.935
99.300,346.744
99.400,308.139
99.500,357.298
99.600,357.748
99.700,324.606
99.800,362.695
99.900,351.497
100.000,340.242
100.100,319.577
100.200,346.194
100.300,347.906
100.400,339.232
100.500,358.163
100.600,328.743
100.700,330.608
100.800,341.921
100.900,322.284
101.000,332.889
101.100,312.430
101.200,321.285
101.300,361.736
101.400,378.264
101.500,368.358
101.600,332.856
101.700,370.904
101.800,330.599
101.900,326.046
102.000,346.769
102.100,359.494
102.200,271.850
102.300,350.851
102.400,310.556
102.500,331.309
102.600,334.184
102.700,285.589
102.800,336.175
102.900,337.288
103.000,337.601
103.100,306.093
103.200,343.494
103.300,393.927
103.400,354.535
103.500,357.011
103.600,314.776
103.700,325.585
103.800,378.947
103.900,365.076
104.000,323.682
104.100,340.821
104.200,314.970
104.300,351.234
104.400,294.744
104.500,323.816
104.600,292.990
104.700,327.335
104.800,309.009
104.900,324.684
105.000,350.389
105.100,369.389
105.200,391.584
105.300,345.764
105.400,367.408
105.500,335.409
105.600,361.673
105.700,301.144
105.800,367.843
105.900,346.744
106.000,338.320
106.100,365.776
106.200,382.837
106.300,346.750
106.400,336.284
106.500,306.964
106.600,309.834
106.700,366.856
106.800,289.617
106.900,370.798
107.000,307.506
107.100,338.945
107.200,377.080
107.300,350.684
107.400,356.133
107.500,304.221
107.600,321.187
107.700,316.700
107.800,330.800
107.900,298.015
108.000,313.692
108.100,311.378
108.200,325.389
108.300,283.947
108.400,298.833
108.500,308.470
108.600,296.368
108.700,300.464
108.800,328.889
108.900,321.551
109.000,298.934
109.100,286.821
109.200,330.765
109.300,352.722
109.400,371.236
109.500,381.493
109.600,340.276
109.700,404.757
109.800,344.516
109.900,345.302
110.000,337.975
110.100,365.756
110.200,355.685
110.300,317.239
110.400,380.574
110.500,304.559
110.600,377.865
110.700,336.867
110.800,324.296
110.900,306.696
111.000,383.419
111.100,358.601
111.200,318.619
111.300,391.924
111.400,317.112
111.500,339.559
111.600,319.276
111.700,353.170
111.800,358.429
111.900,327.201
112.000,321.660
112.100,321.784
112.200,307.229
112.300,310.909
112.400,273.937
112.500,303.555
112.600,270.792
112.700,277.416
112.800,302.164
112.900,269.203
113.000,273.647
113.100,271.552
113.200,308.420
113.300,275.708
113.400,332.130
113.500,279.268
113.600,320.179
113.700,308.277
113.800,340.005
113.900,320.247
114.000,313.519
114.100,315.253
114.200,319.945
114.300,332.725
114.400,295.841
114.500,295.927
114.600,346.741
114.700,303.463
114.800,327.753
114.900,277.668
115.000,330.214
115.100,315.931
115.200,341.091
115.300,273.348
115.400,310.419
115.500,275.427
115.600,274.155
115.700,271.782
115.800,291.856
115.900,267.372
116.000,276.155
116.100,267.682
116.200,270.028
116.300,225.654
116.400,286.942
116.500,261.209
116.600,246.948
116.700,288.674
116.800,293.663
116.900,293.556
117.000,281.172
117.100,296.256
117.200,308.937
117.300,340.105
117.400,302.887
117.500,323.998
117.600,267.235
117.700,314.986
117.800,347.645
117.900,274.531
118.000,314.571
118.100,325.609
118.200,311.450
118.300,316.977
118.400,283.563
118.500,335.296
118.600,314.183
118.700,328.707
118.800,332.840
118.900,325.496
119.000,366.234
119.100,300.719
119.200,340.132
119.300,393.982
119.400,352.164
119.500,362.330
119.600,359.759
119.700,347.501
119.800,380.165
119.900,326.112
120.000,335.872
120.100,331.895
120.200,295.693
120.300,312.800
120.400,333.496
120.500,310.391
120.600,251.236
120.700,306.918
120.800,266.447
120.900,281.741
