time_s,power_W
0.000,194.532
0.100,192.877
0.200,195.167
0.300,196.765
0.400,195.426
0.500,200.595
0.600,214.728
0.700,301.334
0.800,328.027
0.900,325.827
1.000,324.268
1.100,325.746
1.200,327.293
1.300,311.714
1.400,281.583
1.500,287.904
1.600,280.816
1.700,321.399
1.800,333.264
1.900,350.356
2.000,347.379
2.100,351.537
2.200,319.602
2.300,325.602
2.400,372.133
2.500,372.733
2.600,326.964
2.700,339.089
2.800,329.752
2.900,309.221
3.000,371.356
3.100,393.507
3.200,333.963
3.300,336.637
3.400,439.097
3.500,442.656
3.600,439.113
3.700,440.055
3.800,439.412
3.900,439.203
4.000,436.444
4.100,442.280
4.200,440.652
4.300,440.449
4.400,439.600
4.500,439.460
4.600,425.472
4.700,412.750
4.800,408.543
4.900,408.062
5.000,408.997
5.100,407.701
5.200,410.333
5.300,404.740
5.400,411.795
5.500,408.439
5.600,405.446
5.700,403.114
5.800,412.850
5.900,416.365
6.000,410.742
6.100,408.748
6.200,407.925
6.300,409.318
6.400,407.286
6.500,408.403
6.600,411.087
6.700,407.805
6.800,406.737
6.900,405.098
7.000,406.958
7.100,417.503
7.200,408.204
7.300,408.128
7.400,408.478
7.500,408.060
7.600,409.478
7.700,409.051
7.800,408.149
7.900,409.722
8.000,406.499
8.100,405.794
8.200,408.487
8.300,412.637
8.400,411.245
8.500,410.691
8.600,407.015
8.700,408.146
8.800,408.074
8.900,408.054
9.000,410.686
9.100,407.812
9.200,406.806
9.300,406.446
9.400,407.357
9.500,415.606
9.600,407.484
9.700,410.030
9.800,407.668
9.900,409.712
10.000,407.923
10.100,408.248
10.200,410.590
10.300,405.459
10.400,407.885
10.500,410.149
10.600,408.324
10.700,411.910
10.800,410.636
10.900,408.644
11.000,407.246
11.100,408.790
11.200,410.059
11.300,408.524
11.400,408.992
11.500,406.259
11.600,405.691
11.700,409.556
11.800,410.498
11.900,412.541
12.000,406.058
12.100,410.389
12.200,409.336
12.300,408.714
12.400,408.347
12.500,407.457
12.600,409.779
12.700,405.310
12.800,411.057
12.900,409.216
13.000,410.731
13.100,409.324
13.200,407.974
13.300,408.120
13.400,409.111
13.500,410.223
13.600,407.644
13.700,406.488
13.800,407.601
13.900,411.569
14.000,409.296
14.100,410.716
14.200,406.688
14.300,409.405
14.400,408.605
14.500,409.273
14.600,407.133
14.700,408.642
14.800,408.684
14.900,411.066
15.000,408.406
15.100,406.128
15.200,409.806
15.300,412.401
15.400,408.123
15.500,406.736
15.600,411.252
15.700,406.458
15.800,411.815
15.900,405.660
16.000,411.407
16.100,404.722
16.200,408.549
16.300,409.268
16.400,405.371
16.500,412.721
16.600,410.745
16.700,408.643
16.800,409.815
16.900,408.402
17.000,409.544
17.100,406.877
17.200,407.660
17.300,409.245
17.400,400.417
17.500,414.263
17.600,406.815
17.700,412.784
17.800,408.490
17.900,414.608
18.000,404.367
18.100,409.517
18.200,410.200
18.300,408.527
18.400,408.609
18.500,406.552
18.600,408.927
18.700,401.472
18.800,414.113
18.900,403.690
19.000,407.061
19.100,410.677
19.200,378.358
19.300,238.384
19.400,203.390
19.500,201.016
19.600,202.533
19.700,201.565
19.800,204.981
19.900,200.490
20.000,202.057
20.100,206.894
20.200,204.502
20.300,203.577
20.400,200.052
20.500,203.645
20.600,206.211
20.700,207.344
20.800,201.120
20.900,203.037
21.000,201.044
21.100,206.658
21.200,203.372
21.300,200.249
21.400,209.595
21.500,210.054
21.600,202.942
21.700,198.187
21.800,204.218
21.900,199.248
22.000,203.630
22.100,200.467
22.200,199.732
22.300,196.654
22.400,276.901
22.500,392.728
22.600,430.696
22.700,439.137
22.800,441.980
22.900,426.415
23.000,425.779
23.100,435.876
23.200,426.985
23.300,429.290
23.400,430.231
23.500,428.883
23.600,443.623
23.700,425.735
23.800,426.903
23.900,428.075
24.000,415.875
24.100,411.659
24.200,412.827
24.300,408.085
24.400,404.603
24.500,408.805
24.600,409.852
24.700,407.492
24.800,409.666
24.900,407.259
25.000,404.314
25.100,407.536
25.200,417.289
25.300,409.559
25.400,404.517
25.500,411.881
25.600,408.383
25.700,406.376
25.800,411.095
25.900,409.594
26.000,405.557
26.100,398.206
26.200,412.991
26.300,420.311
26.400,406.661
26.500,409.318
26.600,407.467
26.700,407.398
26.800,409.974
26.900,409.302
27.000,406.261
27.100,405.141
27.200,404.499
27.300,409.520
27.400,420.481
27.500,406.423
27.600,408.054
27.700,410.811
27.800,407.823
27.900,408.913
28.000,407.949
28.100,408.707
28.200,405.036
28.300,408.298
28.400,404.718
28.500,411.982
28.600,416.836
28.700,408.144
28.800,407.786
28.900,409.143
29.000,409.536
29.100,409.136
29.200,407.038
29.300,408.286
29.400,400.502
29.500,414.438
29.600,408.100
29.700,402.290
29.800,422.065
29.900,406.725
30.000,408.519
30.100,409.465
30.200,408.712
30.300,408.013
30.400,409.224
30.500,405.872
30.600,405.488
30.700,410.893
30.800,409.227
30.900,406.209
31.000,413.568
31.100,411.719
31.200,409.790
31.300,406.866
31.400,410.505
31.500,406.760
31.600,408.446
31.700,408.434
31.800,408.369
31.900,410.674
32.000,408.570
32.100,408.166
32.200,408.579
32.300,408.827
32.400,409.378
32.500,408.545
32.600,409.114
32.700,408.550
32.800,409.228
32.900,408.134
33.000,411.790
33.100,405.055
33.200,410.926
33.300,409.648
33.400,405.473
33.500,405.970
33.600,412.509
33.700,407.770
33.800,411.656
33.900,409.922
34.000,407.386
34.100,407.508
34.200,408.707
34.300,410.398
34.400,406.402
34.500,407.976
34.600,409.675
34.700,409.102
34.800,412.365
34.900,408.927
35.000,405.487
35.100,410.248
35.200,407.869
35.300,408.367
35.400,410.966
35.500,405.782
35.600,406.222
35.700,411.343
35.800,410.270
35.900,407.546
36.000,411.372
36.100,408.795
36.200,406.144
36.300,409.882
36.400,409.707
36.500,409.396
36.600,407.458
36.700,399.650
36.800,413.326
36.900,411.547
37.000,408.366
37.100,415.362
37.200,407.151
37.300,409.047
37.400,409.149
37.500,405.541
37.600,410.616
37.700,409.493
37.800,404.965
37.900,403.409
38.000,411.274
38.100,412.049
38.200,408.569
38.300,415.125
38.400,407.684
38.500,405.653
38.600,410.462
38.700,408.050
38.800,409.210
38.900,407.834
39.000,407.454
39.100,403.334
39.200,413.607
39.300,405.790
39.400,416.198
39.500,409.820
39.600,406.637
39.700,407.694
39.800,410.796
39.900,407.743
40.000,408.166
40.100,408.571
40.200,399.214
40.300,413.287
40.400,406.568
40.500,413.721
40.600,415.791
40.700,408.270
40.800,406.960
40.900,406.489
41.000,410.664
41.100,405.418
41.200,410.086
41.300,401.491
41.400,407.154
41.500,376.303
41.600,235.806
41.700,205.110
41.800,201.125
41.900,201.909
42.000,202.222
42.100,201.306
42.200,200.174
42.300,200.254
42.400,202.298
42.500,201.837
42.600,201.736
42.700,207.393
42.800,209.391
42.900,210.711
43.000,209.999
43.100,209.456
43.200,211.657
43.300,210.060
43.400,210.166
43.500,209.574
43.600,210.102
43.700,206.161
43.800,201.158
43.900,201.413
44.000,205.647
44.100,207.392
44.200,209.428
44.300,201.457
44.400,200.174
44.500,201.353
44.600,205.274
44.700,366.698
44.800,419.541
44.900,428.609
45.000,440.125
45.100,440.345
45.200,425.147
45.300,433.979
45.400,442.230
45.500,430.103
45.600,441.820
45.700,439.498
45.800,428.075
45.900,442.473
