time_s,power_W
0.000,216.395
0.100,226.112
0.200,249.605
0.300,346.511
0.400,331.874
0.500,328.969
0.600,327.546
0.700,329.986
0.800,330.855
0.900,298.153
1.000,284.168
1.100,295.967
1.200,288.483
1.300,325.921
1.400,344.041
1.500,350.395
1.600,351.565
1.700,354.669
1.800,317.422
1.900,332.152
2.000,393.596
2.100,376.216
2.200,323.854
2.300,330.072
2.400,339.246
2.500,308.948
2.600,397.195
2.700,387.873
2.800,312.710
2.900,440.006
3.000,434.278
3.100,445.284
3.200,441.965
3.300,434.754
3.400,440.325
3.500,443.955
3.600,445.535
3.700,430.621
3.800,447.479
3.900,441.664
4.000,440.555
4.100,420.050
4.200,408.671
4.300,409.434
4.400,405.094
4.500,410.909
4.600,412.477
4.700,407.020
4.800,407.773
4.900,401.790
5.000,415.838
5.100,403.763
5.200,409.456
5.300,412.969
5.400,403.673
5.500,414.667
5.600,408.879
5.700,412.305
5.800,411.914
5.900,406.903
6.000,409.094
6.100,405.810
6.200,409.845
6.300,410.334
6.400,407.832
6.500,408.928
6.600,407.033
6.700,405.689
6.800,405.504
6.900,410.375
7.000,406.853
7.100,416.386
7.200,410.017
7.300,410.143
7.400,408.375
7.500,406.506
7.600,410.177
7.700,408.657
7.800,407.524
7.900,406.562
8.000,403.992
8.100,415.779
8.200,412.140
8.300,406.772
8.400,406.355
8.500,411.239
8.600,409.025
8.700,410.749
8.800,406.469
8.900,409.184
9.000,403.856
9.100,411.777
9.200,407.926
9.300,409.665
9.400,408.704
9.500,410.102
9.600,408.930
9.700,408.645
9.800,412.395
9.900,408.536
10.000,405.606
10.100,409.931
10.200,408.723
10.300,405.677
10.400,411.721
10.500,403.268
10.600,414.556
10.700,408.076
10.800,410.777
10.900,409.273
11.000,409.319
11.100,408.471
11.200,407.832
11.300,410.279
11.400,406.636
11.500,408.574
11.600,409.593
11.700,408.079
11.800,406.177
11.900,406.440
12.000,413.967
12.100,401.672
12.200,414.998
12.300,411.742
12.400,410.082
12.500,406.983
12.600,407.908
12.700,410.119
12.800,408.744
12.900,408.777
13.000,407.980
13.100,405.833
13.200,402.291
13.300,414.211
13.400,412.465
13.500,405.295
13.600,411.166
13.700,412.535
13.800,408.512
13.900,409.530
14.000,408.025
14.100,407.448
14.200,410.099
14.300,407.752
14.400,407.012
14.500,403.549
14.600,405.427
14.700,415.576
14.800,409.096
14.900,411.448
15.000,410.543
15.100,409.340
15.200,407.583
15.300,406.689
15.400,410.511
15.500,408.454
15.600,408.428
15.700,410.084
15.800,399.502
15.900,407.155
16.000,415.533
16.100,413.905
16.200,406.242
16.300,409.357
16.400,409.345
16.500,408.790
16.600,409.473
16.700,409.398
16.800,407.581
16.900,405.626
17.000,409.713
17.100,402.623
17.200,406.552
17.300,419.731
17.400,407.680
17.500,411.435
17.600,407.116
17.700,408.766
17.800,406.517
17.900,410.839
18.000,409.431
18.100,406.191
18.200,406.524
18.300,413.138
18.400,403.397
18.500,408.557
18.600,402.690
18.700,381.047
18.800,334.429
18.900,337.676
19.000,420.799
19.100,417.017
19.200,400.242
19.300,396.436
19.400,411.836
19.500,403.193
19.600,425.894
19.700,415.982
19.800,425.651
19.900,428.859
20.000,403.730
20.100,424.662
20.200,403.926
20.300,407.038
20.400,401.508
20.500,416.008
20.600,399.828
20.700,402.816
20.800,410.340
20.900,407.418
21.000,401.245
21.100,390.286
21.200,420.069
21.300,399.431
21.400,241.346
21.500,205.900
21.600,212.087
21.700,208.647
21.800,211.490
21.900,255.733
22.000,351.107
22.100,494.218
22.200,465.710
22.300,443.717
22.400,441.597
22.500,420.235
22.600,403.849
22.700,407.755
22.800,408.943
22.900,408.945
23.000,407.842
23.100,407.616
23.200,406.374
23.300,406.574
23.400,410.124
23.500,408.370
23.600,412.987
23.700,411.762
23.800,409.147
23.900,404.903
24.000,409.802
24.100,410.118
24.200,406.780
24.304,409.874
24.400,405.069
24.500,408.102
24.600,406.680
24.700,413.985
24.800,412.472
24.900,406.901
25.000,408.967
25.100,409.269
25.200,406.782
25.300,408.262
25.400,410.847
25.500,407.118
25.600,405.798
25.700,408.186
25.800,406.435
25.900,414.100
26.000,411.689
26.100,406.620
26.200,408.652
26.300,411.117
26.400,409.851
26.500,407.620
26.600,407.416
26.700,408.199
26.800,409.151
26.900,406.226
27.000,403.656
27.100,416.532
27.200,413.866
27.300,405.540
27.400,409.308
27.500,408.781
27.600,409.683
27.700,405.375
27.800,410.856
27.900,406.153
28.000,400.171
28.100,412.847
28.200,406.442
28.300,416.762
28.400,412.588
28.500,409.393
28.600,407.043
28.700,406.439
28.800,410.283
28.900,409.903
29.000,407.698
29.100,408.785
29.200,403.529
29.300,407.381
29.400,407.746
29.500,417.797
29.600,410.467
29.700,407.221
29.800,405.758
29.900,411.135
30.000,408.509
30.100,406.678
30.200,409.291
30.300,409.122
30.400,400.217
30.500,407.366
30.600,415.933
30.700,409.004
30.800,413.730
30.900,410.041
31.000,406.942
31.100,406.312
31.200,411.133
31.300,409.070
31.400,409.230
31.500,405.277
31.600,409.291
31.700,409.221
31.800,406.216
31.900,408.556
32.000,410.378
32.100,412.008
32.200,408.184
32.300,409.798
32.400,408.015
32.500,409.796
32.600,408.078
32.700,407.829
32.800,407.632
32.900,405.326
33.000,406.683
33.100,415.630
33.200,410.646
33.300,409.051
33.400,405.784
33.500,411.751
33.600,409.691
33.700,406.885
33.800,410.331
33.900,407.794
34.000,405.514
34.100,404.540
34.200,414.002
34.300,407.041
34.400,406.400
34.500,413.085
34.600,412.978
34.700,407.191
34.800,410.387
34.900,407.000
35.000,407.565
35.100,411.087
35.200,406.866
35.300,408.206
35.400,404.838
35.500,409.308
35.600,410.463
35.700,410.569
35.800,411.368
35.900,411.017
36.000,403.731
36.100,411.706
36.200,407.188
36.300,410.696
36.400,407.372
36.500,401.800
36.600,404.571
36.700,421.705
36.800,409.240
36.900,407.230
37.000,408.051
37.100,410.599
37.200,407.961
37.300,408.940
37.400,406.877
37.500,410.037
37.600,406.102
37.700,406.212
37.800,417.526
37.900,407.710
38.000,403.993
38.100,411.212
38.200,407.439
38.300,410.219
38.400,409.356
38.500,408.760
38.600,406.340
38.700,408.855
38.800,401.846
38.900,415.174
39.000,411.941
39.100,408.342
39.200,408.957
39.300,408.710
39.400,409.971
39.500,406.318
39.600,410.574
39.700,406.909
39.800,409.483
39.900,410.635
40.000,405.219
40.100,406.902
40.200,415.446
40.300,405.918
40.400,409.016
40.500,409.559
40.600,410.259
40.700,409.445
40.800,406.795
40.900,401.852
41.000,385.669
41.100,341.024
41.200,224.155
41.300,212.711
41.400,220.352
41.500,220.844
41.600,221.859
41.700,222.269
41.800,210.144
41.900,221.351
42.000,212.371
42.100,215.654
42.200,214.581
42.300,213.168
42.400,213.348
42.500,211.592
