time_s,power_W
0.000,347.489
0.100,342.681
0.200,346.463
0.300,347.221
0.400,350.566
0.500,350.208
0.600,349.382
0.700,352.202
0.800,347.601
0.900,350.828
1.000,347.926
1.100,349.441
1.200,360.480
1.300,335.245
1.442,326.613
1.500,322.198
1.600,320.635
1.700,321.103
1.800,323.429
1.900,326.520
2.000,338.802
2.100,320.602
2.200,326.339
2.300,330.595
2.400,346.562
2.500,363.302
2.600,389.815
2.700,382.206
2.800,384.710
2.900,380.827
3.000,361.277
3.100,356.768
3.200,372.316
3.300,369.012
3.400,390.101
3.500,372.281
3.600,373.403
3.700,373.822
3.800,422.502
3.900,435.575
4.000,433.587
4.100,432.810
4.200,434.687
4.300,431.899
4.400,433.882
4.500,432.736
4.600,436.592
4.700,423.040
4.800,416.479
4.900,419.603
5.000,413.927
5.100,407.817
5.200,408.474
5.300,408.293
5.400,407.008
5.500,408.978
5.600,410.849
5.700,407.980
5.800,409.352
5.900,407.536
6.000,409.821
6.100,410.354
6.200,407.883
6.300,408.016
6.400,408.195
6.500,409.894
6.600,407.566
6.700,409.532
6.800,410.542
6.900,408.124
7.000,407.598
7.100,411.480
7.200,407.160
7.300,407.506
7.400,412.138
7.500,406.378
7.600,410.922
7.700,409.970
7.800,407.882
7.900,409.192
8.000,408.398
8.100,407.478
8.200,408.907
8.300,406.370
8.400,404.744
8.500,415.619
8.600,408.210
8.700,408.835
8.800,405.296
8.900,415.746
9.000,407.204
9.100,409.643
9.200,407.804
9.300,407.691
9.400,409.745
9.500,408.330
9.600,407.032
9.700,409.644
9.800,410.435
9.900,403.803
10.000,410.346
10.100,410.685
10.200,411.661
10.300,405.735
10.400,411.053
10.500,408.429
10.600,411.027
10.700,408.632
10.800,408.076
10.900,408.729
11.000,406.278
11.100,411.374
11.200,406.312
11.300,408.435
11.400,409.597
11.500,409.814
11.600,404.800
11.700,412.581
11.800,407.547
11.900,411.432
12.000,408.594
12.100,410.985
12.200,408.775
12.300,408.934
12.400,406.745
12.500,405.414
12.600,409.467
12.700,408.197
12.800,408.280
12.900,412.669
13.000,403.464
13.100,406.727
13.200,415.655
13.300,409.702
13.400,396.503
13.500,422.420
13.600,410.423
13.700,407.188
13.800,410.207
13.900,405.636
14.000,410.158
14.100,406.924
14.200,408.911
14.300,408.035
14.400,412.005
14.500,403.754
14.600,412.845
14.700,404.462
14.800,415.565
14.900,402.739
15.000,416.228
15.100,406.324
15.200,409.216
15.300,407.551
15.400,408.331
15.500,408.947
15.600,407.696
15.700,407.437
15.800,411.914
15.900,404.175
16.000,411.316
16.100,412.585
16.200,405.753
16.300,409.773
16.400,412.710
16.500,405.743
16.600,409.421
16.700,408.690
16.800,409.292
16.900,406.381
17.000,409.240
17.100,408.525
17.200,410.314
17.300,402.564
17.400,413.164
17.500,412.726
17.600,400.395
17.700,416.273
17.800,405.957
17.900,411.914
18.000,409.593
18.100,406.832
18.200,410.006
18.300,408.028
18.400,410.037
18.500,406.041
18.600,410.033
18.700,407.307
18.800,410.476
18.900,407.423
19.000,410.656
19.100,406.085
19.200,411.508
19.300,410.188
19.400,408.616
19.500,408.697
19.600,407.346
19.700,406.308
19.800,398.946
19.900,372.954
20.000,352.318
20.100,351.552
20.200,350.564
20.300,346.767
20.400,351.643
20.500,349.024
20.600,350.390
20.700,348.022
20.800,351.135
20.900,350.268
21.000,352.140
21.100,349.239
21.200,351.992
21.300,352.680
21.400,348.429
21.500,352.633
21.600,347.144
21.700,351.526
21.800,350.749
21.900,350.331
22.000,349.713
22.100,349.726
22.200,348.337
22.300,350.519
22.400,350.418
22.500,350.190
22.600,350.951
22.700,349.491
22.800,350.198
22.900,348.016
23.000,362.204
23.100,439.049
23.200,442.671
23.300,439.171
23.400,443.540
23.500,437.498
23.600,442.662
23.700,436.707
23.800,444.358
23.900,437.449
24.000,419.633
24.100,421.856
24.200,434.992
24.300,443.223
24.400,429.186
24.500,433.680
24.600,423.870
24.700,437.027
24.800,420.033
24.900,423.535
25.000,411.445
25.100,411.994
25.200,406.937
25.300,406.101
25.400,404.574
25.500,416.058
25.600,407.504
25.700,411.444
25.800,408.908
25.900,407.603
26.000,406.154
26.100,409.617
26.200,409.856
26.300,409.035
26.400,406.579
26.500,408.012
26.600,411.343
26.700,408.738
26.800,408.264
26.900,407.182
27.000,415.378
27.100,407.474
27.200,407.057
27.300,410.750
27.400,406.741
27.500,407.568
27.600,410.662
27.700,407.965
27.800,408.339
27.900,407.522
28.000,407.364
28.100,413.325
28.200,407.726
28.300,410.714
28.400,408.382
28.500,406.952
28.600,408.950
28.700,409.612
28.800,410.082
28.900,408.467
29.000,406.583
29.100,406.990
29.200,407.775
29.300,410.536
29.400,404.770
29.500,416.108
29.600,411.070
29.700,407.069
29.800,410.310
29.900,406.267
30.000,408.550
30.100,409.285
30.200,408.473
30.300,405.969
30.400,410.309
30.500,404.945
30.600,407.940
30.700,413.505
30.800,408.403
30.900,412.484
31.000,408.505
31.100,408.920
31.200,407.802
31.300,406.744
31.400,410.795
31.500,407.193
31.600,407.859
31.700,410.488
31.800,404.938
31.900,411.081
32.000,403.203
32.100,417.454
32.200,410.780
32.300,410.448
32.400,407.321
32.500,408.508
32.600,406.465
32.700,407.240
32.800,411.378
32.900,406.658
33.000,408.430
33.100,408.979
33.200,408.439
33.300,404.883
33.400,414.929
33.500,407.685
33.600,409.931
33.700,411.794
33.800,408.403
33.900,408.472
34.000,408.501
34.100,407.599
34.200,406.703
34.300,409.492
34.400,406.949
34.500,407.772
34.600,409.633
34.700,410.168
34.800,408.139
34.900,414.143
35.000,408.874
35.100,408.089
35.200,407.386
35.300,408.067
35.400,410.650
35.500,405.002
35.600,408.731
35.700,410.543
35.800,408.821
35.900,409.767
36.000,407.774
36.100,411.393
36.200,406.714
36.300,412.975
36.400,406.837
36.500,408.468
36.600,407.005
36.700,409.048
36.800,409.805
36.900,407.384
37.000,409.100
37.100,408.685
37.200,411.604
37.300,404.227
37.400,410.919
37.500,408.193
37.600,411.735
37.700,410.278
37.800,407.383
37.900,408.402
38.000,405.355
38.100,412.938
38.200,404.699
38.300,409.311
38.400,409.009
38.500,408.890
38.600,407.535
38.700,409.310
38.800,412.806
38.900,411.099
39.000,406.082
39.100,408.751
39.200,410.447
39.300,407.588
39.400,406.722
39.500,411.269
39.600,404.331
39.700,409.576
39.800,410.228
39.900,410.075
40.000,405.462
40.100,415.547
40.200,407.959
40.300,408.361
40.400,408.589
40.500,407.495
40.600,409.249
40.700,405.921
40.800,410.600
40.900,406.772
41.000,407.163
41.100,413.722
41.200,409.946
41.300,410.610
41.400,409.117
41.500,405.608
41.600,411.509
41.700,405.383
41.800,411.029
41.900,407.251
42.000,407.278
42.100,407.451
42.200,408.806
42.300,405.598
42.400,390.561
42.500,355.718
42.600,351.318
42.700,348.075
42.800,349.420
42.900,350.533
43.000,346.601
43.100,351.595
43.200,351.290
43.300,353.349
43.400,348.305
43.500,349.921
43.600,349.298
43.700,350.234
43.800,345.922
43.900,349.644
44.000,350.554
44.100,348.184
44.200,350.112
44.300,346.313
44.400,350.696
44.500,352.668
44.600,350.654
44.700,346.786
44.800,350.132
44.900,349.840
45.000,349.186
45.100,347.934
45.200,347.761
45.300,349.953
45.400,346.475
45.500,349.410
45.600,388.934
45.700,421.218
45.800,421.051
45.900,432.372
46.000,429.463
46.100,436.400
46.200,440.085
46.300,437.962
46.400,440.089
46.500,423.527
46.600,437.299
46.700,445.456
46.800,432.215
46.900,438.477
47.000,430.484
47.100,422.754
47.200,421.014
47.300,422.548
47.400,418.297
47.500,410.148
47.600,418.216
47.700,407.398
47.800,405.222
47.900,408.424
48.000,415.079
48.100,407.685
48.200,407.469
48.300,406.255
48.400,409.002
48.500,410.435
48.600,407.713
48.700,406.775
48.800,407.383
48.900,411.162
49.000,407.677
49.100,405.215
49.200,415.525
49.300,410.007
49.400,410.279
49.500,406.264
49.600,407.732
49.700,409.658
49.800,407.375
49.900,408.711
50.000,407.370
50.100,409.119
50.200,407.952
50.300,410.760
50.400,406.942
50.500,415.355
50.600,408.828
50.700,409.129
50.800,407.212
50.900,407.848
51.000,409.446
51.100,408.300
51.200,406.920
51.300,408.652
