time_s,power_W
0.100,193.745
0.201,195.662
0.302,194.137
0.403,197.397
0.503,192.738
0.604,193.706
0.705,195.852
0.806,202.259
0.906,209.030
1.007,227.739
1.107,317.533
1.207,308.296
1.308,310.605
1.408,316.132
1.509,315.072
1.610,318.949
1.710,317.177
1.811,317.119
1.911,322.504
2.011,312.525
2.112,311.202
2.212,315.421
2.312,318.448
2.413,323.909
2.513,317.369
2.613,314.937
2.714,323.152
2.814,317.081
2.914,311.725
3.015,317.203
3.115,318.000
3.215,326.449
3.316,323.886
3.416,318.927
3.516,320.110
3.617,319.377
3.718,327.776
3.818,315.940
3.918,322.881
4.019,320.116
4.119,323.185
4.220,323.286
4.320,316.338
4.420,317.340
4.521,317.695
4.621,321.738
4.722,315.899
4.822,317.871
4.923,314.030
5.023,318.433
5.124,315.464
5.224,313.042
5.324,315.580
5.425,317.289
5.525,312.989
5.625,308.052
5.726,317.629
5.826,311.973
5.927,312.199
6.027,312.778
6.127,312.379
6.228,312.451
6.328,310.357
6.429,316.496
6.529,312.305
6.630,313.205
6.730,318.881
6.830,322.322
6.931,313.666
7.031,319.380
7.131,319.600
7.232,319.896
7.332,314.888
7.433,315.052
7.533,322.067
7.633,318.424
7.734,319.310
7.834,315.744
7.935,323.894
8.035,317.314
8.135,319.054
8.235,322.887
8.336,317.302
8.437,325.514
8.537,326.545
8.637,325.623
8.738,321.403
8.838,329.277
8.938,326.482
9.039,320.341
9.139,320.539
9.240,323.100
9.340,319.144
9.440,312.284
9.541,319.422
9.641,320.064
9.741,323.023
9.842,313.343
9.942,316.361
10.043,309.605
10.143,315.773
10.244,315.415
10.344,321.469
10.444,314.655
10.545,316.676
10.645,319.638
10.746,316.765
10.846,317.246
10.946,317.326
11.047,319.934
11.147,315.040
11.247,321.657
11.348,320.506
11.448,319.436
11.548,322.673
11.649,322.323
11.749,320.598
11.849,321.230
11.950,321.483
12.050,316.085
12.150,318.339
12.250,319.044
12.351,327.141
12.451,318.408
12.551,314.187
12.652,317.185
12.752,321.834
12.852,318.224
12.953,321.741
13.053,331.126
13.153,318.587
13.254,325.868
13.354,323.796
13.454,320.209
13.555,314.264
13.655,326.053
13.755,317.088
13.856,317.904
13.956,318.851
14.056,316.680
14.156,330.525
14.257,323.100
14.357,317.671
14.457,319.194
14.558,320.238
14.658,314.137
14.759,318.813
14.859,320.764
14.960,311.204
15.060,320.341
15.160,313.759
15.261,316.488
15.361,317.406
15.461,314.296
15.561,316.576
15.662,317.535
15.762,319.246
15.862,321.382
15.963,319.081
16.064,231.877
16.164,200.761
16.265,201.594
16.366,198.372
16.466,207.244
16.567,211.539
16.667,202.039
16.768,206.871
16.869,213.182
16.970,206.316
17.070,209.484
17.171,211.963
17.271,210.052
17.372,205.492
17.472,212.644
17.573,201.026
17.673,213.236
17.773,216.265
17.874,204.235
17.974,211.141
18.075,205.121
18.175,209.915
18.276,207.329
18.376,207.870
18.477,205.351
18.577,208.284
18.678,208.531
18.779,204.459
18.879,210.258
18.980,203.607
19.081,207.808
19.181,201.120
19.282,196.463
19.383,201.432
19.483,199.808
19.584,197.622
19.685,201.929
19.785,200.059
19.886,198.601
19.987,200.247
20.088,201.170
20.189,198.787
20.290,200.902
20.390,197.489
20.491,198.586
20.591,198.783
20.692,199.923
20.793,196.036
20.893,203.735
20.994,194.732
21.095,198.887
21.195,202.935
21.296,200.976
21.397,193.878
21.497,212.241
21.598,209.956
21.698,212.543
21.799,206.569
21.899,207.919
22.000,207.735
22.100,208.612
22.201,208.631
22.301,215.302
22.402,206.175
22.502,207.240
22.603,208.765
22.704,204.940
22.804,206.179
22.905,214.224
23.005,208.594
23.106,207.553
23.207,205.723
23.307,207.676
23.408,209.938
23.508,208.037
23.609,205.891
23.710,213.380
23.810,200.918
23.911,207.848
24.011,206.050
24.112,205.199
24.213,201.660
24.313,196.234
24.414,200.884
24.515,197.226
24.615,204.728
24.716,200.817
24.816,197.564
24.917,200.159
25.018,200.895
25.118,198.058
25.219,199.653
25.319,197.603
25.420,199.915
25.521,199.179
25.621,199.892
25.722,200.866
25.822,199.714
25.923,202.397
26.024,262.154
26.124,370.709
26.224,370.292
26.324,370.014
26.424,368.769
26.525,364.361
26.625,370.136
26.725,369.210
26.825,369.074
26.926,372.372
27.026,371.809
27.126,368.942
27.226,370.146
27.327,371.288
27.427,371.081
27.527,368.823
27.627,371.732
27.727,369.807
27.828,371.557
27.928,371.252
28.028,371.996
28.128,374.247
28.228,371.083
28.329,370.879
28.429,370.784
28.529,373.417
28.629,369.547
28.729,371.008
28.830,370.072
28.930,371.915
29.030,370.921
29.130,370.126
29.230,371.813
29.331,373.770
29.431,374.886
29.531,370.368
29.631,376.629
29.731,373.444
29.832,368.730
29.932,374.954
30.032,371.270
30.132,370.535
30.233,375.306
30.333,372.354
30.433,373.996
30.533,371.056
30.633,369.007
30.734,370.334
30.834,377.225
30.934,373.514
31.034,375.040
31.135,368.149
31.235,368.965
31.335,369.277
31.435,369.172
31.536,372.115
31.636,372.122
31.736,371.212
31.836,371.598
31.937,370.744
32.037,371.144
32.137,368.479
32.237,373.882
32.338,371.589
32.438,372.287
32.538,372.248
32.638,371.163
32.739,375.123
32.839,370.744
32.939,373.893
33.041,372.314
33.141,373.371
33.241,374.339
33.341,372.165
33.442,371.052
33.542,368.465
33.642,372.201
33.742,374.095
33.842,373.327
33.943,372.843
34.043,375.027
34.143,373.013
34.243,372.262
34.344,374.901
34.444,373.279
34.544,372.608
34.644,373.335
34.744,370.855
34.845,372.907
34.945,373.938
