time_s,power_W
0.000,197.397
0.100,205.017
0.200,200.965
0.300,207.145
0.400,207.159
0.500,199.414
0.600,199.789
0.700,217.085
0.800,287.242
0.900,316.900
1.000,312.140
1.100,339.210
1.200,313.697
1.300,324.357
1.400,310.946
1.500,322.549
1.600,300.790
1.700,340.364
1.800,325.239
1.900,292.506
2.000,344.493
2.100,316.904
2.200,332.970
2.300,322.939
2.400,324.425
2.500,320.752
2.600,328.793
2.700,316.436
2.800,331.614
2.900,315.257
3.000,320.406
3.100,325.780
3.200,319.754
3.300,327.751
3.400,331.026
3.500,319.567
3.600,324.946
3.700,330.808
3.800,301.256
3.900,325.235
4.000,317.724
4.100,332.069
4.200,322.132
4.300,319.134
4.400,329.680
4.500,314.562
4.600,336.574
4.700,324.821
4.800,316.681
4.900,329.949
5.000,318.870
5.100,326.225
5.200,325.935
5.300,318.320
5.400,319.370
5.500,320.522
5.600,331.150
5.700,313.578
5.800,320.676
5.900,312.060
6.000,333.498
6.100,310.832
6.200,340.854
6.300,306.745
6.400,328.687
6.500,310.035
6.600,320.633
6.700,327.276
6.800,318.922
6.900,337.827
7.000,290.517
7.100,344.267
7.200,335.758
7.300,304.134
7.400,316.630
7.500,349.627
7.600,319.378
7.700,317.289
7.800,336.764
7.900,310.388
8.000,323.578
8.100,326.597
8.200,334.204
8.300,316.588
8.400,332.400
8.500,323.928
8.600,311.524
8.700,323.291
8.800,326.957
8.900,325.409
9.000,320.536
9.100,340.889
9.200,318.539
9.300,330.131
9.400,326.828
9.500,322.192
9.600,324.030
9.700,312.933
9.800,333.150
9.900,319.594
10.000,316.805
10.100,332.949
10.200,318.765
10.300,324.000
10.400,337.168
10.500,315.197
10.600,319.343
10.700,317.513
10.800,314.253
10.900,314.357
11.000,325.554
11.100,321.479
11.200,317.889
11.300,333.831
11.400,303.602
11.500,318.795
11.600,330.158
11.700,310.210
11.800,317.550
11.900,330.821
12.000,325.455
12.100,331.764
12.200,324.770
12.300,318.684
12.400,322.482
12.500,326.903
12.600,321.594
12.700,332.268
12.800,327.343
12.900,317.664
13.000,335.091
13.100,324.069
13.200,312.050
13.300,342.111
13.400,328.340
13.500,321.853
13.600,320.392
13.700,314.236
13.800,320.150
13.900,326.966
14.000,334.470
14.100,324.150
14.200,302.630
14.300,347.407
14.400,328.788
14.500,319.126
14.600,318.431
14.700,341.530
14.800,323.905
14.900,322.813
15.000,327.322
15.100,337.916
15.200,315.411
15.300,324.502
15.400,325.485
15.500,317.935
15.600,327.410
15.700,316.890
15.800,242.954
15.900,216.208
16.000,327.965
16.100,420.662
16.200,398.568
16.300,285.011
16.400,208.554
16.500,231.255
16.600,234.652
16.700,366.891
16.800,376.672
16.900,284.873
17.000,217.450
17.100,211.112
17.200,297.904
17.300,294.477
17.400,333.992
17.500,316.547
17.600,229.864
17.700,255.661
17.800,255.214
17.900,313.239
18.000,306.247
18.100,266.291
18.200,237.071
18.300,267.970
18.400,257.958
18.500,257.121
18.600,252.922
18.700,279.170
18.800,288.290
18.900,264.993
19.000,254.839
19.100,257.423
19.200,223.807
19.300,242.132
19.400,240.395
19.500,265.486
19.600,259.934
19.700,255.572
19.800,290.437
19.900,263.436
20.000,247.090
20.100,276.394
20.200,249.843
20.300,255.159
20.400,234.912
20.500,244.225
20.600,262.098
20.700,250.269
20.800,266.039
20.900,223.506
21.000,229.749
21.100,231.931
21.200,273.062
21.300,262.579
21.400,282.718
21.500,189.908
21.600,235.466
21.700,235.576
21.800,246.574
21.900,258.156
22.000,213.896
22.100,209.137
22.200,225.313
22.300,234.332
22.400,219.801
22.500,218.626
22.600,226.741
22.700,228.185
22.800,226.174
22.900,249.798
23.000,240.706
23.100,207.751
23.200,208.010
23.300,238.808
23.400,235.665
23.500,243.915
23.600,206.296
23.700,230.760
23.800,232.644
23.900,206.473
24.000,226.690
24.100,243.997
24.200,206.787
24.300,232.798
24.400,226.174
24.500,208.407
24.600,247.607
24.700,220.730
24.800,234.206
24.900,205.109
25.000,238.457
25.100,208.036
25.200,235.118
25.300,214.570
25.400,220.535
25.500,225.070
25.600,208.347
25.700,252.563
25.800,349.239
25.900,366.409
26.000,365.711
26.100,368.183
26.200,369.955
26.300,370.297
26.400,368.388
26.500,371.651
26.600,372.217
26.700,369.611
26.800,374.619
26.900,370.978
27.000,371.028
27.100,374.389
27.200,371.500
27.300,373.839
27.400,373.816
27.500,372.832
27.600,368.748
27.700,375.071
27.800,375.328
27.900,375.569
28.000,373.645
28.100,373.503
28.200,370.156
28.300,375.777
28.400,373.093
28.500,375.904
28.600,372.271
