time_s,power_W
0.000,396.389
0.100,397.452
0.200,395.725
0.300,396.245
0.401,396.518
0.501,397.148
0.601,397.536
0.701,394.658
0.802,396.283
0.902,398.025
1.002,397.046
1.102,397.961
1.202,399.248
1.303,400.030
1.403,398.520
1.503,398.138
1.603,398.626
1.703,397.152
1.804,398.759
1.904,396.433
2.004,397.570
2.104,400.795
2.204,396.692
2.305,398.259
2.405,399.839
2.505,400.341
2.605,400.020
2.705,396.737
2.805,395.796
2.906,401.108
3.006,398.514
3.106,398.308
3.206,399.553
3.307,400.476
3.407,398.803
3.507,400.021
3.607,400.059
3.707,400.216
3.808,402.264
3.908,398.201
4.008,399.185
4.108,403.420
4.208,398.931
4.309,402.546
4.409,400.223
4.509,400.868
4.609,400.927
4.709,401.942
4.810,403.855
4.910,399.878
5.010,399.444
5.110,402.902
5.210,404.636
5.310,403.249
5.411,399.795
5.511,402.794
5.611,401.196
5.711,401.374
5.811,401.412
5.912,404.848
6.012,403.862
6.112,401.778
6.212,403.539
6.312,403.710
6.413,404.273
6.513,403.785
6.613,404.848
6.713,403.544
6.813,403.669
6.914,403.532
7.014,402.719
7.114,408.888
7.214,403.653
7.314,405.130
7.415,402.263
7.515,405.834
7.615,405.791
7.715,404.920
7.815,403.434
7.916,405.675
8.016,406.386
8.116,401.953
8.216,406.502
8.317,405.889
8.417,403.105
8.517,406.918
8.617,405.824
8.717,402.722
8.818,405.438
8.918,407.344
9.018,405.482
9.118,406.449
9.218,407.546
9.319,405.239
9.419,406.485
9.519,407.587
9.619,406.564
9.719,406.444
9.820,409.406
9.920,406.989
10.020,406.682
10.120,407.268
10.220,405.102
10.321,408.852
10.421,409.140
10.521,407.999
10.621,407.366
10.721,407.260
10.822,408.592
10.922,407.262
11.022,406.632
11.122,410.211
11.222,407.555
11.323,406.118
11.423,409.019
11.523,410.079
11.623,409.079
11.723,406.884
11.823,411.573
11.924,409.940
12.024,409.050
12.124,409.267
12.224,410.749
12.324,409.622
12.425,410.153
12.525,409.348
12.625,406.350
12.725,411.074
12.825,409.958
12.926,406.768
13.026,410.411
13.126,407.564
13.226,407.387
13.326,409.709
13.427,409.053
13.527,409.394
13.627,405.685
13.727,412.412
13.827,407.270
13.928,409.242
14.028,408.138
14.128,410.636
14.228,407.553
14.328,408.710
14.429,409.710
14.529,409.787
14.629,405.716
14.729,410.680
14.829,409.203
14.930,407.103
15.030,410.339
15.130,408.452
15.230,408.071
15.330,410.323
15.431,407.913
15.531,408.233
15.631,410.791
15.731,408.933
15.831,405.649
15.932,408.799
16.032,408.990
16.132,411.174
16.232,408.904
16.332,391.804
16.433,403.229
16.533,400.249
16.633,398.916
16.734,404.636
16.834,399.429
16.934,401.802
17.035,399.796
17.135,401.073
17.235,401.831
17.336,398.583
17.436,402.295
17.536,399.683
17.636,401.774
17.736,395.414
17.837,401.847
17.937,399.868
18.037,400.338
18.137,398.789
18.237,399.277
18.338,399.407
18.438,398.469
18.538,396.886
18.638,402.478
18.739,400.712
18.839,402.500
18.939,398.838
19.039,403.259
19.139,398.691
19.240,399.789
19.340,398.754
19.440,402.357
19.540,402.315
19.640,401.087
19.741,401.848
19.841,404.706
19.941,403.691
20.041,404.774
20.141,402.313
20.242,402.785
20.342,402.175
20.442,400.680
20.542,402.116
20.642,400.672
20.743,400.847
20.843,400.992
20.943,401.492
21.044,402.007
21.144,402.223
21.244,400.471
21.345,400.800
21.446,399.147
21.546,398.983
21.647,401.769
21.747,397.960
21.847,401.454
21.948,400.024
22.048,401.790
22.148,400.250
22.248,400.096
22.348,400.002
22.449,400.638
22.549,398.683
22.649,399.087
22.749,401.023
22.849,399.411
22.950,401.206
23.050,397.954
23.150,398.999
23.250,400.844
23.350,403.588
23.451,403.632
23.551,400.066
23.651,402.511
23.751,398.806
23.851,401.096
23.952,400.681
24.052,399.885
24.152,399.740
24.252,400.226
24.352,399.544
24.453,398.236
24.553,405.141
24.653,400.894
24.753,402.057
24.853,402.908
24.954,402.561
25.054,401.313
25.154,404.832
25.254,401.340
25.354,405.423
25.455,401.603
25.555,403.572
25.655,405.197
25.755,400.580
25.855,404.619
25.956,401.873
26.056,402.028
26.156,400.446
26.256,403.882
26.356,403.621
26.457,401.896
26.557,401.676
26.657,401.547
26.757,403.878
26.857,403.169
26.958,403.170
27.058,401.106
27.158,402.062
27.258,402.893
27.358,401.834
27.459,400.411
27.559,402.048
27.659,401.189
27.759,402.307
27.859,400.548
27.960,402.150
28.060,399.322
28.160,401.871
28.260,401.319
28.360,398.644
28.461,402.377
28.561,400.971
28.661,401.686
28.761,404.960
28.861,402.201
28.962,400.951
29.062,403.438
29.162,399.470
29.262,404.694
29.362,401.110
29.463,402.173
29.563,398.790
29.663,400.665
29.764,402.133
29.864,399.655
29.964,406.062
30.064,401.120
30.164,403.806
30.265,405.281
30.365,406.222
30.465,402.319
30.565,403.963
30.665,405.375
30.766,403.249
30.866,404.595
30.966,399.411
31.066,406.590
31.166,403.347
31.267,405.070
31.367,416.473
31.467,415.202
31.567,417.359
31.667,414.280
31.768,414.082
31.868,414.387
31.968,408.171
32.068,410.170
32.168,409.016
32.269,409.307
32.369,409.368
32.469,406.849
32.569,410.725
32.669,408.129
32.770,407.668
32.870,409.447
32.970,409.891
33.070,408.617
33.170,408.233
33.271,408.703
33.371,409.464
33.471,409.969
33.571,407.473
33.671,408.101
33.772,408.450
33.872,409.419
33.972,410.581
34.072,407.844
34.172,408.017
34.273,409.626
34.373,408.441
