time_s,power_W
0.000,207.962
0.100,207.665
0.200,287.659
0.300,291.932
0.400,297.985
0.500,299.198
0.600,281.244
0.700,325.802
0.800,307.198
0.900,327.549
1.000,331.468
1.100,323.859
1.200,326.551
1.300,329.709
1.400,310.842
1.500,333.495
1.600,332.682
1.700,325.225
1.800,337.318
1.900,337.840
2.000,328.345
2.100,321.848
2.200,341.164
2.301,328.454
2.400,326.722
2.500,321.289
2.600,329.500
2.700,339.570
2.800,331.893
2.900,326.532
3.000,330.173
3.100,322.295
3.200,332.869
3.300,323.863
3.401,324.543
3.500,337.706
3.600,325.481
3.700,326.800
3.800,322.890
3.900,323.423
4.000,327.423
4.100,328.495
4.200,317.519
4.300,341.327
4.400,332.040
4.500,331.249
4.600,328.534
4.700,325.099
4.800,329.623
4.900,338.274
5.000,319.288
5.100,337.270
5.200,317.028
5.300,335.178
5.400,321.175
5.500,317.900
5.600,326.652
5.700,322.083
5.800,329.851
5.900,321.602
6.000,331.770
6.100,318.814
6.200,322.031
6.300,338.916
6.400,322.847
6.500,333.939
6.600,329.525
6.700,328.811
6.800,318.987
6.900,329.093
7.000,344.083
7.100,330.520
7.200,339.990
7.300,332.444
7.400,335.491
7.500,324.944
7.600,325.283
7.700,334.805
7.800,314.514
7.900,328.379
8.000,323.329
8.100,323.613
8.200,317.401
8.300,316.982
8.400,317.361
8.500,333.337
8.600,316.949
8.700,328.676
8.800,327.506
8.900,325.938
9.000,322.315
9.100,322.265
9.200,320.346
9.300,319.766
9.400,333.949
9.500,320.054
9.600,314.646
9.700,324.826
9.800,332.863
9.900,319.607
10.000,329.425
10.100,329.236
10.200,325.401
10.300,324.527
10.400,319.032
10.500,327.831
10.600,327.108
10.700,321.231
10.800,327.875
10.900,322.747
11.002,327.422
11.100,323.628
11.200,319.229
11.300,334.710
11.400,323.230
11.500,328.300
11.600,320.291
11.700,330.511
11.800,330.399
11.900,325.758
12.000,327.272
12.100,330.393
12.200,326.228
12.300,322.145
12.400,311.958
12.500,335.982
12.600,325.121
12.700,318.730
12.800,336.469
12.900,318.413
13.000,324.846
13.100,319.569
13.200,325.270
13.300,325.693
13.400,322.183
13.500,320.614
13.600,319.661
13.700,324.214
13.800,314.553
13.900,329.853
14.000,317.763
14.100,315.904
14.200,319.220
14.300,322.844
14.400,321.438
14.500,317.744
14.600,331.899
14.700,328.395
14.800,317.749
14.900,330.415
15.000,328.068
15.100,324.529
15.200,256.060
15.300,276.716
15.400,262.763
15.500,284.656
15.600,282.930
15.700,299.156
15.800,268.404
15.900,277.134
16.000,263.345
16.100,266.308
16.200,261.344
16.300,251.051
16.400,241.145
16.500,249.745
16.600,231.584
16.700,208.622
16.800,210.341
16.900,211.853
17.000,207.027
17.100,210.206
17.200,209.565
17.300,211.153
17.400,220.025
17.500,209.656
17.600,210.779
17.700,206.846
17.800,208.826
17.900,213.851
18.000,207.621
18.100,208.652
18.200,209.180
18.300,207.320
18.400,202.453
18.500,238.502
18.600,231.688
18.700,243.194
18.800,232.266
18.900,242.755
19.000,228.404
19.100,214.911
19.200,215.159
19.300,199.210
19.400,207.650
19.500,195.237
19.600,207.863
19.700,203.512
19.800,206.082
19.900,205.953
20.000,208.889
20.100,206.302
20.200,209.292
20.300,212.825
20.400,216.834
20.500,203.849
20.600,212.768
20.700,207.847
20.800,207.826
20.900,213.426
21.000,206.544
21.100,218.263
21.200,206.544
21.300,210.567
21.400,205.874
21.500,213.908
21.600,209.914
21.700,204.775
21.800,208.641
21.900,214.318
22.000,207.950
22.100,203.215
22.200,211.747
22.300,210.837
22.400,198.323
22.500,201.599
22.600,201.471
22.700,204.561
22.800,197.896
22.900,200.072
23.000,199.076
23.100,204.472
23.200,197.594
23.300,197.209
23.400,204.541
23.500,202.112
23.600,202.511
23.700,202.065
23.800,197.683
23.900,202.690
24.000,203.652
24.100,198.871
24.200,199.316
24.300,206.159
24.400,199.812
24.500,201.471
24.600,197.785
24.700,201.811
24.800,209.817
24.900,213.431
25.000,208.341
25.100,209.602
25.200,339.912
25.300,328.775
25.400,336.461
25.500,341.393
25.600,343.042
25.701,348.037
25.800,357.836
25.900,353.618
26.000,348.289
26.100,358.013
26.200,364.025
26.300,358.224
26.405,363.682
26.500,364.441
26.600,363.844
26.700,365.427
26.800,366.839
26.900,364.800
27.008,374.668
27.102,367.332
27.203,390.873
27.301,349.199
27.401,368.848
27.500,365.067
27.600,367.306
27.711,369.324
27.800,369.934
27.900,366.762
28.000,370.169
28.100,369.862
28.202,368.018
28.300,370.240
28.400,367.752
28.500,370.470
28.600,370.199
28.700,368.798
28.800,368.585
28.900,368.351
29.000,367.290
29.100,365.451
29.200,372.704
29.300,361.374
29.400,366.800
29.500,372.532
29.600,359.828
29.700,369.496
29.800,377.312
29.900,361.253
30.000,376.818
30.100,361.689
30.200,368.956
30.300,368.676
30.400,368.851
30.500,370.548
30.600,376.974
30.700,364.166
30.800,371.014
30.900,369.491
31.000,369.864
31.100,368.158
31.200,377.528
31.300,372.507
31.400,372.464
31.500,372.770
31.602,372.701
31.701,369.930
31.800,373.284
31.900,375.030
32.000,370.881
32.100,379.444
32.200,368.614
32.301,369.133
32.400,372.046
32.501,376.190
32.600,375.285
32.700,365.458
32.801,379.428
32.900,364.354
33.000,372.417
33.100,374.888
33.200,372.616
33.300,377.803
33.400,368.743
33.500,367.341
33.600,369.078
33.700,368.920
33.800,372.146
33.900,369.931
34.000,371.066
34.100,368.373
34.207,391.937
34.300,350.240
34.404,378.986
34.500,369.331
34.600,370.007
34.700,363.686
34.800,372.342
34.900,375.699
35.000,364.451
35.100,369.993
35.200,371.034
35.300,368.686
35.400,367.862
35.500,372.279
35.600,370.328
35.700,368.993
35.800,370.866
35.900,374.016
36.000,367.973
36.100,371.465
36.200,377.595
36.300,363.377
36.400,374.908
36.500,368.035
36.600,377.592
36.700,368.872
36.800,367.942
36.900,370.582
37.000,372.968
37.100,376.814
37.200,370.977
37.300,368.322
37.400,378.831
37.500,363.933
37.600,369.422
37.700,372.313
37.818,371.996
37.900,369.372
38.000,370.111
38.100,367.416
38.200,369.689
38.301,379.028
38.402,375.197
38.500,360.360
38.600,372.110
38.703,367.940
38.800,373.598
38.900,373.295
39.000,370.296
39.100,372.553
39.200,372.025
39.300,370.214
39.400,372.253
39.500,368.669
39.600,371.311
39.700,371.615
39.800,370.459
39.900,369.825
40.000,373.416
40.100,371.389
40.200,331.093
40.300,348.807
40.400,340.426
40.500,328.803
40.600,342.499
40.700,320.631
40.800,337.767
40.900,335.915
41.000,340.090
41.100,333.787
41.200,329.084
41.300,332.755
41.400,326.127
41.500,328.866
41.600,325.905
41.700,334.942
41.800,329.274
41.900,320.329
42.000,334.016
42.100,334.185
42.200,320.224
42.300,336.588
42.400,325.337
42.500,332.223
42.600,323.586
42.700,327.809
42.800,341.714
42.900,324.359
43.000,329.930
43.100,323.321
43.200,325.437
43.300,319.553
43.400,319.759
43.500,335.365
43.600,319.755
43.700,326.751
43.800,332.967
43.900,324.811
44.000,314.946
44.100,339.761
44.200,331.812
44.300,335.171
44.400,329.805
44.500,324.564
44.600,323.405
44.700,325.982
44.800,325.367
44.900,320.024
45.000,327.250
45.100,324.184
45.200,320.418
45.300,329.731
45.400,320.914
45.500,323.931
45.600,326.968
45.700,320.338
45.800,335.094
45.900,318.959
46.000,336.172
46.100,331.626
46.200,324.834
46.300,328.463
46.400,328.234
46.501,325.447
46.600,343.298
46.700,340.827
46.800,326.211
46.900,333.795
47.000,327.752
47.101,325.105
47.200,336.877
47.300,325.089
47.400,323.814
47.500,326.634
47.600,342.616
47.700,333.623
47.800,335.291
47.900,334.155
48.000,328.531
48.100,331.982
48.200,326.434
48.300,333.654
48.400,331.769
48.500,322.032
48.600,325.038
48.700,338.238
48.800,326.039
48.900,326.303
49.000,329.472
49.100,323.217
49.200,331.053
49.300,331.792
49.400,336.573
49.500,329.895
49.600,321.870
49.700,311.545
49.800,322.479
49.900,323.971
50.000,317.077
50.100,329.185
50.200,243.626
50.300,281.354
50.400,278.938
50.500,285.360
50.600,276.411
50.700,271.546
50.800,266.098
50.900,272.108
51.000,279.556
51.100,237.018
51.200,258.293
51.300,242.618
51.400,229.519
51.500,243.707
51.600,237.173
51.700,230.651
51.800,236.913
51.900,218.638
52.000,239.736
52.100,211.083
52.200,207.354
52.300,209.516
52.400,209.494
52.500,222.725
52.600,212.448
52.700,206.166
52.800,212.762
52.900,212.236
53.000,208.239
53.100,206.829
53.200,213.590
53.300,214.124
53.400,216.322
53.500,213.003
53.600,209.880
53.700,210.183
53.800,206.135
53.900,210.049
54.000,203.520
54.100,215.029
54.200,194.787
54.300,204.591
54.400,207.229
54.500,204.806
54.600,200.486
54.700,201.390
54.800,204.737
54.900,203.026
55.000,197.789
55.100,203.543
55.200,201.934
55.300,208.365
55.400,201.446
55.500,200.701
55.600,200.083
55.700,203.939
55.800,203.024
55.900,208.998
56.000,209.871
56.100,208.911
56.200,208.928
56.300,209.627
56.400,209.701
56.500,214.469
56.600,209.207
56.700,208.022
56.800,210.493
56.900,214.945
57.000,208.759
57.100,210.956
57.200,214.068
57.300,205.373
57.400,210.521
57.500,206.469
57.600,216.229
57.700,216.596
57.800,209.293
57.900,209.221
58.000,207.047
58.100,218.015
58.200,204.227
58.300,206.736
58.400,211.470
58.500,210.887
58.600,204.291
58.700,205.911
58.800,203.574
58.900,200.686
59.000,197.959
59.100,203.973
59.200,201.474
59.300,202.145
59.400,201.731
59.500,196.993
59.600,200.884
59.700,205.143
59.800,198.158
59.900,204.945
60.000,203.818
60.100,199.986
60.200,281.928
60.300,284.441
60.400,282.222
60.500,298.630
60.600,294.548
60.700,308.556
60.800,306.725
60.900,310.339
61.000,313.818
61.100,318.823
61.200,323.716
61.300,331.776
61.400,331.898
61.501,329.916
61.600,328.695
61.700,328.516
61.800,341.019
61.900,328.701
62.000,328.985
62.100,330.652
62.200,317.079
62.300,348.141
62.400,334.549
62.500,335.171
62.600,332.231
62.700,338.907
62.800,307.655
62.900,334.145
63.000,335.131
